,XRP,Lag
XEM,4.859315954816884e-26,29
DOGE,1.0871379137528889e-11,2
MONA,7.888525254842428e-07,24
ETC,9.741684026321416e-07,26
USDT,1.8575201288467765e-06,27
BTS,1.875444622642856e-06,14
ARK,4.327349194504262e-06,11
MAID,5.893693978529756e-06,24
SC,7.706071003793503e-06,17
GNO,1.264540905174329e-05,20
ZEN,1.6787574499160718e-05,29
DCR,1.8687575240919096e-05,7
ETH,2.2245777272939183e-05,10
LSK,6.305625172659303e-05,24
KMD,6.962380109894244e-05,19
DGB,0.0001731520643531,18
QTUM,0.0001816650801355,15
BTC,0.000217770038595,28
SYS,0.0003525663962523,19
ANT,0.0019049264944398,26
STEEM,0.0174441445217057,30
RLC,0.0322106401082931,12
VERI,0.057779957533696,15
FIRO,0.189097366754005,30
XWC,0.1968887034160194,1
CON,0.4214151834357446,1
