TIMESTAMP,WAVES_OPEN_PRICE_USDT,WAVES_HIGH_PRICE_USDT,WAVES_LOW_PRICE_USDT,WAVES_CLOSE_PRICE_USDT,WAVES_FIRST_TRADE_PRICE_USDT,WAVES_HIGH_TRADE_PRICE_USDT,WAVES_LOW_TRADE_PRICE_USDT,WAVES_LAST_TRADE_PRICE_USDT,WAVES_TOTAL_TRADE_COUNT,WAVES_TOTAL_TRADES_BUY,WAVES_TOTAL_TRADES_SELL,WAVES_VOLUME_USDT,WAVES_QUOTE_VOLUME,WAVES_VOLUME_BUY,WAVES_QUOTE_VOLUME_BUY,WAVES_VOLUME_SELL,WAVES_QUOTE_VOLUME_SELL
2019-01-18,2.77,2.77,2.0,2.5235,2.77,2.77,2.0,2.5235,1736,731,1005,86973.39,220852.857068,44098.95,112251.940171,42874.44,108600.916897
2019-01-19,2.5235,2.64,2.5041,2.5718,2.53,2.64,2.5041,2.5718,1776,770,1006,99970.3,258188.763063,45625.74,117988.77821,54344.56,140199.984853
2019-01-20,2.5718,2.6085,2.42,2.5071,2.5536,2.6085,2.42,2.5071,1272,654,618,85585.78,214963.954758,44115.87,111097.379163,41469.91,103866.575595
2019-01-21,2.5071,2.58,2.4545,2.5001,2.5071,2.58,2.4545,2.5001,1001,425,576,66461.35,166317.629689,25496.45,63809.219656,40964.9,102508.410033
2019-01-22,2.5001,2.81,2.3747,2.7684,2.51,2.81,2.3747,2.7684,4335,2275,2060,331847.14,875154.788886,151220.36,397181.415126,180626.78,477973.37376
2019-01-23,2.7684,3.212,2.7115,3.0269,2.7694,3.212,2.7115,3.0269,17140,8680,8460,1216900.0,3681805.350204,543264.86,1640879.552801,673635.14,2040925.797403
2019-01-24,3.0269,3.091,2.598,2.7189,3.0239,3.091,2.598,2.7189,11497,5453,6044,843825.01,2411497.725037,377143.05,1083130.212007,466681.96,1328367.51303
2019-01-25,2.7189,2.9199,2.7,2.7792,2.7189,2.9199,2.7,2.7792,7053,3876,3177,427197.21,1197320.132783,231690.51,650809.388007,195506.7,546510.744776
2019-01-26,2.7792,2.8237,2.6516,2.677,2.78,2.8237,2.6516,2.677,3134,1293,1841,188896.03,514666.802339,67492.15,184230.658714,121403.88,330436.143625
2019-01-27,2.677,2.9399,2.6,2.6726,2.6713,2.9399,2.6,2.6726,8377,4463,3914,559958.05,1547549.177246,277874.73,772114.833761,282083.32,775434.343485
2019-01-28,2.6726,2.9199,2.485,2.879,2.6729,2.9199,2.485,2.879,19807,11470,8337,1272020.41,3455918.642038,721880.8,1969231.876388,550139.61,1486686.76565
2019-01-29,2.879,3.0463,2.7614,2.9478,2.879,3.0463,2.7614,2.9478,24977,14036,10941,1478807.29,4290526.722805,834782.9,2426761.114408,644024.39,1863765.608397
2019-01-30,2.9478,3.055,2.7079,2.8729,2.9478,3.055,2.7079,2.8729,23361,13231,10130,1486687.83,4335479.560371,855821.61,2499754.761878,630866.22,1835724.798493
2019-01-31,2.8729,2.9061,2.7511,2.773,2.8783,2.9061,2.7511,2.773,8385,4002,4383,365639.15,1032630.511046,167991.78,474348.969629,197647.37,558281.541417
2019-02-01,2.773,2.779,2.6483,2.7135,2.7768,2.779,2.6483,2.7135,5951,2354,3597,277130.19,753159.068965,108891.02,296253.932571,168239.17,456905.136394
2019-02-02,2.7135,2.745,2.695,2.7138,2.7176,2.745,2.695,2.7138,3546,1185,2361,134925.43,366178.927172,58661.11,159379.831309,76264.32,206799.095863
2019-02-03,2.7138,2.9071,2.6553,2.8211,2.7105,2.9071,2.6553,2.8211,10009,4834,5175,608219.23,1704395.093874,290495.21,814541.234013,317724.02,889853.859861
2019-02-04,2.8211,2.87,2.702,2.7277,2.8184,2.87,2.702,2.7277,7416,2735,4681,357521.22,990812.001696,131029.04,363941.774598,226492.18,626870.227098
2019-02-05,2.7277,2.785,2.6191,2.6662,2.7253,2.785,2.6191,2.6662,9258,3977,5281,455506.99,1232220.559319,186055.38,503018.182563,269451.61,729202.376756
2019-02-06,2.6662,2.678,2.5,2.504,2.6661,2.678,2.5,2.504,6944,2505,4439,372775.15,949383.436129,126141.56,321883.799562,246633.59,627499.636567
2019-02-07,2.504,2.6192,2.4689,2.4885,2.504,2.6192,2.4689,2.4885,5916,2842,3074,307286.49,781969.60096,142062.45,362580.949262,165224.04,419388.651698
2019-02-08,2.4885,2.6876,2.4501,2.6465,2.4865,2.6876,2.4501,2.6465,7197,3520,3677,502060.29,1294184.416903,250115.26,646395.40495,251945.03,647789.011953
2019-02-09,2.6465,2.665,2.5539,2.6,2.6593,2.665,2.5539,2.6,4480,2149,2331,269215.76,700878.503486,117211.9,305782.752356,152003.86,395095.75113
2019-02-10,2.6,2.75,2.572,2.72,2.6018,2.75,2.572,2.72,7681,3751,3930,421981.05,1122421.606746,202961.61,541067.118655,219019.44,581354.488091
2019-02-11,2.72,2.9153,2.6345,2.8726,2.72,2.9153,2.6345,2.8726,8616,4835,3781,475068.16,1308949.840247,259257.65,717414.21108,215810.51,591535.629167
2019-02-12,2.8726,2.9158,2.7207,2.8492,2.87,2.9158,2.7207,2.8492,9261,4674,4587,476142.71,1342289.63898,226113.45,638274.153434,250029.26,704015.485546
2019-02-13,2.8492,2.8695,2.723,2.7317,2.8454,2.8695,2.723,2.7317,3452,1669,1783,179514.63,499196.227347,77196.33,215093.785138,102318.3,284102.442209
2019-02-14,2.7317,2.7588,2.6312,2.6419,2.7315,2.7588,2.6312,2.6419,3187,1509,1678,176689.8,475358.386349,70026.12,188527.472326,106663.68,286830.914023
2019-02-15,2.6419,2.7,2.6313,2.6565,2.6364,2.7,2.6313,2.6565,2256,927,1329,123475.7,328494.550608,53695.1,142984.510818,69780.6,185510.03979
2019-02-16,2.6565,2.6799,2.605,2.6081,2.6461,2.6799,2.605,2.6081,1798,816,982,105260.74,276818.783126,38294.44,100784.971071,66966.3,176033.812055
2019-02-17,2.6081,2.6596,2.5501,2.6094,2.6081,2.6596,2.5501,2.6094,2795,1390,1405,150858.31,391914.431695,68308.7,177232.35351,82549.61,214682.078185
2019-02-18,2.6094,2.7868,2.6094,2.74,2.6095,2.7868,2.6094,2.74,5980,3051,2929,361072.29,974536.256488,178860.87,483928.025992,182211.42,490608.230496
2019-02-19,2.74,2.93,2.7012,2.7862,2.7401,2.93,2.7012,2.7862,6934,3910,3024,455390.39,1284079.082608,223346.18,630860.001891,232044.21,653219.080717
2019-02-20,2.7862,2.82,2.735,2.7849,2.7671,2.82,2.735,2.7849,3171,1414,1757,173102.83,480627.673499,73348.88,203852.861523,99753.95,276774.811976
2019-02-21,2.7849,2.8671,2.7392,2.8509,2.7849,2.8671,2.7392,2.8509,5048,2628,2420,274491.54,769613.867939,135984.12,381795.912352,138507.42,387817.955587
2019-02-22,2.8509,2.91,2.8081,2.9022,2.851,2.91,2.8081,2.9022,3986,2095,1891,192626.9,553188.383514,94600.91,272157.514309,98025.99,281030.869205
2019-02-23,2.9022,2.93,2.7904,2.8894,2.8961,2.93,2.7904,2.8894,4445,2167,2278,249027.4,712428.371498,102930.13,295726.346997,146097.27,416702.024501
2019-02-24,2.8894,2.9364,2.55,2.637,2.8894,2.9364,2.55,2.637,6072,2539,3533,402202.51,1109917.944582,142978.15,393656.309137,259224.36,716261.635445
2019-02-25,2.637,2.75,2.6025,2.6794,2.6471,2.75,2.6025,2.6794,3331,1653,1678,180258.48,482863.953416,68751.77,184434.838739,111506.71,298429.114677
