,XMR,Lag
ACES,3.2793034597642e-09,28
DOGE,4.4546506357302406e-09,25
UNIT,7.102937654671687e-09,29
WYZ,1.110024162551165e-08,30
TRST,4.169561773054792e-08,29
BRIT,4.294376161956059e-08,21
QTUM,1.171203265411286e-06,25
LTCR,1.3501874587511844e-06,25
NOBL,3.5147886751941547e-06,29
RBT,4.029462101054816e-06,24
XEM,6.325548835636169e-06,18
RRT,8.678188095710472e-06,30
USDT,1.163099839137522e-05,24
IBANK,3.321273284005575e-05,25
BITS,3.807878292207144e-05,12
XLM,5.055555071672261e-05,24
PUT,5.463575170598189e-05,23
IMS,6.344460538166394e-05,25
ENT,0.0001320389138102,25
RLC,0.0001487284613563,20
GRS,0.0003103303889918,23
VIDZ,0.0004094617610928,30
VLT,0.0004736152755702,26
HBD,0.0004750910776029,29
DIME,0.0006488224239798,12
DGB,0.0007169440408949,24
BTS,0.0007487814535122,30
VEC2,0.0007604189770771,9
ZUR,0.0007958027887162,28
BAT,0.0008401151721653,16
SWING,0.0009451088759212,27
WDC,0.0013544248245352,19
XMS,0.0016043672020397,27
XRP,0.0016569470850055,30
C2,0.0021538570938892,12
WBB,0.0031791901788764,26
LTC,0.0032051940612464,25
EVIL,0.0032451022069063,11
MOTO,0.0034068246927213,23
ICON,0.004376492199587,24
NEWB,0.0047592459379882,22
CAB,0.0061281142918623,29
XTO,0.0073834745713424,30
PXI,0.0078549137988437,28
ETC,0.0083802302682212,25
DASH,0.0089646264623607,30
NETKO,0.0100793158215482,29
CARBON,0.0110813559201072,30
PXC,0.0115779689492878,30
BERN,0.0118571977388925,16
TAJ,0.0118789153451908,9
ZET,0.0144605247314067,29
FRN,0.0171899248657468,30
GBYTE,0.0199618659045829,9
BTC,0.0209339152270021,5
WAVES,0.021713035130083,25
MONA,0.0218500704971986,27
KOBO,0.0224164597026919,6
CJ,0.0238947041772933,13
VAL,0.0241084765419811,9
GNO,0.0249602128519395,28
ETH,0.0268299281449685,30
NMC,0.0272757596473514,7
BCN,0.0277229460445414,29
CREVA,0.0283054866630938,29
KMD,0.029308167923459,30
SKR,0.0303030760145318,7
ZEC,0.0345496757863353,30
XHI,0.036849811293708,6
KIN,0.0390941173936007,21
HVCO,0.0414207807494961,1
EUC,0.0477068432532204,28
AV,0.048830106242988,28
BTA,0.0497598209646319,26
SYS,0.053966986064408,14
OPAL,0.058768563447447,9
PAK,0.0588486362109211,28
START,0.0609223274913764,5
XPM,0.0613749167293741,17
PZM,0.0616491668959566,3
COOL,0.0620483149495901,30
ZEN,0.0621218037257016,27
SIGNA,0.0626484373008559,30
TAB,0.0627942166863222,24
SPR,0.0637655627657848,3
XWC,0.0664087822645534,21
PHR,0.0677165065980717,30
VTC,0.0730724055780435,9
ARK,0.0773031042096777,14
STEEM,0.0799760544419222,30
CSC,0.0800046911070084,28
NAV,0.0827585996092932,1
IFC,0.0894897205588727,29
ACOIN,0.0906222144618484,5
SILK,0.0966350567419817,11
AXIOM,0.1005829711837112,30
LOOK,0.1015659609071576,16
XQN,0.1026505220888053,24
LSK,0.104781238399622,20
BLU,0.1062466115172201,13
LUNC,0.1062525701408071,30
IOTA,0.1091141566248785,1
XDN,0.1140238752295671,23
CYT,0.1164766682192854,30
XPY,0.1182450534546239,13
ZCL,0.1212033902540008,30
QBC,0.1231732139806012,4
SKULL,0.1236220902713618,8
AE,0.1256903906654641,29
LOG,0.1273481664125617,2
FIRO,0.1273810564145121,2
SC,0.1297730001276829,26
GAS,0.1372718499229658,24
SXC,0.1374465906229688,15
XPX,0.138707114211865,15
SANDG,0.1404193122251628,26
ADZ,0.1448510776177795,1
JLP,0.1469444386970849,6
ZOOM,0.1470312938420162,15
DCY,0.1537585583343841,2
ADC,0.1561159905427133,3
MAY,0.1565118529210094,7
ARGUS,0.1576079135651154,17
KURT,0.1613241475754694,24
NXT,0.1624735389616964,1
DCR,0.1644582340724091,18
ICOB,0.1759606470063862,2
CKC,0.1772590370413895,9
SWT,0.1840924070331658,6
