TIMESTAMP,JOB_OPEN_PRICE_USD,JOB_HIGH_PRICE_USD,JOB_LOW_PRICE_USD,JOB_CLOSE_PRICE_USD,JOB_VOLUME_USD,JOB_DIVIDENDS_USD,JOB_STOCK_SPLITS_USD
2019-12-23 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.700000029813964e-05,9267,0.0,0.0
2019-12-24 00:00:00+00:00,1.700000029813964e-05,2.2000000171829015e-05,1.4999999621068127e-05,2.2000000171829015e-05,8941,0.0,0.0
2019-12-25 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8000000636675395e-05,5193,0.0,0.0
2019-12-26 00:00:00+00:00,1.8000000636675395e-05,2.099999983329326e-05,1.700000029813964e-05,1.8000000636675395e-05,6516,0.0,0.0
2019-12-27 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.700000029813964e-05,1.700000029813964e-05,5656,0.0,0.0
2019-12-28 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.4999999621068127e-05,1.5999999959603883e-05,6267,0.0,0.0
2019-12-29 00:00:00+00:00,1.5999999959603883e-05,1.9999999494757503e-05,1.4999999621068127e-05,1.700000029813964e-05,5816,0.0,0.0
2019-12-30 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.4999999621068127e-05,6163,0.0,0.0
2019-12-31 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.5999999959603883e-05,3979,0.0,0.0
2020-01-01 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,5086,0.0,0.0
2020-01-02 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.8000000636675395e-05,7929,0.0,0.0
2020-01-03 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,5201,0.0,0.0
2020-01-04 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,4691,0.0,0.0
2020-01-05 00:00:00+00:00,1.700000029813964e-05,2.9999999242136255e-05,1.5999999959603883e-05,2.700000004551839e-05,11518,0.0,0.0
2020-01-06 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,1.4999999621068127e-05,1.8000000636675395e-05,13376,0.0,0.0
2020-01-07 00:00:00+00:00,1.8000000636675395e-05,2.099999983329326e-05,1.700000029813964e-05,1.8000000636675395e-05,7706,0.0,0.0
2020-01-08 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.8000000636675395e-05,1.8999999156221747e-05,6359,0.0,0.0
2020-01-09 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.8000000636675395e-05,1.9999999494757503e-05,5658,0.0,0.0
2020-01-10 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.8000000636675395e-05,2.099999983329326e-05,5378,0.0,0.0
2020-01-11 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8999999156221747e-05,5283,0.0,0.0
2020-01-12 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8999999156221747e-05,5304,0.0,0.0
