TIMESTAMP,LILO_OPEN_PRICE_USD,LILO_HIGH_PRICE_USD,LILO_LOW_PRICE_USD,LILO_CLOSE_PRICE_USD,LILO_VOLUME_USD,LILO_DIVIDENDS_USD,LILO_STOCK_SPLITS_USD
2025-04-09 00:00:00+00:00,,,,0.0,160,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,141,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,166,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,98,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,391,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,5158,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,4064,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,1702,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,967,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,76,0.0,0.0
2025-06-01 00:00:00+00:00,1.1160800202861948e-13,1.1160800202861948e-13,1.1160775808313067e-13,1.1160775808313067e-13,4,0.0,0.0
