TIMESTAMP,WSPP_OPEN_PRICE_USD,WSPP_HIGH_PRICE_USD,WSPP_LOW_PRICE_USD,WSPP_CLOSE_PRICE_USD,WSPP_VOLUME_USD,WSPP_DIVIDENDS_USD,WSPP_STOCK_SPLITS_USD
2021-07-13 00:00:00+00:00,,,,0.0,585529,0.0,0.0
2021-07-14 00:00:00+00:00,,,,0.0,2042794,0.0,0.0
2021-07-15 00:00:00+00:00,,,,0.0,2335061,0.0,0.0
2021-07-16 00:00:00+00:00,,,,0.0,1225159,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,661455,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,384972,0.0,0.0
2021-07-19 00:00:00+00:00,0.0,1.700000029813964e-05,0.0,1.2999999853491317e-05,354034,0.0,0.0
2021-07-20 00:00:00+00:00,1.2999999853491317e-05,0.00037900000461377203,0.0,0.000295000005280599,4097154,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,6773612,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,2975724,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,989578,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,539898,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,325401,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,386903,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,548068,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,547363,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,490983,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,416137,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,371819,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,297482,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,194198,0.0,0.0
2021-08-03 00:00:00+00:00,,,,0.0,243491,0.0,0.0
2021-08-04 00:00:00+00:00,,,,0.0,232935,0.0,0.0
2021-08-05 00:00:00+00:00,,,,0.0,167559,0.0,0.0
2021-08-06 00:00:00+00:00,,,,0.0,197723,0.0,0.0
2021-08-07 00:00:00+00:00,,,,0.0,275295,0.0,0.0
2021-08-08 00:00:00+00:00,,,,0.0,353009,0.0,0.0
