TIMESTAMP,SANIN_OPEN_PRICE_USD,SANIN_HIGH_PRICE_USD,SANIN_LOW_PRICE_USD,SANIN_CLOSE_PRICE_USD,SANIN_VOLUME_USD,SANIN_DIVIDENDS_USD,SANIN_STOCK_SPLITS_USD
2024-10-18 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,9.999999974752427e-07,9.999999974752427e-07,1657417,0.0,0.0
2024-10-19 00:00:00+00:00,9.999999974752427e-07,9.000000318337698e-06,9.999999974752427e-07,3.999999989900971e-06,2401140,0.0,0.0
2024-10-20 00:00:00+00:00,3.999999989900971e-06,7.999999979801942e-06,1.9999999949504854e-06,4.999999873689376e-06,1693996,0.0,0.0
2024-10-21 00:00:00+00:00,4.999999873689376e-06,1.2000000424450263e-05,3.999999989900971e-06,7.999999979801942e-06,1984296,0.0,0.0
2024-10-22 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,4.999999873689376e-06,7.000000096013537e-06,1409550,0.0,0.0
2024-10-23 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,3.999999989900971e-06,4.999999873689376e-06,1008422,0.0,0.0
2024-10-24 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,1.9999999949504854e-06,3.999999989900971e-06,963803,0.0,0.0
2024-10-25 00:00:00+00:00,3.999999989900971e-06,9.000000318337698e-06,3.000000106112566e-06,3.999999989900971e-06,1356587,0.0,0.0
2024-10-26 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,410449,0.0,0.0
2024-10-27 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,315143,0.0,0.0
2024-10-28 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,705021,0.0,0.0
2024-10-29 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,246135,0.0,0.0
2024-10-30 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,245098,0.0,0.0
2024-10-31 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,155178,0.0,0.0
2024-11-01 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,144790,0.0,0.0
2024-11-02 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,154832,0.0,0.0
2024-11-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,162916,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,69437,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,42098,0.0,0.0
2024-11-06 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,81227,0.0,0.0
2024-11-07 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,248229,0.0,0.0
2024-11-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,96064,0.0,0.0
2024-11-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,84949,0.0,0.0
2024-11-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,83058,0.0,0.0
2024-11-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,159446,0.0,0.0
2024-11-12 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,156638,0.0,0.0
2024-11-13 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,161809,0.0,0.0
2024-11-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,99274,0.0,0.0
2024-11-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,101711,0.0,0.0
2024-11-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,31692,0.0,0.0
2024-11-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23130,0.0,0.0
2024-11-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,41709,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,23641,0.0,0.0
2024-11-20 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,29109,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,11960,0.0,0.0
2024-11-22 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,19064,0.0,0.0
2024-11-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,30770,0.0,0.0
2024-11-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,15586,0.0,0.0
2024-11-25 00:00:00+00:00,,,,0.0,4456,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,8429,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,14745,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,35817,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,2161,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,5542,0.0,0.0
2024-12-01 00:00:00+00:00,,,,0.0,1505,0.0,0.0
2024-12-02 00:00:00+00:00,,,,0.0,20239,0.0,0.0
2024-12-03 00:00:00+00:00,,,,0.0,1572,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,460,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,1232,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,2799,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,10195,0.0,0.0
