TIMESTAMP,SPURDO_OPEN_PRICE_USD,SPURDO_HIGH_PRICE_USD,SPURDO_LOW_PRICE_USD,SPURDO_CLOSE_PRICE_USD,SPURDO_VOLUME_USD,SPURDO_DIVIDENDS_USD,SPURDO_STOCK_SPLITS_USD
2023-08-16 00:00:00+00:00,,,,0.0,854820,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,863131,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,1220315,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,1831650,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,1342110,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,2328456,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,2413537,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,1942158,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,2128581,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,2572023,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,1891496,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,1903664,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,1881629,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,1925421,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,1562679,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,1500952,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,1583125,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,1771177,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,1573486,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,1263835,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,1245307,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,1279234,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,1383401,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,1370912,0.0,0.0
