TIMESTAMP,BOOT_OPEN_PRICE_USD,BOOT_HIGH_PRICE_USD,BOOT_LOW_PRICE_USD,BOOT_CLOSE_PRICE_USD,BOOT_VOLUME_USD,BOOT_DIVIDENDS_USD,BOOT_STOCK_SPLITS_USD
2022-04-09 00:00:00+00:00,,,,0.0,25005,0.0,0.0
2022-04-10 00:00:00+00:00,,,,0.0,17807,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,11162,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,16623,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,18093,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,5405,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,9986,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,11342,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,9969,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,13090,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,8860,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,11688,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,9841,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,17057,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,6824,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,11195,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,24779,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,15750,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,11410,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,7469,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,6218,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,12282,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,14514,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,14753,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,13976,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,16170,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,12808,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,10019,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,15788,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,6771,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,14919,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,15336,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,55201,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,39491,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,6214,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,13267,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,13692,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,7302,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,2236,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,2063,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,2409,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,10806,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,5434,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,5682,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,5402,0.0,0.0
