TIMESTAMP,STARGATEAI_OPEN_PRICE_USD,STARGATEAI_HIGH_PRICE_USD,STARGATEAI_LOW_PRICE_USD,STARGATEAI_CLOSE_PRICE_USD,STARGATEAI_VOLUME_USD,STARGATEAI_DIVIDENDS_USD,STARGATEAI_STOCK_SPLITS_USD
2025-03-25 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-06-01 00:00:00+00:00,1.5038599705807787e-13,1.5038599705807787e-13,1.503856446923718e-13,1.503856446923718e-13,6,0.0,0.0
