,ETH,Lag
SC,3.878965213009688e-06,25
XRP,5.127301954842917e-06,10
XWC,4.097024183267488e-05,20
ZEN,5.413580922287451e-05,27
XEM,6.305173460468926e-05,4
ARK,0.0002980543775438,1
BTC,0.0026778739676479,28
DOGE,0.0037740009919118,27
LSK,0.0038851794298635,12
FIRO,0.0070477205211622,14
ETC,0.0070813759990263,29
KMD,0.0080139916039637,8
MAID,0.0088096834713328,28
BTS,0.0175191464582575,5
GNO,0.0262932090585264,19
MONA,0.0285199968401675,28
USDT,0.041185837418225,1
QTUM,0.0460603171417523,26
SYS,0.0477291310080302,16
DGB,0.0825211628627769,30
DCR,0.1301739173152056,24
RLC,0.2941163093791705,16
STEEM,0.4337818687187943,29
VERI,0.5061986984391177,4
ANT,0.5123434814615493,13
CON,0.6016163398258352,5
