,ETH
XEM,0.00070516406408875
XRP,0.00134358234616915
ARK,0.00455653329775035
ZEN,0.018612770086818352
MAID,0.0219488968594809
SC,0.0249695695603373
FIRO,0.03083957886194055
KMD,0.032437637875428596
LSK,0.036372653404485755
DOGE,0.0519375738747366
BTS,0.06518806532597571
USDT,0.08350120192783464
BTC,0.1112556858475251
ETC,0.11473235017131314
XWC,0.12374032636721265
SYS,0.12689886539750245
GNO,0.1855776634162366
MONA,0.2324809398327965
QTUM,0.2414450327370855
DCR,0.3138894771870507
DGB,0.33195128903163473
RLC,0.410394300499751
STEEM,0.7592425099098874
CON,0.790440890616138
ANT,0.8188392044512811
VERI,0.9280067191739503
