TIMESTAMP,JEET30327_OPEN_PRICE_USD,JEET30327_HIGH_PRICE_USD,JEET30327_LOW_PRICE_USD,JEET30327_CLOSE_PRICE_USD,JEET30327_VOLUME_USD,JEET30327_DIVIDENDS_USD,JEET30327_STOCK_SPLITS_USD
2024-04-02 00:00:00+00:00,0.0005970000056549907,0.0007309999782592058,0.00046999999904073775,0.0004990000161342323,700803,0.0,0.0
2024-04-03 00:00:00+00:00,0.0004990000161342323,0.0011439999798312783,0.0004149999876972288,0.0005699999746866524,818490,0.0,0.0
2024-04-04 00:00:00+00:00,0.0005649999948218465,0.0007300000288523734,0.0004070000140927732,0.00043200000072829425,443632,0.0,0.0
2024-04-05 00:00:00+00:00,0.00043200000072829425,0.0005280000041238964,0.0003349999897181988,0.00037200000951997936,122203,0.0,0.0
2024-04-06 00:00:00+00:00,0.00037200000951997936,0.00037200000951997936,0.00012799999967683107,0.0001289999927394092,173351,0.0,0.0
2024-04-07 00:00:00+00:00,0.0001289999927394092,0.000387999985832721,0.00011000000085914508,0.00022600000374950469,119472,0.0,0.0
2024-04-08 00:00:00+00:00,0.00022600000374950469,0.00022699999681208283,0.00014600000577047467,0.00017299999308306724,80410,0.0,0.0
2024-04-09 00:00:00+00:00,0.00017299999308306724,0.00018000000272877514,0.0001429999974789098,0.00014400000509340316,17676,0.0,0.0
2024-04-10 00:00:00+00:00,0.00014400000509340316,0.00016700000560376793,0.00013099999341648072,0.00016700000560376793,13292,0.0,0.0
2024-04-11 00:00:00+00:00,0.00016700000560376793,0.00024199999461416155,9.100000170292333e-05,0.00014400000509340316,84690,0.0,0.0
2024-04-12 00:00:00+00:00,0.00014400000509340316,0.00014899999951012433,0.00011200000153621659,0.00011700000322889537,16735,0.0,0.0
2024-04-13 00:00:00+00:00,0.00011700000322889537,0.00013000000035390258,8.70000003487803e-05,0.00010399999882793054,10287,0.0,0.0
2024-04-14 00:00:00+00:00,0.00010399999882793054,0.00019200000679120421,9.7999996796716e-05,0.0001610000035725534,30545,0.0,0.0
