TIMESTAMP,TITAN10467_OPEN_PRICE_USD,TITAN10467_HIGH_PRICE_USD,TITAN10467_LOW_PRICE_USD,TITAN10467_CLOSE_PRICE_USD,TITAN10467_VOLUME_USD,TITAN10467_DIVIDENDS_USD,TITAN10467_STOCK_SPLITS_USD
2021-06-17 00:00:00+00:00,7.996656894683838,7.996656894683838,4.999999873689376e-06,4.999999873689376e-06,0,0.0,0.0
2021-06-18 00:00:00+00:00,4.999999873689376e-06,9.999999747378752e-06,0.0,9.999999747378752e-06,0,0.0,0.0
2021-06-19 00:00:00+00:00,9.999999747378752e-06,2.4000000848900527e-05,9.999999747378752e-06,2.4000000848900527e-05,0,0.0,0.0
2021-06-20 00:00:00+00:00,2.4000000848900527e-05,2.9000000722589903e-05,2.300000051036477e-05,2.5999999706982635e-05,0,0.0,0.0
2021-06-21 00:00:00+00:00,2.5999999706982635e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.499999936844688e-05,0,0.0,0.0
2021-06-22 00:00:00+00:00,2.499999936844688e-05,3.7999998312443495e-05,2.4000000848900527e-05,2.9999999242136255e-05,0,0.0,0.0
2021-06-23 00:00:00+00:00,,,,0.0,494826,0.0,0.0
2021-06-24 00:00:00+00:00,,,,0.0,829184,0.0,0.0
2021-06-25 00:00:00+00:00,,,,0.0,450483,0.0,0.0
2021-06-26 00:00:00+00:00,,,,0.0,149903,0.0,0.0
2021-06-27 00:00:00+00:00,,,,0.0,563439,0.0,0.0
2021-06-28 00:00:00+00:00,,,,0.0,3896401,0.0,0.0
2021-06-29 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,11410655,0.0,0.0
2021-06-30 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,0.0,1.9999999949504854e-06,25473418,0.0,0.0
2021-07-01 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,30205169,0.0,0.0
2021-07-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,12216034,0.0,0.0
2021-07-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,8085361,0.0,0.0
2021-07-04 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,8912199,0.0,0.0
2021-07-05 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,20858065,0.0,0.0
2021-07-06 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,13066318,0.0,0.0
2021-07-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5666125,0.0,0.0
2021-07-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,3847115,0.0,0.0
