TIMESTAMP,RATO36485_OPEN_PRICE_USD,RATO36485_HIGH_PRICE_USD,RATO36485_LOW_PRICE_USD,RATO36485_CLOSE_PRICE_USD,RATO36485_VOLUME_USD,RATO36485_DIVIDENDS_USD,RATO36485_STOCK_SPLITS_USD
2025-05-13 00:00:00+00:00,2.8000000384054147e-05,4.8999998398358e-05,2.300000051036477e-05,4.099999932805076e-05,26858724,0.0,0.0
2025-05-14 00:00:00+00:00,4.099999932805076e-05,7.000000186963007e-05,2.700000004551839e-05,5.999999848427251e-05,26186953,0.0,0.0
2025-05-15 00:00:00+00:00,5.999999848427251e-05,6.600000051548705e-05,3.400000059627928e-05,4.199999966658652e-05,14637853,0.0,0.0
2025-05-16 00:00:00+00:00,4.199999966658652e-05,4.70000013592653e-05,2.5999999706982635e-05,2.8000000384054147e-05,98612013,0.0,0.0
2025-05-17 00:00:00+00:00,2.8000000384054147e-05,3.5000000934815034e-05,2.5999999706982635e-05,3.099999958067201e-05,7557223,0.0,0.0
2025-05-18 00:00:00+00:00,3.099999958067201e-05,4.199999966658652e-05,2.8000000384054147e-05,3.400000059627928e-05,8795860,0.0,0.0
2025-05-19 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,2.499999936844688e-05,2.5999999706982635e-05,6931736,0.0,0.0
2025-05-20 00:00:00+00:00,2.5999999706982635e-05,3.300000025774352e-05,2.5999999706982635e-05,2.9000000722589903e-05,6278063,0.0,0.0
2025-05-21 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,1.8999999156221747e-05,2.099999983329326e-05,9180698,0.0,0.0
2025-05-22 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,9.999999747378752e-06,1.4999999621068127e-05,13296231,0.0,0.0
2025-05-23 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2999999853491317e-05,11297537,0.0,0.0
2025-05-24 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,1.2999999853491317e-05,1.2999999853491317e-05,4889018,0.0,0.0
2025-05-25 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,7.999999979801942e-06,9.999999747378752e-06,6947046,0.0,0.0
2025-05-26 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,7.999999979801942e-06,7.999999979801942e-06,4700573,0.0,0.0
2025-05-27 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,5843756,0.0,0.0
2025-05-28 00:00:00+00:00,9.000000318337698e-06,1.4000000192027073e-05,9.000000318337698e-06,1.2999999853491317e-05,5802964,0.0,0.0
2025-05-29 00:00:00+00:00,1.2999999853491317e-05,1.8999999156221747e-05,9.999999747378752e-06,9.999999747378752e-06,6712253,0.0,0.0
2025-05-30 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.999999747378752e-06,9.999999747378752e-06,7217830,0.0,0.0
2025-05-31 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,4465278,0.0,0.0
2025-06-01 00:00:00+00:00,8.157604497682769e-06,1.1238286788284313e-05,7.83041468821466e-06,8.523440556018613e-06,3563289,0.0,0.0
