,LTC
ETH,0.7798311846223774
DASH,0.7418312022448426
ETC,0.7272043494298065
BTC,0.7262090734925029
QTUM,0.7142878507779385
XRP,0.7014295204508302
ZEC,0.6790614619688958
XLM,0.6765300144501512
BAT,0.6431173077230264
DGB,0.6366750139828822
DOGE,0.6261594930668284
XEM,0.6259446330525712
SC,0.6246622824321436
XMR,0.6212209177633881
AXIOM,0.6186802292948808
LSK,0.6159413724910995
IOTA,0.6127192578973563
FIRO,0.5996847646410318
GAS,0.599450778441314
BTS,0.5942589988467066
GNO,0.5928231058032535
DCR,0.5837984001882901
STEEM,0.5781113631141642
WAVES,0.5776396317510225
NEWB,0.5774288670449063
2GIVE,0.5648537798598128
KMD,0.5594062691487206
RLC,0.5561190503199491
SP,0.5524489795918367
ZEN,0.5498300803803339
PXI,0.5478450241804943
MONA,0.5418892354279985
SYS,0.5317674489230282
AE,0.5309713446013862
ARK,0.5276118588000523
HBN,0.5250757600389846
LUN,0.5203450250286727
GRS,0.5169235701795348
SNRG,0.5108945395918009
AV,0.5107117900552085
PIVX,0.5099303050424386
SPR,0.5091429823343433
SONG,0.5045269053932392
PKB,0.5040354504256113
RBIES,0.5031352768088642
CJ,0.5028870858002729
ZENI,0.5025501463109169
QBC,0.5007055226901156
VEC2,0.4997380962947619
ICOB,0.4994999552375533
CREVA,0.4889447415746052
ANT,0.4865151586039429
C2,0.4861152578585767
IBANK,0.4851599898854302
NXS,0.4836661351334463
FRN,0.4830633854605402
LTCR,0.4827273687998082
VLT,0.4817592636810062
CAB,0.4816163393963719
ADC,0.4807527497431167
VIDZ,0.4796998302859259
BLAZR,0.4788075996666512
EUC,0.4786819532576793
SWING,0.4760193173106654
IMS,0.4754548221901238
GCC,0.4744392092683919
ACOIN,0.4737469640941663
ADZ,0.4726055354118412
POST,0.4705892061222744
ZYD,0.4700341855155345
XQN,0.4695914192715579
BITS,0.4692034606439984
OPAL,0.4688719071705817
BLU,0.46766621383444
NAV,0.4671168916739091
WBB,0.4661275838236029
ACES,0.4643916711961073
EVIL,0.4632149029427873
BERN,0.4622994622026768
CF,0.4620944878330768
SIB,0.4590650302800051
UNIT,0.4583987227215328
MAY,0.4565098339338381
PPC,0.4540551844432808
CANN,0.4540335234586772
XHI,0.4538734489766778
TAJ,0.4538338203267417
XPY,0.4521112069990065
VAL,0.4519685543597235
LUNC,0.4511618064239293
VTC,0.4492038382431764
KOBO,0.4431169362195935
KURT,0.4422030311170963
MST,0.4405117659589465
ARGUS,0.4369564095376217
MOTO,0.4364407244330391
JLP,0.4347954686656942
WINGS,0.4339643422721206
ICON,0.4333579296534781
TES,0.4326054234548706
LAMB,0.4308496147582138
AMBER,0.4288613413319752
TRST,0.4280714735965871
EDRC,0.4246417532021425
SANDG,0.4199159309015448
RBT,0.418289595121909
42,0.416300027972237
XMS,0.41281232206866
NETKO,0.4126700240518196
START,0.4121194527047218
NMC,0.4113897842283768
CYT,0.4102800107652918
WGR,0.4082662641473302
NXT,0.4069751404347447
PXC,0.4066443082671418
LBC,0.4049373394340269
GBYTE,0.4035497422052282
MAID,0.3982523433756789
FRC,0.3968724512776578
ZCL,0.3919295704667377
ENT,0.3913702819292985
LDOGE,0.3896374675578303
EFL,0.3873722369568109
AMS,0.3841750903472439
SLS,0.3812250300231009
TECH,0.3790864872709732
ZET,0.3727770110520026
CRW,0.3711386393484688
PASC,0.3701238169015806
CNT,0.3699077406123151
HVCO,0.3698237670068045
SWIFT,0.3648562206556452
NOBL,0.3644428481637784
BLK,0.3634887149823192
BTCS,0.3597829903898505
FTC,0.3597829857310626
OK,0.35968648231322
NEVA,0.359231620887158
RBY,0.3552857723263279
CLAM,0.3519753476757131
LANA,0.3518204421607057
CLUB,0.3429277465443121
XPM,0.3424721552212675
HMQ,0.3407593488136272
SKR,0.3371984351227994
VERI,0.3332661960544898
NVC,0.3323353570740406
PTOY,0.3320449497298811
BCN,0.3319202805908683
POT,0.3306473445779767
XST,0.330539215197793
XPTX,0.3296073309658563
COOL,0.328406141511744
SXC,0.3278411055109184
PLU,0.3266872871762654
CARBON,0.3233953725468828
CKC,0.3167267000397818
SKULL,0.3142624805541487
SWT,0.3116042375690612
KIN,0.3088531838357847
XBY,0.3075516860286418
CSC,0.3065734834000846
EQB,0.3044451106587174
XDN,0.2999313630818475
XCP,0.2951878408532487
DCY,0.2928217327279767
AGRS,0.281213029236835
XPX,0.2767189541065536
RDD,0.2742611036847852
ALIAS,0.2685132623352791
PHR,0.264815377833731
LOG,0.2628680557026455
ZER,0.2615947065385032
HUSH,0.2580032810498172
DEM,0.2568964574044527
BOLI,0.2560221255050176
XWC,0.2559951151812198
BCDN,0.2559841246767374
XBC,0.2557925087197742
CLOAK,0.2505280362544704
PAK,0.2463490190504408
GLC,0.2428417419708082
HBD,0.2372720670146768
CETI,0.2330786030400921
BIS,0.2327374650121443
BSTY,0.2219106979867977
HNC,0.2190183420872271
DIME,0.2186419179437069
IXC,0.2182294678988487
LMC,0.2099528385903793
ILC,0.209674409552474
XTO,0.2060022434324061
FOREX,0.2052854285519205
IFC,0.2044805323454395
DGC,0.1997964024781677
WDC,0.1993928572361966
BTA,0.1972179140767369
SIGNA,0.1966898525213706
INF,0.1927043237970853
ZUR,0.1896419994366525
NYC,0.1876115349093133
WYZ,0.1859987357774968
SHND,0.1855247359639316
BS,0.178988561718532
OZO,0.1774766437852011
PUT,0.17430233253906
LOOK,0.1565350176830245
SILK,0.1540989239239166
PIE,0.1495449806195439
JKC,0.142016806722689
BRIT,0.1388547197098865
TAB,0.1328057961536674
IRL,0.1105377869867965
DCT,0.1076175620579783
PZM,0.1001503052728805
ZOOM,0.0976481385333273
QTZ,0.0957909124832408
MNTC,0.0865747550562174
BTB,0.0820157419976422
WC,0.0713197948666981
LKY,0.0541109530583214
USDT,0.0389231291497199
RRT,0.0208538194521979
MCN,-0.0328695214851343
NEOS,-0.5
BOSS,
CAM,
CDN,
CYG,
DOGED,
ETT,
IMPACT,
MARI,
MARV,
NKT,
PX,
RCX,
SLING,
