,LTC
ETH,0.7811789971082129
DASH,0.7688328777845015
ETC,0.7417502706683609
BTC,0.7314877141709196
QTUM,0.7231822028562502
XRP,0.710034939104788
ZEC,0.7069015864245827
XLM,0.7019380583054394
BAT,0.6826579834402344
DGB,0.6721125134189363
DOGE,0.6688943346930586
IOTA,0.657837425880949
XMR,0.653678957173869
LSK,0.6467498106463421
GAS,0.6463454791309066
XEM,0.6434685704821168
BTS,0.6409237207057145
FIRO,0.6407527026496322
SC,0.6388145628098483
DCR,0.6379823632909565
AXIOM,0.6345624997367506
STEEM,0.6319689335670634
NEWB,0.6276273808686951
SP,0.6196938775510205
RLC,0.6103246070237578
KMD,0.6103175100624411
WAVES,0.6059734284849148
GNO,0.6051167043698227
ARK,0.6046655679113722
SYS,0.6030705699453884
2GIVE,0.6015347403830894
ZEN,0.5951716256472709
SXC,0.58222606956227
PIVX,0.5819727310461266
GRS,0.5687629866013316
HBN,0.5572196436707321
JLP,0.5568005846882975
AE,0.5566610584517203
PKB,0.5554764215852712
SONG,0.5546678707665608
PXI,0.5542905432963532
MONA,0.5490449934779311
ZET,0.5485312944427833
AV,0.5482499214565656
CJ,0.5442875608296095
LUN,0.5397990376962655
ANT,0.53904348849695
ICOB,0.5353250796280683
EVIL,0.5349848029764575
SNRG,0.5329799028278015
CREVA,0.5321265545442379
VEC2,0.5306598807191684
FRN,0.5291317249170187
ZENI,0.5256844195137715
RBIES,0.524054159733978
C2,0.5237774627775447
IMS,0.5186958581886252
VLT,0.5183932083879932
CAB,0.5177647364869222
IBANK,0.5127570850346523
LTCR,0.5118887398779003
BLAZR,0.5113680462336783
GCC,0.5089485204983135
SPR,0.5088079133188061
ACES,0.5046499719204592
LUNC,0.5033227012404693
UNIT,0.5030543834460037
OPAL,0.502988121871709
EUC,0.5016961460054221
ACOIN,0.5014393050251983
NXS,0.5013087666750363
NAV,0.5000274367863238
QBC,0.4960015995418997
TAJ,0.4939244249046354
POST,0.4933404677618088
NOBL,0.492466637968152
SWING,0.4924242253707186
BITS,0.4921357682310722
VTC,0.4915428688492089
CANN,0.4914510311530187
BLU,0.4901099576324861
XQN,0.4883405739034936
CF,0.4873413456492931
ZYD,0.4870047751034467
ADC,0.4864021324903373
VAL,0.4822417513551797
ADZ,0.4804869762990532
VIDZ,0.4794233977430155
MST,0.4779832895445883
MAY,0.4779258815605718
WBB,0.4771585024922271
KOBO,0.4767162121560765
XHI,0.4755244228303747
CYT,0.4753436119775927
XPY,0.4731584937458871
LAMB,0.4701012230826706
ICON,0.46962746191529
KURT,0.4684775593898632
EDRC,0.4659961830680397
BERN,0.4652250576487742
EFL,0.4647928180298663
WINGS,0.4636647963525666
SIB,0.4612537626176328
MOTO,0.4604308718368768
NXT,0.4586952018873965
ARGUS,0.456612508903125
FRC,0.4553955358340341
XPM,0.4543446712095234
ENT,0.4529928491567825
PPC,0.4489635167401408
PXC,0.4476960842615644
NETKO,0.4475062253101418
RBT,0.445387383624061
TECH,0.4450397036636562
SLS,0.4435918583977551
TRST,0.4410314974606724
42,0.439832247431304
START,0.4388052282871887
TES,0.4377270832821724
AMBER,0.4372424686906385
XMS,0.4360231849883535
SANDG,0.4305943013642034
AMS,0.4302342264379372
CLAM,0.4272914123324837
LBC,0.4267912159664817
BTCS,0.4252646937570966
HVCO,0.4242823079805308
HMQ,0.4224928878056786
FTC,0.4223707882943392
SWIFT,0.4153245045130006
NEVA,0.4130003925224579
CNT,0.4069976355241591
NMC,0.4020610866255611
RBY,0.396022913803875
CRW,0.3954791321886642
GBYTE,0.3935002432099522
SKR,0.3913371463139671
OK,0.3890521776883573
CLUB,0.3852026483088556
BLK,0.3843807891154112
SWT,0.3823876750947184
WGR,0.3822825434098427
PASC,0.3810176006782488
LANA,0.3769083716118772
XST,0.3737529300649991
MAID,0.3704389006025126
CARBON,0.3701510265584471
XBY,0.368457427743517
XPTX,0.3673296556364276
RDD,0.3662589511149697
CKC,0.3634485331271888
NVC,0.3622142267357341
BCN,0.3604472708354785
PTOY,0.356785127631361
DEM,0.3531101558827846
LDOGE,0.3511616420919695
EQB,0.3510965017957503
XDN,0.3383510543458889
ZCL,0.3343735648806325
XTO,0.3177214599841578
IXC,0.3132652081589118
COOL,0.3127491377657962
CETI,0.3122661677218801
KIN,0.3095189684998326
HUSH,0.3093973613389508
BOLI,0.3083194949617749
ALIAS,0.3074400901489434
HBD,0.3030412053469536
PAK,0.3001704253011574
PLU,0.29603645333888
VERI,0.2936271054848374
AGRS,0.2933443604486642
BIS,0.291104045902012
CSC,0.2904500923632214
POT,0.2864074995642383
ZUR,0.2851073794482291
ZER,0.2803211357255072
CLOAK,0.2803149011569683
BCDN,0.2800344055462573
GLC,0.2766438029564675
BRIT,0.2752780264536905
XCP,0.2737426503861633
DCY,0.2694784615200777
SKULL,0.2650254217627178
XPX,0.2636303872950979
LOG,0.2601501726388047
XBC,0.2512357956376777
DIME,0.2488101915314598
BTA,0.2442919419440705
PHR,0.2425564864955935
SHND,0.2398216259414457
WDC,0.2351860201430432
DGC,0.2312678133380132
XWC,0.2304772429086889
SIGNA,0.2275823951366811
USDT,0.2242264446644019
INF,0.2242194381948017
BSTY,0.2207974582456674
IRL,0.2197647669034316
PUT,0.2178343581486915
LMC,0.2164024842956084
IFC,0.2125983250478007
FOREX,0.2125546222074908
JKC,0.2025210084033613
PIE,0.1975537423381141
TAB,0.1893506276502731
LOOK,0.1748708200331547
ILC,0.1709566016970093
NYC,0.1687657225921683
HNC,0.1685673768605183
BS,0.1581507769383992
MNTC,0.1323809506683881
LKY,0.1233854907539118
PZM,0.1214329645423593
SILK,0.1187291783901303
WYZ,0.1183961008716481
DCT,0.109262455472746
QTZ,0.1055092406052713
ZOOM,0.100367554189971
OZO,0.098441766396261
BTB,0.07777134062575
MCN,0.0563854657098208
RRT,0.0551953278438381
WC,0.0023990113680174
NEOS,-1.0
BOSS,
CAM,
CDN,
CYG,
DOGED,
ETT,
IMPACT,
MARI,
MARV,
NKT,
PX,
RCX,
SLING,
UR,
USC,
VDO,
VMC,
