TIMESTAMP,BTC_MARKET_CAP_USD,BTC_TOTAL_CIRCULATING_COINS
2009-02-16 00:00:00,0.0,224400.0
2009-02-16 08:00:00,0.0,226350.0
2009-02-16 16:00:00,0.0,228400.0
2009-02-17 00:00:00,0.0,230250.0
2009-02-17 08:00:00,0.0,232200.0
2009-02-17 16:00:00,0.0,234250.0
2009-02-18 00:00:00,0.0,236200.0
2009-02-18 08:00:00,0.0,238250.0
2009-02-18 16:00:00,0.0,240150.0
2009-02-19 00:00:00,0.0,242100.0
2009-02-19 08:00:00,0.0,244100.0
2009-02-19 16:00:00,0.0,246350.0
2009-02-20 00:00:00,0.0,248400.0
2009-02-20 08:00:00,0.0,250750.0
2009-02-20 16:00:00,0.0,252450.0
2009-02-21 00:00:00,0.0,254100.0
2009-02-21 08:00:00,0.0,256000.0
2009-02-21 16:00:00,0.0,258150.0
2009-02-22 00:00:00,0.0,260300.0
2009-02-22 08:00:00,0.0,262200.0
2009-02-22 16:00:00,0.0,264200.0
2009-02-23 00:00:00,0.0,265750.0
2009-02-23 08:00:00,0.0,267600.0
2009-02-23 16:00:00,0.0,269600.0
2009-02-24 00:00:00,0.0,271350.0
2009-02-24 08:00:00,0.0,272950.0
2009-02-24 16:00:00,0.0,274900.0
2009-02-25 00:00:00,0.0,276800.0
2009-02-25 08:00:00,0.0,278500.0
2009-02-25 16:00:00,0.0,280150.0
2009-02-26 00:00:00,0.0,281850.0
2009-02-26 08:00:00,0.0,283350.0
2009-02-26 16:00:00,0.0,285500.0
2009-02-27 00:00:00,0.0,287450.0
2009-02-27 08:00:00,0.0,289350.0
2009-02-27 16:00:00,0.0,291250.0
2009-02-28 00:00:00,0.0,292900.0
2009-02-28 08:00:00,0.0,294600.0
2009-02-28 16:00:00,0.0,296200.0
2009-03-01 00:00:00,0.0,297900.0
2009-03-01 08:00:00,0.0,299750.0
2009-03-01 16:00:00,0.0,301450.0
2009-03-02 00:00:00,0.0,303300.0
2009-03-02 08:00:00,0.0,305050.0
2009-03-02 16:00:00,0.0,306850.0
2009-03-03 00:00:00,0.0,308500.0
2009-03-03 08:00:00,0.0,310300.0
2009-03-03 16:00:00,0.0,312100.0
2009-03-04 00:00:00,0.0,314000.0
2009-03-04 08:00:00,0.0,315700.0
2009-03-04 16:00:00,0.0,317300.0
2009-03-05 00:00:00,0.0,318850.0
2009-03-05 08:00:00,0.0,320850.0
2009-03-05 16:00:00,0.0,322900.0
2009-03-06 00:00:00,0.0,324750.0
2009-03-06 08:00:00,0.0,326800.0
2009-03-06 16:00:00,0.0,328750.0
2009-03-07 00:00:00,0.0,330600.0
2009-03-07 08:00:00,0.0,332300.0
2009-03-07 16:00:00,0.0,334200.0
2009-03-08 00:00:00,0.0,336200.0
2009-03-08 08:00:00,0.0,337950.0
2009-03-08 16:00:00,0.0,339950.0
2009-03-09 00:00:00,0.0,341950.0
2009-03-09 08:00:00,0.0,343800.0
2009-03-09 16:00:00,0.0,345350.0
2009-03-10 00:00:00,0.0,347100.0
2009-03-10 08:00:00,0.0,349000.0
2009-03-10 16:00:00,0.0,350700.0
2009-03-11 00:00:00,0.0,352550.0
2009-03-11 08:00:00,0.0,354350.0
2009-03-11 16:00:00,0.0,356400.0
2009-03-12 00:00:00,0.0,358250.0
2009-03-12 08:00:00,0.0,360250.0
2009-03-12 16:00:00,0.0,362300.0
2009-03-13 00:00:00,0.0,364050.0
2009-03-13 08:00:00,0.0,365800.0
2009-03-13 16:00:00,0.0,367950.0
2009-03-14 00:00:00,0.0,369650.0
2009-03-14 08:00:00,0.0,371600.0
2009-03-14 16:00:00,0.0,373450.0
2009-03-15 00:00:00,0.0,375550.0
2009-03-15 08:00:00,0.0,377250.0
2009-03-15 16:00:00,0.0,379600.0
2009-03-16 00:00:00,0.0,381600.0
2009-03-16 08:00:00,0.0,383650.0
2009-03-16 16:00:00,0.0,385650.0
2009-03-17 00:00:00,0.0,387500.0
2009-03-17 08:00:00,0.0,389600.0
2009-03-17 16:00:00,0.0,391350.0
2009-03-18 00:00:00,0.0,393300.0
2009-03-18 08:00:00,0.0,395050.0
2009-03-18 16:00:00,0.0,397050.0
2009-03-19 00:00:00,0.0,399150.0
2009-03-19 08:00:00,0.0,401100.0
2009-03-19 16:00:00,0.0,403150.0
2009-03-20 00:00:00,0.0,405300.0
2009-03-20 08:00:00,0.0,407050.0
2009-03-20 16:00:00,0.0,409050.0
2009-03-21 00:00:00,0.0,410600.0
2009-03-21 08:00:00,0.0,411350.0
2009-03-21 16:00:00,0.0,411600.0
2009-03-22 00:00:00,0.0,413300.0
2009-03-22 08:00:00,0.0,415600.0
2009-03-22 16:00:00,0.0,417500.0
2009-03-23 00:00:00,0.0,419550.0
2009-03-23 08:00:00,0.0,421950.0
2009-03-23 16:00:00,0.0,424000.0
2009-03-24 00:00:00,0.0,425700.0
2009-03-24 08:00:00,0.0,427400.0
2009-03-24 16:00:00,0.0,429250.0
2009-03-25 00:00:00,0.0,431450.0
2009-03-25 08:00:00,0.0,433250.0
2009-03-25 16:00:00,0.0,435100.0
2009-03-26 00:00:00,0.0,437200.0
2009-03-26 08:00:00,0.0,438900.0
2009-03-26 16:00:00,0.0,440950.0
2009-03-27 00:00:00,0.0,442800.0
2009-03-27 08:00:00,0.0,444450.0
2009-03-27 16:00:00,0.0,446250.0
2009-03-28 00:00:00,0.0,448150.0
2009-03-28 08:00:00,0.0,450300.0
