,K,Alpha,Tau,MSE
0,9,500,0.3,82.71655261548567
1,12,500,0.3,82.71763676555138
2,9,500,0.25,82.71951120338962
3,10,500,0.3,82.71985147635917
4,12,500,0.25,82.72042091331485
5,9,250,0.3,82.72156213905971
6,8,250,0.3,82.72258197939816
7,10,250,0.3,82.72378950243342
8,10,500,0.25,82.72404462070807
9,12,500,0.2,82.72563894877972
10,9,250,0.25,82.72657573012299
11,11,250,0.3,82.72704921078314
12,7,250,0.3,82.72767130016786
13,8,250,0.25,82.72829059403763
14,10,250,0.25,82.73000080998312
15,10,500,0.2,82.73172710833265
16,14,1000,0.3,82.73180197344433
17,11,250,0.25,82.73484613614528
18,7,250,0.25,82.73606482998845
19,9,250,0.2,82.73617683997405
20,12,500,0.15,82.73768368814537
21,8,250,0.2,82.73922046202715
22,10,250,0.2,82.74182215312103
23,15,750,0.3,82.74310850789685
24,9,500,0.2,82.74540568939139
25,11,500,0.3,82.74603249401574
26,11,250,0.2,82.7496109249898
27,11,500,0.15,82.74971004621088
28,10,500,0.15,82.75073161707336
29,7,250,0.2,82.75243038847607
30,14,750,0.3,82.75284986978248
31,15,750,0.25,82.75506406931262
32,9,250,0.15,82.75812914065145
33,8,250,0.15,82.76306549822527
34,11,500,0.25,82.76308711069439
35,14,750,0.25,82.76785638676542
36,10,250,0.15,82.768639945597
37,15,750,0.2,82.77766238626887
38,11,250,0.15,82.7828477225254
39,14,750,0.2,82.785195903546
40,11,500,0.2,82.79578736628709
41,9,250,0.1,82.82751226996145
42,12,500,0.1,82.82814116897391
43,10,250,0.1,82.85242301072024
44,7,250,0.15,82.86264029936427
45,11,250,0.1,82.88553749499484
46,15,1000,0.3,83.08122550765522
47,15,750,0.15,83.11124291253729
48,8,250,0.1,83.13970299379027
49,9,250,0.05,83.33002781157163
50,13,500,0.2,83.39293226757836
51,10,250,0.05,83.40990675441296
52,13,500,0.25,83.42771571237846
53,13,500,0.3,83.43069305244262
54,11,250,0.05,83.52702899464576
55,13,500,0.15,83.54529332200606
56,12,250,0.3,85.18669597832833
57,13,250,0.3,85.75610731050287
58,15,500,0.3,86.30988374771151
59,12,250,0.25,86.32046971087755
60,15,250,0.3,86.69149282661907
61,14,1000,0.25,86.82138403991789
62,13,250,0.25,87.01014758716727
63,13,500,0.1,87.1282801817125
64,14,750,0.15,87.1618934211998
65,15,500,0.25,87.62258512702815
66,14,250,0.3,87.84724798951933
67,13,1000,0.3,88.09750074928428
68,15,250,0.25,88.2857647125038
69,12,250,0.2,88.53287459115559
70,13,250,0.2,89.25745132450915
71,14,250,0.25,89.59150785972734
72,15,500,0.2,90.03227162499992
73,15,1000,0.25,90.25494612368131
74,15,250,0.2,91.1565472152699
75,12,750,0.3,92.0944195216635
76,14,250,0.2,92.57949617213885
77,12,250,0.15,93.20516210030716
78,13,750,0.3,93.29608541393772
79,13,250,0.15,94.00260685151694
80,15,750,0.1,95.0497399470549
81,15,500,0.15,95.69606904361127
82,13,750,0.25,95.77472973316299
83,15,250,0.15,97.21466091104182
84,14,250,0.15,98.47376821088409
85,13,750,0.2,98.9079543155969
86,12,500,0.05,104.43557545165294
87,12,250,0.1,105.29409464880082
88,13,250,0.1,107.49483404938154
89,15,250,0.1,111.46380214783846
90,14,250,0.1,112.92535720655097
91,15,500,0.1,114.71442000763966
92,10,500,0.1,117.99401393400703
93,11,500,0.1,118.93223600129629
94,15,750,0.05,118.96609604788533
95,13,750,0.15,126.95304760633445
96,8,250,0.05,146.04430801777627
97,12,250,0.05,150.5813900929378
98,14,500,0.1,152.220057160777
99,14,500,0.15,152.33106408330258
100,14,500,0.3,152.8675062918926
101,11,750,0.3,152.95097262554788
102,14,500,0.2,154.67092388085135
103,14,500,0.25,158.7384829178619
104,15,250,0.05,160.90527528617042
105,15,1000,0.15,164.61346186354646
106,14,250,0.05,165.21408071003532
107,13,250,0.05,172.98534311831034
108,14,1000,0.2,180.61721663189184
109,9,500,0.15,200.24492329807734
110,15,500,0.05,215.02557099251007
111,15,1250,0.3,230.95267654569065
112,14,750,0.1,239.1218248919981
113,14,500,0.05,240.45316509834873
114,13,500,0.05,241.81153682085852
115,14,750,0.05,251.8326912508318
116,10,750,0.3,261.03099186742634
117,13,750,0.1,272.133056182304
118,9,750,0.3,276.0713656531879
119,11,750,0.25,317.8473824288655
120,11,750,0.15,388.8412951469475
121,15,1000,0.2,405.0322981195822
122,15,1250,0.25,476.4183576642624
123,14,1250,0.2,533.0059545762581
124,11,750,0.1,557.8074981182912
125,9,750,0.15,572.7975009871336
126,11,1000,0.3,594.5350292129136
127,12,750,0.25,594.6205322830075
128,10,750,0.25,598.0284481834032
129,15,1000,0.1,607.0793256902127
130,10,500,0.05,631.129713529171
131,11,500,0.05,671.5758316499971
132,14,1250,0.3,791.9239579991572
133,11,750,0.2,800.7680518229946
134,10,750,0.2,803.1914893598072
135,15,250,0.0,809.4695293495831
136,15,1250,0.1,857.7648576695082
137,15,1500,0.3,872.4099552699328
138,11,1000,0.2,878.2207903856142
139,7,250,0.05,892.5297918060339
140,14,1250,0.25,914.6353798030392
141,14,250,0.0,919.0233785359657
142,15,1250,0.15,1045.281724418141
143,13,1000,0.2,1061.551599183758
144,9,500,0.1,1065.2865182369446
145,14,1000,0.15,1080.7521284682202
146,15,1500,0.15,1134.517419039221
147,13,750,0.05,1176.526156254416
148,14,1500,0.25,1188.078598080137
149,7,250,0.1,1210.3756953143657
150,13,250,0.0,1223.192192414312
151,11,1250,0.25,1235.341398568874
152,13,1000,0.25,1251.0528191255255
153,14,1500,0.15,1309.0337338273107
154,14,1000,0.1,1354.0453903041976
155,13,1250,0.25,1469.5179609560628
156,12,750,0.2,1556.565549846284
157,14,1000,0.05,1590.9366859932686
158,12,750,0.05,1595.5786988970967
159,13,1250,0.3,1653.574072835309
160,12,250,0.0,1659.4271344888953
161,13,1000,0.15,1699.1306146077472
162,12,1250,0.2,1760.2136215059738
163,14,1250,0.1,1800.4300786754472
164,14,1500,0.3,1835.1065742679941
165,15,1250,0.2,1875.188176861746
166,14,1500,0.2,1883.8075622702213
167,15,1500,0.25,1933.6793475818392
168,15,1500,0.1,2028.4796390571698
169,11,1000,0.25,2080.9934584909256
170,13,1750,0.25,2128.484157739262
171,13,2000,0.15,2153.8120305956386
172,6,250,0.05,2173.16619008724
173,12,750,0.15,2259.3915925336155
174,15,1500,0.2,2306.3560562708417
175,14,1250,0.15,2308.8509276106734
176,15,1000,0.05,2322.2813106924364
177,10,750,0.1,2337.9718543717004
178,15,500,0.0,2352.780333730087
179,11,250,0.0,2358.242588710547
180,10,750,0.15,2484.637179390911
181,8,750,0.3,2545.006935588556
182,13,1750,0.15,2630.918012098819
183,12,1000,0.3,2698.349612693819
184,12,750,0.1,2699.5178419528497
185,14,1750,0.2,2753.893449295947
186,11,750,0.05,2781.420951917456
187,11,1000,0.1,2803.7749217755013
188,9,500,0.05,2914.269838137296
189,15,2000,0.15,3001.991945030148
190,15,2250,0.25,3074.722050248565
191,12,1250,0.25,3128.372170972511
192,6,250,0.25,3320.913731266152
193,13,1500,0.25,3323.4999871548
194,10,250,0.0,3365.1321467614243
195,14,500,0.0,3441.687560941739
196,15,1250,0.05,3503.3323754412836
197,15,1750,0.3,3653.316973058699
198,11,1000,0.15,3742.462340217929
199,13,2250,0.15,3844.8983836683137
200,8,500,0.1,3941.9233938368125
201,15,2250,0.3,3995.491603065764
202,5,250,0.2,4060.016085956926
203,15,1750,0.25,4102.556891012427
204,15,1750,0.2,4333.855437494232
205,15,2000,0.1,4393.723854357462
206,13,1750,0.1,4458.160312489249
207,12,1000,0.25,4520.455479817119
208,13,1000,0.05,4551.134015074863
209,13,500,0.0,4610.971444501863
210,8,500,0.2,4671.68398162198
211,15,2000,0.3,4677.1724508122925
212,13,1250,0.15,4702.424949932838
213,5,250,0.15,4709.627082514603
214,11,1250,0.3,4716.419266085976
215,12,1000,0.2,4774.869364933311
216,8,500,0.3,4782.637119853207
217,15,1500,0.05,4851.10271297079
218,14,1750,0.3,4857.508340364719
219,5,250,0.25,4866.212196325232
220,15,3750,0.3,5132.016029083776
221,8,500,0.25,5134.704667180638
222,13,1500,0.05,5142.1239618056225
223,9,250,0.0,5260.035357850097
224,15,2500,0.2,5355.7294493391155
225,13,2000,0.25,5379.730115053411
226,14,2250,0.15,5457.157175795677
227,15,750,0.0,5498.262068815311
228,15,2000,0.2,5515.704926229373
229,15,3000,0.3,5526.109573817097
230,10,1500,0.25,5848.03863903013
231,11,1000,0.05,5878.7347204273465
232,8,500,0.05,5917.85029449319
233,9,750,0.2,5946.127590879756
234,15,1750,0.05,6012.199284547018
235,12,1000,0.05,6199.060873953393
236,12,500,0.0,6215.541759606166
237,14,2250,0.3,6244.015936248176
238,13,1250,0.2,6322.830623729792
239,10,1000,0.15,6367.246281809399
240,10,750,0.05,6492.6887291853445
241,15,1750,0.1,6671.040521063289
242,8,750,0.15,6775.757270709638
243,12,1000,0.1,6806.158349264475
244,13,1500,0.2,6847.105089145096
245,13,1000,0.1,6851.43962266438
246,6,250,0.3,6929.111969969517
247,12,1000,0.15,7026.750623545049
248,14,750,0.0,7088.54079797799
249,5,250,0.3,7157.202924862398
250,15,1750,0.15,7244.1230808696755
251,11,1500,0.3,7272.255528032721
252,9,1000,0.3,7277.485641035342
253,12,1500,0.3,7452.66799784833
254,6,250,0.15,7465.631926608405
255,15,2000,0.05,7644.489634583881
256,13,2750,0.3,7686.8103992598835
257,14,1250,0.05,7878.066162218619
258,14,2000,0.2,7879.917401864086
259,14,1500,0.05,7988.3886035795285
260,13,2000,0.3,8099.640411539205
261,15,2000,0.25,8198.218840712163
262,7,500,0.3,8247.368438641586
263,14,1500,0.1,8270.992731448838
264,13,1500,0.3,8374.316375533384
265,12,1500,0.25,8385.713495275544
266,14,1750,0.15,8420.63044243185
267,14,1750,0.1,8488.38549465566
268,14,2000,0.15,8520.520469803861
269,13,1250,0.1,8635.527757463062
270,11,2250,0.3,8651.83328355755
271,14,2750,0.2,8742.473847971665
272,15,2250,0.15,8850.257465724468
273,15,2250,0.2,9092.031059877196
274,11,500,0.0,9113.69801023049
275,12,1250,0.3,9138.110641850884
