,K,Alpha,Tau,MSE
0,12,750,0.3,82.7146869688742
1,9,500,0.3,82.71759007465667
2,12,750,0.25,82.71999714401883
3,9,500,0.25,82.72078537080958
4,10,500,0.3,82.7212595593582
5,9,250,0.3,82.72327595278254
6,8,250,0.3,82.72403787696852
7,10,250,0.3,82.72553442387729
8,10,500,0.25,82.72614032827255
9,11,250,0.3,82.72871021340363
10,9,250,0.25,82.72922157987709
11,7,250,0.3,82.73027067132192
12,8,250,0.25,82.73047412172906
13,12,500,0.3,82.7314195921704
14,10,250,0.25,82.73258817083295
15,10,500,0.2,82.73528992181303
16,11,250,0.25,82.73730830054556
17,12,500,0.25,82.7390424690977
18,7,250,0.25,82.73994913701185
19,9,250,0.2,82.74059461278962
20,15,1000,0.3,82.74161599166574
21,8,250,0.2,82.74285605225626
22,10,250,0.2,82.74601989996681
23,11,500,0.3,82.74756067764676
24,12,500,0.2,82.7531312975112
25,11,250,0.2,82.75357331932481
26,7,250,0.2,82.7581411929911
27,11,500,0.25,82.765288317553
28,9,250,0.15,82.76664530055444
29,8,250,0.15,82.77140110162392
30,10,500,0.15,82.77539813982554
31,10,250,0.15,82.77654475767686
32,11,250,0.15,82.79012820346593
33,12,500,0.15,82.79184228101732
34,11,500,0.2,82.79938272412994
35,9,500,0.2,82.80805087433174
36,15,1000,0.25,82.83666141877116
37,9,250,0.1,82.84958939030783
38,11,500,0.15,82.85989153852913
39,8,250,0.1,82.87143270780051
40,10,250,0.1,82.87221448855959
41,7,250,0.15,82.89668815324266
42,11,250,0.1,82.90240657400128
43,11,750,0.3,83.01766539510768
44,12,500,0.1,83.38203441579313
45,15,750,0.3,83.4435656406182
46,9,250,0.05,83.45073212940811
47,10,250,0.05,83.4892815646269
48,11,250,0.05,83.53899088390014
49,15,750,0.25,83.55310769197929
50,15,750,0.2,83.7272211546526
51,15,750,0.15,84.13609713593712
52,13,750,0.3,84.71927875133697
53,12,250,0.3,85.23877241984657
54,14,1000,0.3,85.37579851598956
55,15,1250,0.3,85.65303375370138
56,13,250,0.3,85.93868817382211
57,11,750,0.25,86.0545464605926
58,14,500,0.3,86.25773307296417
59,12,250,0.25,86.28067039859108
60,10,500,0.1,86.35053646447581
61,14,750,0.25,86.70261263217456
62,14,750,0.3,87.01626269090606
63,13,750,0.25,87.03718824716702
64,14,750,0.2,87.34696011250517
65,13,250,0.25,87.38892541434373
66,12,250,0.2,88.18054102018775
