TIMESTAMP,GNC36498_OPEN_PRICE_USD,GNC36498_HIGH_PRICE_USD,GNC36498_LOW_PRICE_USD,GNC36498_CLOSE_PRICE_USD,GNC36498_VOLUME_USD,GNC36498_DIVIDENDS_USD,GNC36498_STOCK_SPLITS_USD
2025-05-14 00:00:00+00:00,0.0013070000568404794,0.0014880000380799174,0.00026500000967644155,0.0003330000035930425,17765174,0.0,0.0
2025-05-15 00:00:00+00:00,0.00033099998836405575,0.000493000028654933,0.00018899999849963933,0.00018899999849963933,17558824,0.0,0.0
2025-05-16 00:00:00+00:00,0.0001900000061141327,0.00022499999613501132,0.00013499999477062374,0.00014000000373926014,16276571,0.0,0.0
2025-05-17 00:00:00+00:00,0.00014099999680183828,0.0001829999964684248,6.399999983841553e-05,7.899999764049426e-05,16410144,0.0,0.0
2025-05-18 00:00:00+00:00,7.79999973019585e-05,0.00015500000154133886,5.999999848427251e-05,6.500000017695129e-05,19556281,0.0,0.0
2025-05-19 00:00:00+00:00,6.399999983841553e-05,6.800000119255856e-05,3.7999998312443495e-05,4.400000034365803e-05,21069805,0.0,0.0
2025-05-20 00:00:00+00:00,4.400000034365803e-05,6.0999998822808266e-05,3.400000059627928e-05,3.5000000934815034e-05,21428160,0.0,0.0
2025-05-21 00:00:00+00:00,3.5000000934815034e-05,3.899999865097925e-05,2.4000000848900527e-05,2.499999936844688e-05,22959333,0.0,0.0
2025-05-22 00:00:00+00:00,2.499999936844688e-05,4.199999966658652e-05,2.300000051036477e-05,3.400000059627928e-05,17316544,0.0,0.0
2025-05-23 00:00:00+00:00,3.400000059627928e-05,6.600000051548705e-05,2.8000000384054147e-05,5.6000000768108293e-05,30063601,0.0,0.0
2025-05-24 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,2.499999936844688e-05,2.499999936844688e-05,17532372,0.0,0.0
2025-05-25 00:00:00+00:00,2.499999936844688e-05,3.099999958067201e-05,1.8000000636675395e-05,1.8000000636675395e-05,18544863,0.0,0.0
2025-05-26 00:00:00+00:00,1.8000000636675395e-05,3.9999998989515007e-05,1.700000029813964e-05,2.2000000171829015e-05,18723595,0.0,0.0
2025-05-27 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,1.5999999959603883e-05,1.700000029813964e-05,18550580,0.0,0.0
2025-05-28 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.2000000424450263e-05,1.2999999853491317e-05,18069274,0.0,0.0
2025-05-29 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,7.999999979801942e-06,7.999999979801942e-06,18568998,0.0,0.0
2025-05-30 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,4.999999873689376e-06,4.999999873689376e-06,20126472,0.0,0.0
2025-05-31 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.000000106112566e-06,3.000000106112566e-06,18164462,0.0,0.0
2025-06-01 00:00:00+00:00,2.708676674956223e-06,3.776247012865497e-06,2.2459717001765966e-06,3.776247012865497e-06,19184538,0.0,0.0
