TIMESTAMP,X20273_OPEN_PRICE_USD,X20273_HIGH_PRICE_USD,X20273_LOW_PRICE_USD,X20273_CLOSE_PRICE_USD,X20273_VOLUME_USD,X20273_DIVIDENDS_USD,X20273_STOCK_SPLITS_USD
2022-05-25 00:00:00+00:00,,,,0.0,96804,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,15227,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,4018,0.0,0.0
2022-05-28 00:00:00+00:00,,,,0.0,4367,0.0,0.0
2022-05-29 00:00:00+00:00,,,,0.0,4298,0.0,0.0
2022-05-30 00:00:00+00:00,,,,0.0,5869,0.0,0.0
2022-05-31 00:00:00+00:00,,,,0.0,9269,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,6142,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,10179,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,30751,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,28587,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,10028,0.0,0.0
2022-06-06 00:00:00+00:00,,,,0.0,12878,0.0,0.0
2022-06-07 00:00:00+00:00,,,,0.0,8249,0.0,0.0
2022-06-08 00:00:00+00:00,,,,0.0,6396,0.0,0.0
2022-06-09 00:00:00+00:00,,,,0.0,13522,0.0,0.0
2022-06-10 00:00:00+00:00,,,,0.0,15715,0.0,0.0
2022-06-11 00:00:00+00:00,,,,0.0,10016,0.0,0.0
2022-06-12 00:00:00+00:00,,,,0.0,4242,0.0,0.0
2022-06-13 00:00:00+00:00,,,,0.0,5037,0.0,0.0
2022-06-14 00:00:00+00:00,,,,0.0,9344,0.0,0.0
2022-06-15 00:00:00+00:00,,,,0.0,5593,0.0,0.0
2022-06-16 00:00:00+00:00,,,,0.0,4627,0.0,0.0
2022-06-17 00:00:00+00:00,,,,0.0,9524,0.0,0.0
2022-06-18 00:00:00+00:00,,,,0.0,13521,0.0,0.0
2022-06-19 00:00:00+00:00,,,,0.0,15159,0.0,0.0
2022-06-20 00:00:00+00:00,,,,0.0,8481,0.0,0.0
2022-06-21 00:00:00+00:00,,,,0.0,7144,0.0,0.0
2022-06-22 00:00:00+00:00,,,,0.0,6794,0.0,0.0
2022-06-23 00:00:00+00:00,,,,0.0,3900,0.0,0.0
2022-06-24 00:00:00+00:00,,,,0.0,44974,0.0,0.0
2022-06-25 00:00:00+00:00,,,,0.0,70262,0.0,0.0
2022-06-26 00:00:00+00:00,,,,0.0,33613,0.0,0.0
2022-06-27 00:00:00+00:00,,,,0.0,13763,0.0,0.0
2022-06-28 00:00:00+00:00,,,,0.0,9564,0.0,0.0
2022-06-29 00:00:00+00:00,,,,0.0,5652,0.0,0.0
2022-06-30 00:00:00+00:00,,,,0.0,5581,0.0,0.0
2022-07-01 00:00:00+00:00,,,,0.0,4712,0.0,0.0
2022-07-02 00:00:00+00:00,,,,0.0,10941,0.0,0.0
2022-07-03 00:00:00+00:00,,,,0.0,11372,0.0,0.0
