TIMESTAMP,COQ_OPEN_PRICE_USD,COQ_HIGH_PRICE_USD,COQ_LOW_PRICE_USD,COQ_CLOSE_PRICE_USD,COQ_VOLUME_USD,COQ_DIVIDENDS_USD,COQ_STOCK_SPLITS_USD
2023-12-11 00:00:00+00:00,,,,0.0,10846669,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,14686106,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,10101774,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,6299722,0.0,0.0
2023-12-15 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,17063993,0.0,0.0
2023-12-16 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,31794657,0.0,0.0
2023-12-17 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,19060981,0.0,0.0
2023-12-18 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,52444862,0.0,0.0
2023-12-19 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.999999989900971e-06,55872505,0.0,0.0
2023-12-20 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,59121567,0.0,0.0
2023-12-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,49054111,0.0,0.0
2023-12-22 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,37477944,0.0,0.0
2023-12-23 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,22568081,0.0,0.0
2023-12-24 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,14019200,0.0,0.0
2023-12-25 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,19422680,0.0,0.0
2023-12-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,35791786,0.0,0.0
