,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.003083922948913679,0.05553307977155309,0.04134223061275,0.13747520096666024,103936.64573825331,322.39206835505945,240.00844073945456,0.4566337612815896,0.9415436099514949
1,0.003688155331431334,0.06073018468135375,0.05271228620278436,0.540180686412631,124300.96168453262,352.5634151249001,306.0162538029527,0.3559525513831288,0.9514064051040271
2,0.00340921652289555,0.058388496494562604,0.05059557306999682,0.061768720120158306,114899.99061250042,338.96901128643077,293.72792493735295,0.1438893310584595,0.8160586959729114
3,0.023617260776776124,0.1536790837322247,0.1073978035309224,0.2422876428637652,795966.5755512811,892.1695890083237,623.4879545560817,0.1523392384835801,0.9340057478858582
4,0.0028045763542091937,0.05295825104938034,0.044352616784398634,0.13289271746220266,94521.92118987636,307.44417572931246,257.4849636743035,0.10022324609610352,0.9889457171042385
5,0.0022935082465717774,0.04789058619991801,0.04005865290820127,0.054465355203031016,95337.67884893554,308.76800165971787,258.27271122758305,0.7085593054853074,0.9641771916753807
6,0.0018036540993212494,0.04246944901127456,0.035772590734682606,3.5321870017373707,134568.99878131656,366.83647416978124,308.99130699439246,0.18893484293185597,0.9671799902348502
7,0.001350812398551033,0.03675339982302362,0.03145268665251815,0.09149593310244927,192359.43502565502,438.588001461115,375.33319315062306,0.8656520626035401,0.9255523027488851
8,0.0036778413833450383,0.06064520907165741,0.04886361178928247,0.08832849397080764,523734.82547694293,723.6952573265511,583.1023649660787,0.8680829293915214,0.7680026879253745
9,0.0009013483133010887,0.03002246347822058,0.027742639931533735,0.05875268551426985,128354.5008904953,358.26596390181317,331.0602290440143,0.3119643158705164,0.9727917115217999
10,0.0009230422841115745,0.030381610953199543,0.02590499512822252,0.042657771398313574,131443.78197885057,362.5517645507336,309.13112828424414,0.538386147303385,0.8896493544670363
11,0.0015857123733405832,0.03982100417293094,0.032317187212116495,0.08674118858857566,253677.13280609075,503.66371003487114,408.7539836087194,0.6821819318089407,0.8690878328230525
Mean,0.004094920919397353,0.05577273486994159,0.044876072879784124,0.4224361164450196,224425.20404872752,439.6589527173841,357.94753791548345,0.4477333053081607,0.9157001039512425
