,ETH,Lag
USDT,4.732657963064511e-24,6
TAJ,1.0277469945512366e-09,25
COOL,4.886507298330874e-09,20
KOBO,1.8039460175013105e-08,29
CREVA,1.4413659332872938e-07,20
DIME,4.290008638562247e-07,29
EUC,6.629324754122586e-07,4
SKULL,7.83646561560364e-07,4
WYZ,7.925065048896693e-07,30
SWING,1.117552039929053e-06,30
ACES,3.0514659600504536e-06,27
EDRC,3.1760208180665777e-06,27
TRST,8.7665571847419e-06,12
OZO,1.10442399639066e-05,26
ZET,1.398023220790601e-05,27
DOGE,1.545344317745738e-05,5
CSC,2.4027388652399735e-05,29
PXC,3.1434057784053574e-05,30
VLT,3.652282322703852e-05,29
PXI,4.403692698516948e-05,17
IRL,4.584319872282612e-05,29
UNIT,5.144051087459845e-05,30
FRN,5.9172673698617945e-05,27
EVIL,0.0001071026472077,14
GRS,0.0001115336968389,26
PUT,0.0001295506546406,16
HBD,0.0001592989405134,2
RLC,0.0001634687533578,27
XPY,0.0001658355932746,27
SPR,0.0003514992962575,12
CARBON,0.0003578781903223,29
VTC,0.0003854616744497,24
SKR,0.0005186429591945,30
NETKO,0.0006333336329499,27
SC,0.0006500257792665,28
ACOIN,0.0006814565025083,2
VAL,0.0007905949410285,5
ZUR,0.0008951046037951,29
ALIAS,0.0009484478779207,29
XDN,0.0011824477981497,4
GBYTE,0.0012151983514909,21
CJ,0.0016366910155201,29
VEC2,0.0018252961929836,30
IFC,0.0020402089041386,23
XEM,0.0020651978195273,30
AMBER,0.0022552560325303,2
IMS,0.0023623618612854,21
IOTA,0.0027128367980826,6
POST,0.0030769860444461,27
TAB,0.0032507909823568,14
LBC,0.003313430610527,26
WGR,0.0037251060259301,16
GNO,0.0037437041773342,20
NOBL,0.0039437140248248,30
DGB,0.0039625271980225,25
FRC,0.0039980499342048,14
MOTO,0.004145795742287,20
WAVES,0.004317107405594,7
QBC,0.0044151657089926,1
NEWB,0.0047456213455705,8
BLU,0.0050994150236733,28
C2,0.0051310808985757,5
ANT,0.0054412857132265,1
SXC,0.0055214558819729,21
PKB,0.0057898155935944,23
ADZ,0.0059714349015487,30
XWC,0.0063974613180236,24
LOOK,0.0067339035295729,21
