TIMESTAMP,SOLZILLA_OPEN_PRICE_USD,SOLZILLA_HIGH_PRICE_USD,SOLZILLA_LOW_PRICE_USD,SOLZILLA_CLOSE_PRICE_USD,SOLZILLA_VOLUME_USD,SOLZILLA_DIVIDENDS_USD,SOLZILLA_STOCK_SPLITS_USD
2023-12-28 00:00:00+00:00,,,,0.0,1395399,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,2863419,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,2503727,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,834295,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,347018,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,519999,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,733014,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,388159,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,273758,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,209142,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,126158,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,194418,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,429090,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,140595,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,167246,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,154784,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,99404,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,220958,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,254081,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,182975,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,190398,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,826680,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,1166044,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,379412,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,794188,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,655684,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,281038,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,193797,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,277659,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,268373,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,175369,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,183773,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,269916,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,217975,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,158033,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,106942,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,153731,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,97808,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,69717,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,76433,0.0,0.0
