TIMESTAMP,PIDOGE_OPEN_PRICE_USD,PIDOGE_HIGH_PRICE_USD,PIDOGE_LOW_PRICE_USD,PIDOGE_CLOSE_PRICE_USD,PIDOGE_VOLUME_USD,PIDOGE_DIVIDENDS_USD,PIDOGE_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,526,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,5678,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,187,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,1569,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,784,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,267,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,990,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,893,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,457,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,1394,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,450,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,1331,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,1179,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,526,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,75,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,3597,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,53,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,256,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-06-01 00:00:00+00:00,2.1489399344189197e-13,2.507199905587426e-13,2.1489399344189197e-13,2.507199092435797e-13,0,0.0,0.0
