TIMESTAMP,HAMBURG_OPEN_PRICE_USD,HAMBURG_HIGH_PRICE_USD,HAMBURG_LOW_PRICE_USD,HAMBURG_CLOSE_PRICE_USD,HAMBURG_VOLUME_USD,HAMBURG_DIVIDENDS_USD,HAMBURG_STOCK_SPLITS_USD
2025-05-12 00:00:00+00:00,,,,0.0,206472,0.0,0.0
2025-05-13 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,154074,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,94555,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,45725,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,16412,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,7108,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,9778,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,24931,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,7524,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,7080,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,358,0.0,0.0
2025-06-01 00:00:00+00:00,4.601530889658534e-08,1.1155035650745049e-07,4.042854939712015e-08,5.758416676826528e-08,12267,0.0,0.0
