Lag,DOGE,ETH,LTC,MIOTA,USDT,XEM,XLM,XMR,XRP
1,0.5974301235679178,0.24789394415844193,0.05009127551879434,0.6765154222601419,7.716254515617414e-06,0.15590017598317019,0.01854286961515538,0.7377583238077976,0.6345963407345088
2,0.8428012976540133,0.5013314562964781,0.11471678192785385,0.9350481557535208,2.587830555723452e-08,0.2327295765070724,0.0003187632931981927,0.5723928760880903,0.8790665518940568
3,0.9073793171931893,0.28330526474890283,0.21781681044173076,0.9196108880022793,1.098435617669878e-08,0.30779782817420026,0.00014128145926922713,0.7142460713492198,0.887047836307601
4,0.6611064213199818,0.21837663284667475,0.016890071903362603,0.3682958716725781,7.456758115255586e-08,0.3589861650017867,0.0002825542115585148,0.7370997332356155,0.929393814687429
5,0.7947129621002729,0.26707429084138434,0.032223491961852375,0.39433381509627885,1.104059259826408e-07,0.3937978569880111,0.0007447860863298535,0.7597004144874251,0.7495083938271687
6,0.7303827902491842,0.33765529611876033,0.05356867216387524,0.08193548787092178,3.414263824445096e-07,0.5860482130607665,0.0004436280427819824,0.7148821566971593,0.23595196294956403
7,0.7293850141953591,0.09005211108641051,0.0442184491437946,0.1265632015875936,7.827680740205012e-07,0.707861997844591,0.00041163024936750447,0.056385032397925985,0.017589080951887076
8,0.8051961177624855,0.1423150698463898,0.07575976559816142,0.07693918134312637,1.3424534929727482e-06,0.7460050401440589,0.0011010716233907046,0.06972645887733614,0.027544804610858207
9,0.8355953782852873,0.17313633140200024,0.0004021797839502758,0.06725515184953264,1.6087843089917253e-07,0.5587297077697535,0.0024874746918558863,0.0396684543073346,0.041141465155812726
10,0.8907393361601957,0.17133366111646217,0.00068714918032498,0.0861085788281921,5.709666441316242e-07,0.6534708193698014,0.0039051116870898682,0.019419344002966635,0.04313280331114111
11,0.04929814295638226,0.23725616905162558,0.0014694576188580251,0.05574277728414086,2.776533470083463e-06,0.7233725044037067,0.008297473982026828,0.00776561475327479,0.038983901626777145
12,0.05188051619664791,0.2849443299132327,0.0009040398545229879,0.09501132808906505,2.47895947221078e-06,0.709894970464088,0.015578719192720369,0.010783427025405589,0.0686555938964736
13,0.07538294311775394,0.3261739182029616,0.0015136876542838611,0.11501214460656917,5.48424834079933e-06,0.3191238697324951,0.004918271959813656,0.007151971993481104,0.035390189533592055
14,0.09706929341344038,0.37409279635273884,0.0008781032746257902,0.17414978461801883,1.2324387736271825e-05,0.17950761876449076,0.00861848884673838,0.01268476715422731,0.04034982276777706
15,0.0811588976837917,0.4376681517806116,0.0014380609907368544,0.14388352248386974,8.483622715289927e-06,0.2235122551431019,0.010155247969828638,0.01713375215732415,0.038923539922545686
16,0.10348882611233144,0.5241673917569551,0.0019468829372476257,0.1331759485106453,7.062918708321225e-06,0.25696010792290735,0.011148751053885112,0.018579019586401475,0.05202482140513209
17,0.08868305225451895,0.23531558363460464,0.00047741869861733116,0.1803087970470194,1.1300672657569172e-05,0.1667802527031983,0.000708764314875624,0.006662564914808541,0.006063490193522904
18,0.06805303979699853,0.28741310810233384,0.0004609549627169367,0.17256269570566987,3.195905172366834e-06,0.17286015830436155,0.0005986100191898122,0.00433153416284367,0.001205096728821489
19,0.038266976646507134,0.2870672367836059,0.0004928397614183971,0.18016873902593633,3.0088810082718216e-06,0.17291072739418362,0.00047669642923989995,0.007857386678355805,0.0001989723185656263
20,0.015505443680628065,0.2644463184439837,0.0009961183339308442,0.26107947622104555,9.010057245668992e-06,0.13539025926168766,0.0006422412856796262,0.010308701588417795,0.00020493754719934216
21,0.020961372765599572,0.2989017784668879,0.0006505627182102708,0.24447843839644814,1.6970629226737746e-05,0.12908127737921843,0.0004482517959463837,0.00936253089245807,5.9443139338718704e-05
22,0.038754222529489984,0.3004126961968088,0.00031249029544220657,0.1325280972713479,7.5630333311000085e-06,0.13011011365921435,0.001096894988660622,0.009514247959785569,6.005363212351992e-06
23,0.043962750901283966,0.3019143319916446,0.0003452434408745544,0.14581115881637793,1.244004424098053e-05,0.1379617717847191,0.0015022813918396203,0.011403188681183703,6.721929984071451e-06
24,0.005547286192169597,0.3666715186900829,0.0005356913358999224,0.13763713021528465,1.270361486529103e-05,0.12168055265461991,0.000707430001554879,0.017420987201790725,1.2564896756516633e-05
25,0.0007579891161100147,0.3015433885660742,0.0003557868530036254,0.06629177883704045,1.9542408458353068e-05,0.09658397876377418,0.0010880827159846533,0.016209629418381145,1.1666266826631226e-05
26,0.000804506615483764,0.24601117626520141,0.0008423913771209873,0.09420779628213959,1.8027923108151535e-05,0.09774245965893151,0.0008145332101579002,0.01769141985481352,1.9197373525505213e-05
27,0.0010799445179590305,0.00033220436076023793,0.0009736461126935756,0.08875551859675503,1.9058140887243772e-05,0.12742722701661102,0.0013791581289324783,0.0045376804463371076,3.024117285684867e-05
28,0.0010502778633988091,0.0008041368935929242,0.0013077424485068456,0.06968733067676543,3.495877737671365e-05,0.16832461364567197,0.0009244804257740253,0.008628293523611412,6.934914076867389e-05
29,0.0015410576336202344,0.00041736724895294255,0.0018635121010259993,0.06074008900493038,3.9161094942084176e-05,0.0695035414900828,0.0015844011965755666,0.008820047838097967,0.00015024918677223372
30,0.0007854620205453367,0.00033472568124849904,0.0017144403465667846,0.12185641286974719,3.2831381943681656e-05,0.06023407431893673,0.0017330921424178651,0.0107933724688755,0.0002309863658492926
