Lag,DOGE,ETH,LTC,MIOTA,USDT,XEM,XLM,XMR,XRP
1,0.694338767151113,4.8159943220934216e-05,0.005747838817237376,0.5112510714040059,0.16283607382697418,9.236837949416429e-06,0.8067772509827773,0.02721864017981388,0.003115553179700486
2,0.7980421982268933,0.0001265263546419791,0.018608289742917818,0.28482420905531075,0.00040966344052416093,3.0151210305774182e-05,0.010640595267507222,0.06421902025329693,0.0014066564445595424
3,0.5876258848051286,0.00029381031281695824,0.043574938189433844,0.23484077130558317,0.0012737115910151566,1.586453623376183e-05,0.023101555274285073,0.09174697280826971,0.003405077401214351
4,0.6186773953625648,0.00023352341162715857,0.0003877054574059097,0.024693809292513923,0.0032771709192159068,2.9765620189883116e-05,0.041665814751763265,0.06403578622780294,0.005140046026139321
5,0.589420768917385,0.00013408040619836898,0.0009160888273517658,0.044051641712231145,0.007737583161477309,3.4487533821913035e-05,0.08073028559377984,0.0589788771932925,0.009859666729687497
6,0.6593013907848473,0.00015953210051675908,0.0011087815932199884,0.06884761513942005,0.016316850103319,3.174016117897688e-05,0.058199929242783284,0.017740927909051865,0.01320380782193269
7,0.6582065794999782,0.00031074960761887083,0.0014509174589479928,0.055819406841968594,0.029199082176993876,2.2117170190356303e-05,0.0672105956654712,0.01624469804333874,0.021694136589553548
8,0.7274921170386129,0.0001434111183947105,0.0005634623078433086,0.0852354231586699,0.048116048610644745,5.7666645712375306e-05,0.03969596883872217,0.009344048390571118,0.003098804353062461
9,0.8086710352884858,2.1177525338709336e-05,0.0011214874366936485,0.051896822113740484,0.0524921347640824,0.00011176957475439239,0.003999934006713007,0.014142987917089261,0.00012031114477844589
10,0.8888844497957384,4.69592789293693e-05,8.138328483188074e-05,0.11273922321889866,0.030114938011256406,0.00025018147631603423,0.0066869611905508285,0.023297929394681838,1.1694719252151402e-05
11,0.05664739110128265,9.564545644461931e-05,0.00016408502410732213,0.15724304955121826,0.0014637399872965166,0.000329939974493142,0.003097801131083164,0.03936537049400182,1.0605713894115406e-06
12,0.08497817492442522,0.00011737003960427858,0.00028480673690984193,0.17057104197085798,0.0033183692325611243,0.0006488691903627363,0.005627874559566334,0.07696696734717003,3.669893989462346e-06
13,0.10985215577457837,3.095629798664507e-05,0.00044324896751977175,0.21162651024029872,0.00573301274638783,0.0009893893046883818,0.0007217933124994826,0.10215414710076146,5.490820797726291e-06
14,0.11962480529274237,1.6374588683462487e-05,0.00020065382302981885,0.26288077068865884,0.0015283356168295699,0.0003108378255044162,0.0018516574398891007,0.14452602079331095,1.2184739539035112e-05
15,0.15666967588781971,3.4064058475824454e-05,0.00032002245799340545,0.11464438182803265,0.0023429867245654103,0.00047071174234250443,0.0029510996690877865,0.17916476714547278,1.849641405129685e-05
16,0.15642528088346458,5.999714267683217e-05,0.0004962790140962761,0.11024153858165575,0.002611917009939664,0.0007085231234257445,0.004864348802683287,0.11949153494135295,3.3507801417253215e-05
17,0.1941687993376203,5.060820923189142e-05,0.0006692990183338637,0.10026926061914064,0.0007048042624076134,0.001314769681146786,0.006404187940405665,0.02880511834779779,4.585999662318793e-05
18,0.12073852839517092,6.11629278612427e-05,0.0012722947980893828,0.06639979510718615,5.8783135936349324e-05,0.00035400416176164964,0.006785966241039319,0.03831340593759725,2.7302727293629476e-05
19,0.14122128022132466,7.938238167904856e-05,0.001992549917861584,0.08300938559785331,0.00010955701033938458,0.0005032029376218788,0.008637330030102162,0.025806276644903262,3.5929927244625416e-05
20,0.08657864189564025,8.782019465804368e-05,0.0041918011135627315,0.09298311656953841,0.0001605783881548253,0.0008426428166368998,0.014113215485917744,0.0512944232956887,9.217601466300714e-05
21,0.10006252083580007,0.00012129545402228569,0.00456554289133588,0.0846594886506281,0.0002782127307166243,0.0007854981689799737,0.017525224223822286,0.0683263637235592,5.483773566136923e-05
22,0.07322384099501872,0.00018393910636870902,0.005338832963695453,0.10180658897941831,0.0002261820473934653,0.0008956797504916498,0.01336152706073619,0.08915052495359597,6.430068977868224e-05
23,0.09616772743827282,0.0003782222056591886,0.00928806435099676,0.13752937863762005,0.00044920954734684466,0.001769387828288997,0.016685330762629333,0.08624404227639476,0.00012664477505580464
24,0.10879540043353099,0.0006875882699483195,0.015015992197833346,0.12193683659497337,0.00029355465229474585,0.0020790388124278815,0.014191759732893331,0.10231869164023961,0.00023449093297065542
25,0.04056784947997351,0.0008457124210422433,0.01563641084516628,0.08574767040749047,0.00040825216840172134,0.0012502642666586748,0.017885781806927015,0.06250689086990616,0.00033620214774694095
26,0.018995627783109363,0.0006033377457520444,0.019516701819984356,0.10075222573222306,0.00029492900611344697,0.0015199921661739548,0.019021190032388984,0.07866171976774296,0.0001903541304784883
27,0.025602332418145714,3.521211735175098e-05,0.014004907234669874,0.12640005438991073,0.0003725367810699338,0.002215679742058464,0.02058337879567056,0.07372719233351932,0.00025855013482657815
28,0.024344859240353674,2.4863449563044356e-05,0.018214220027859447,0.09630137158236314,0.0005474477483286465,0.0027417607663045413,0.006906983607599499,0.07672706108877829,0.0003215907725328957
29,0.0209128010167112,8.500039770124456e-06,0.011122252554234083,0.12260715632391174,1.4788234344372232e-05,0.0013579279606834682,0.010303465875256938,0.050300264062675674,0.0005356461169676211
30,0.009736991108913377,1.0308339645523717e-05,0.010949938407412357,0.08535297396371375,8.557220743045976e-06,0.0011549216962871197,0.012612601762520149,0.052179716822485775,0.0007609833727738426
