TIMESTAMP,FINE32549_OPEN_PRICE_USD,FINE32549_HIGH_PRICE_USD,FINE32549_LOW_PRICE_USD,FINE32549_CLOSE_PRICE_USD,FINE32549_VOLUME_USD,FINE32549_DIVIDENDS_USD,FINE32549_STOCK_SPLITS_USD
2024-08-03 00:00:00+00:00,0.001598999951966107,0.0018820000113919377,0.0002809999859891832,0.0003349999897181988,3876112,0.0,0.0
2024-08-04 00:00:00+00:00,0.0003349999897181988,0.0005579999997280538,5.6000000768108293e-05,0.0001939999929163605,502201,0.0,0.0
2024-08-05 00:00:00+00:00,0.0001829999964684248,0.00024399999529123306,8.800000068731606e-05,0.00010900000052060932,62403,0.0,0.0
2024-08-06 00:00:00+00:00,0.00010900000052060932,0.00017299999308306724,4.999999873689376e-05,9.7999996796716e-05,64867,0.0,0.0
2024-08-07 00:00:00+00:00,0.00018200000340584666,0.00030399998649954796,6.900000153109431e-05,0.00010199999815085903,115326,0.0,0.0
2024-08-08 00:00:00+00:00,0.00010199999815085903,0.00014099999680183828,5.500000042957254e-05,9.000000136438757e-05,46116,0.0,0.0
2024-08-09 00:00:00+00:00,0.00017899999511428177,0.00019999999494757503,6.500000017695129e-05,0.00012399999832268804,101111,0.0,0.0
2024-08-10 00:00:00+00:00,0.00012399999832268804,0.00012399999832268804,6.900000153109431e-05,8.600000001024455e-05,20220,0.0,0.0
2024-08-11 00:00:00+00:00,8.600000001024455e-05,0.00010599999950500205,5.0999999075429514e-05,5.500000042957254e-05,25130,0.0,0.0
2024-08-12 00:00:00+00:00,5.500000042957254e-05,8.399999933317304e-05,2.4000000848900527e-05,2.9000000722589903e-05,40458,0.0,0.0
2024-08-13 00:00:00+00:00,2.9000000722589903e-05,3.7999998312443495e-05,1.8999999156221747e-05,1.9999999494757503e-05,11273,0.0,0.0
2024-08-14 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,589,0.0,0.0
2024-08-15 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.4999999621068127e-05,2410,0.0,0.0
2024-08-16 00:00:00+00:00,1.4999999621068127e-05,2.5999999706982635e-05,1.4000000192027073e-05,2.5999999706982635e-05,3320,0.0,0.0
2024-08-17 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,1.9999999494757503e-05,1.9999999494757503e-05,2813,0.0,0.0
2024-08-18 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.4999999621068127e-05,1.4999999621068127e-05,1380,0.0,0.0
2024-08-19 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,269,0.0,0.0
2024-08-20 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,264,0.0,0.0
2024-08-21 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,1.5999999959603883e-05,18,0.0,0.0
2024-08-22 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,653,0.0,0.0
2024-08-23 00:00:00+00:00,1.4000000192027073e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.8000000636675395e-05,662,0.0,0.0
2024-08-24 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,243,0.0,0.0
2024-08-25 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,49,0.0,0.0
2024-08-26 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,1.700000029813964e-05,0,0.0,0.0
2024-08-27 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,243,0.0,0.0
