TIMESTAMP,ZEN_CLOSE_PRICE_USD,ZEN_OPEN_PRICE_USD,ZEN_HIGH_PRICE_USD,ZEN_LOW_PRICE_USD
2018-02-26,36.5198,34.194,37.9765,32.6691
2018-02-27,39.8745,36.5198,42.107,35.8613
2018-02-28,37.9685,39.8745,41.9638,35.7742
2018-03-01,39.7362,37.9685,41.8055,36.7656
2018-03-02,39.1071,39.7362,41.3336,35.8691
2018-03-03,39.6196,39.1071,41.2067,38.7494
2018-03-04,40.0575,39.6196,40.2506,37.0497
2018-03-05,37.6361,40.0575,40.8548,37.3998
2018-03-06,33.2547,37.6361,37.6361,32.53
2018-03-07,30.2174,33.2547,34.1833,27.9139
2018-03-08,25.779,30.2174,30.2359,25.2588
2018-03-09,26.0356,25.779,26.4753,21.852
2018-03-10,23.8598,26.0356,28.1655,23.6044
2018-03-11,24.1986,23.8598,25.9164,22.4723
2018-03-12,21.9334,24.1986,27.5908,20.6992
2018-03-13,23.365,21.9334,23.4143,20.3174
2018-03-14,17.7518,23.365,23.5305,17.4161
2018-03-15,20.646,17.7518,20.8458,16.9373
2018-03-16,20.588,20.646,22.6236,19.448
2018-03-17,18.5345,20.588,21.0032,18.4257
2018-03-18,17.6184,18.5345,18.5345,15.7556
2018-03-19,19.5708,17.6184,20.1549,17.5361
2018-03-20,19.9324,19.5708,19.9413,17.9014
2018-03-21,19.5708,19.9324,21.4831,19.3153
2018-03-22,19.4889,19.5708,20.2657,18.9653
2018-03-23,18.9529,19.4889,19.7961,17.4873
2018-03-24,18.5376,18.9529,19.8412,18.3313
2018-03-25,18.2839,18.5786,18.9304,17.966
2018-03-26,17.3927,18.2839,19.1752,16.6613
2018-03-27,17.5138,17.3927,19.585,15.5739
2018-03-28,18.939,17.5138,19.5688,16.6842
2018-03-29,17.6626,18.939,19.6512,16.821
2018-03-30,16.8093,17.6626,18.0815,14.6177
2018-03-31,15.9531,16.8094,17.3591,15.5124
2018-04-01,15.9212,15.9531,16.4678,14.3153
2018-04-02,20.422,15.9212,20.7191,15.7127
2018-04-03,21.6217,20.422,22.3939,18.552
2018-04-04,20.751,21.6217,21.9742,18.6407
2018-04-05,22.3478,20.751,23.437,19.104
2018-04-06,23.6935,22.3478,24.4174,20.4407
2018-04-07,24.6623,23.6935,25.7173,23.0029
2018-04-08,25.3937,24.6623,25.7277,23.5049
2018-04-09,24.0794,25.3937,26.9946,23.1779
2018-04-10,25.1148,24.0794,25.6327,23.4373
2018-04-11,26.2396,25.1148,26.4583,24.8532
2018-04-12,30.0356,26.2396,30.8072,25.243
2018-04-13,31.3992,30.0356,33.7735,29.4057
2018-04-14,34.4206,31.3992,36.09,30.9795
2018-04-15,34.3688,34.4206,36.0169,32.8741
2018-04-16,33.5173,34.3688,34.5329,31.2012
2018-04-17,33.415,33.5173,35.0491,31.9874
2018-04-18,34.9396,33.415,36.1266,32.3165
2018-04-19,37.1424,34.9396,38.8719,34.0984
2018-04-20,40.776,37.1424,40.9744,36.355
2018-04-21,36.526,40.776,40.776,34.3068
2018-04-22,34.3906,36.526,36.5496,34.297
2018-04-23,34.2175,34.3906,35.416,32.9286
2018-04-24,37.1405,34.2175,37.5234,34.1808
2018-04-25,34.576,37.1405,37.2501,32.7092
2018-04-26,39.0159,34.576,39.4451,34.4586
2018-04-27,40.8311,39.0159,42.5835,37.6725
2018-04-28,42.2621,40.8311,43.743,40.3747
2018-04-29,40.9751,42.2621,43.1559,40.5768
2018-04-30,38.7774,40.9751,41.9607,38.6429
2018-05-01,38.3907,38.7774,39.145,36.3646
2018-05-02,40.7621,38.3907,41.3347,36.7983
2018-05-03,41.2011,40.7621,41.8675,38.2193
2018-05-04,40.8442,41.2011,41.5169,39.5444
2018-05-05,41.5259,40.8442,42.8379,39.9648
2018-05-06,39.9883,41.645,41.9498,39.0285
2018-05-07,37.8978,39.9883,40.0579,37.3139
2018-05-08,36.0955,38.6365,38.8264,0.004
2018-05-09,34.4181,36.0832,36.4599,34.3179
2018-05-10,35.7468,34.4181,37.3397,34.4181
2018-05-11,30.2542,35.7468,35.7468,30.0893
2018-05-12,31.1927,30.2542,33.0156,29.6865
2018-05-13,32.4331,31.3532,32.8873,30.1805
2018-05-14,31.923,32.4331,33.3808,29.1789
2018-05-15,30.018,31.918,32.2177,28.8073
2018-05-16,28.409,30.3076,30.3076,27.326
2018-05-17,26.51,28.3529,29.3122,25.9516
2018-05-18,28.5012,26.4801,29.1043,25.9422
2018-05-19,28.5508,28.5012,29.0154,27.8147
2018-05-20,30.4963,28.5508,30.7047,28.0196
2018-05-21,32.457,30.4963,32.8411,30.1283
2018-05-22,32.7376,32.457,35.8135,32.2966
2018-05-23,31.23,32.7228,50.374,30.6573
2018-05-24,34.7482,31.0231,36.209,30.6542
2018-05-25,38.2212,34.7629,40.2432,31.8038
2018-05-26,36.0689,38.267,40.2329,35.7106
2018-05-27,32.6704,36.0759,36.0759,32.0314
2018-05-28,29.0744,32.6729,33.9702,28.9172
2018-05-29,30.8114,29.0922,32.6076,27.6347
2018-05-30,30.07,30.8269,31.5745,29.3678
2018-05-31,30.4441,30.2061,31.2076,29.4855
2018-06-01,31.5343,30.6133,31.9763,29.7826
2018-06-02,30.0233,31.4064,31.4064,29.7248
2018-06-03,29.1442,30.0961,30.6432,28.6276
2018-06-04,26.5252,29.1438,29.3442,26.3033
2018-06-05,23.3965,26.5906,27.154,21.8743
2018-06-06,22.7109,23.3789,23.5068,21.1856
2018-06-07,23.094,22.7152,24.0146,21.8657
2018-06-08,22.8133,23.1574,23.913,22.0207
2018-06-09,21.3253,22.8136,22.8663,21.1506
