TIMESTAMP,NEIREI_OPEN_PRICE_USD,NEIREI_HIGH_PRICE_USD,NEIREI_LOW_PRICE_USD,NEIREI_CLOSE_PRICE_USD,NEIREI_VOLUME_USD,NEIREI_DIVIDENDS_USD,NEIREI_STOCK_SPLITS_USD
2024-09-13 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,1.2000000424450263e-05,74176,0.0,0.0
2024-09-14 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,24123,0.0,0.0
2024-09-15 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,12766,0.0,0.0
2024-09-16 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,22054,0.0,0.0
2024-09-17 00:00:00+00:00,9.999999747378752e-06,1.4999999621068127e-05,7.999999979801942e-06,1.4000000192027073e-05,103099,0.0,0.0
2024-09-18 00:00:00+00:00,1.4000000192027073e-05,2.499999936844688e-05,1.4000000192027073e-05,2.099999983329326e-05,225174,0.0,0.0
2024-09-19 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.9999999494757503e-05,145147,0.0,0.0
2024-09-20 00:00:00+00:00,1.9999999494757503e-05,2.700000004551839e-05,1.9999999494757503e-05,2.2000000171829015e-05,76631,0.0,0.0
2024-09-21 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,1.8999999156221747e-05,2.4000000848900527e-05,48863,0.0,0.0
2024-09-22 00:00:00+00:00,2.4000000848900527e-05,3.199999991920777e-05,2.4000000848900527e-05,3.099999958067201e-05,154754,0.0,0.0
2024-09-23 00:00:00+00:00,3.099999958067201e-05,4.5000000682193786e-05,2.9999999242136255e-05,3.7999998312443495e-05,193436,0.0,0.0
2024-09-24 00:00:00+00:00,3.7999998312443495e-05,4.999999873689376e-05,3.600000127335079e-05,4.5000000682193786e-05,165297,0.0,0.0
2024-09-25 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,3.7999998312443495e-05,4.199999966658652e-05,94459,0.0,0.0
2024-09-26 00:00:00+00:00,4.199999966658652e-05,5.199999941396527e-05,4.199999966658652e-05,4.999999873689376e-05,161177,0.0,0.0
2024-09-27 00:00:00+00:00,4.999999873689376e-05,6.70000008540228e-05,4.999999873689376e-05,6.70000008540228e-05,391015,0.0,0.0
