TIMESTAMP,CANDYLAD_OPEN_PRICE_USD,CANDYLAD_HIGH_PRICE_USD,CANDYLAD_LOW_PRICE_USD,CANDYLAD_CLOSE_PRICE_USD,CANDYLAD_VOLUME_USD,CANDYLAD_DIVIDENDS_USD,CANDYLAD_STOCK_SPLITS_USD
2021-11-27 00:00:00+00:00,,,,0.0,1809295,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,3624499,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,2256978,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,721679,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,928302,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,876511,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,448505,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,356882,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,409956,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,554301,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,401041,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,252928,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,190084,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,168745,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,114798,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,132726,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,154102,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,142628,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,110211,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,94040,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,483939,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,493989,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,121365,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,126222,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,83081,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,70797,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,86972,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,110600,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,99758,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,51535,0.0,0.0
2021-12-27 00:00:00+00:00,,,,0.0,34363,0.0,0.0
2021-12-28 00:00:00+00:00,,,,0.0,83988,0.0,0.0
2021-12-29 00:00:00+00:00,,,,0.0,126837,0.0,0.0
2021-12-30 00:00:00+00:00,,,,0.0,94109,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,36512,0.0,0.0
2022-01-03 00:00:00+00:00,,,,0.0,66514,0.0,0.0
2022-01-04 00:00:00+00:00,,,,0.0,54600,0.0,0.0
2022-01-05 00:00:00+00:00,,,,0.0,449792,0.0,0.0
2022-01-06 00:00:00+00:00,,,,0.0,440376,0.0,0.0
2022-01-07 00:00:00+00:00,,,,0.0,452739,0.0,0.0
2022-01-08 00:00:00+00:00,,,,0.0,345013,0.0,0.0
2022-01-09 00:00:00+00:00,,,,0.0,288737,0.0,0.0
2022-01-10 00:00:00+00:00,,,,0.0,284488,0.0,0.0
2022-01-11 00:00:00+00:00,,,,0.0,320465,0.0,0.0
2022-01-12 00:00:00+00:00,,,,0.0,431624,0.0,0.0
2022-01-13 00:00:00+00:00,,,,0.0,508931,0.0,0.0
2022-01-14 00:00:00+00:00,,,,0.0,441230,0.0,0.0
2022-01-15 00:00:00+00:00,,,,0.0,547841,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,972074,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,788324,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,754318,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,1095100,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,530293,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,374951,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,197865,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,152266,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,137166,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,126342,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,282787,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,341269,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,237995,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,274726,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,65369,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,39168,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,22909,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,20672,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,19537,0.0,0.0
