TIMESTAMP,KEKIUS_OPEN_PRICE_USD,KEKIUS_HIGH_PRICE_USD,KEKIUS_LOW_PRICE_USD,KEKIUS_CLOSE_PRICE_USD,KEKIUS_VOLUME_USD,KEKIUS_DIVIDENDS_USD,KEKIUS_STOCK_SPLITS_USD
2025-02-25 00:00:00+00:00,,,,0.0,51,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,996,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,211,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,42,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,170,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,13259,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,5452,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,9373,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,2452,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,38,0.0,0.0
2025-06-01 00:00:00+00:00,4.984820065404016e-13,4.984820065404016e-13,4.4214200985333296e-13,4.521651336773097e-13,768,0.0,0.0
