,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{LTC}/\emph{USDT} OP,9044,97.10,58.01,22.80,40.34,56.61,76.15,124.72,213.63,400.21
\emph{LTC}/\emph{USDT} HP,9044,99.10,59.96,23.49,41.04,57.55,77.32,126.76,220.28,413.49
\emph{LTC}/\emph{USDT} LP,9044,94.91,55.89,22.32,39.69,55.61,74.84,121.90,208.40,387.04
\emph{LTC}/\emph{USDT} CP,9044,97.08,57.98,22.80,40.34,56.61,76.15,124.70,213.47,400.21
