,BTC,ETH,LTC,XMR,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
ANT,0.5035297845796266,0.576232288085476,0.5158632657693635,0.422119787420576,0.484426161548867,1.0,0.34269083304287207,0.5425586662903246,0.4573948341294358,0.5139247486013925,0.37625534735688526,0.5154508305987335,0.4439182442450957,0.5143627005057019,0.4523067511647334,0.42368604251786113,0.48243098754098085,0.43385489761702223,0.45838944686136074,0.4200478943707537,0.5110211471999107,0.4494947097124254,0.5393245099645663,0.47486484096708925,0.4859504377754361,0.4259509503107446,0.4373216895755939,0.4657722736177813,0.49559953833392445,0.49339288442097134,0.49806696505723136,0.5071924636965324
ARK,0.5072296710988364,0.5345533139587109,0.4332237732585774,0.2645091073055652,0.4366276609290348,0.34269083304287207,1.0,0.5837141824579671,0.10440308400220438,0.5361224260462992,0.4467130859726921,0.5113341112855994,0.47566654477077236,0.5388736609516777,0.4527991698872582,0.606756215512086,0.4461862109282255,0.47358222911380565,0.5400818851564175,0.5032386012676924,0.5856782933943261,0.5603079928235201,0.5897004896484568,0.5107180592280718,0.4286248211134339,0.5815792967182469,0.4569267448542928,0.4482762794284966,0.5080334079293742,0.4865618953091435,0.4645027706312141,0.44101534579735074
BAT,0.5920358776771238,0.6482976811412924,0.6269615049727265,0.5088471868332618,0.5917149557946626,0.5425586662903246,0.5837141824579671,1.0,0.5586490348768304,0.6533378639395425,0.5472954251130012,0.6533902076742861,0.5746269571998457,0.6184996416875037,0.5720603254999369,0.6634910190677656,0.5638608160827587,0.5676343867909408,0.6064550967687978,0.574719328966387,0.671751693618012,0.6062261825381409,0.6799116667507081,0.6030372612025579,0.6540696408859998,0.6535411133662523,0.5753373312316863,0.5564543187413815,0.6895310047983323,0.650595488466055,0.6073274682688998,0.6133299390197473
BTC,1.0,0.7713023893822591,0.7324595215666068,0.6255589591311538,0.648447012308774,0.5035297845796266,0.5072296710988364,0.5920358776771238,0.5732428479141615,0.6598332113354841,0.5648927710039051,0.6401695312980873,0.6440949319801534,0.6684862632161425,0.5592471353140903,0.544997609961581,0.6507606906441656,0.5051594195887246,0.5665882230785318,0.5181381781036187,0.6295900264977945,0.5593323698041206,0.6666259593778925,0.5322831049407711,0.5893071174984856,0.5605843842676129,0.5600563162481325,0.5094846876805625,0.6094512378811437,0.6377697091286711,0.6107762204815623,0.5519934747046586
BTS,0.5732428479141615,0.5815143370460312,0.5728941895971488,0.48514816170223474,0.5248559489435034,0.4573948341294358,0.10440308400220438,0.5586490348768304,1.0,0.5769273239475223,0.4525763301568474,0.5625038920339862,0.4775076396111657,0.5507530282563405,0.5140628162858406,0.2716992551349459,0.5043225621521252,0.47819438007589576,0.516697868303844,0.2808604938246235,0.5497279267998875,0.37207792207792206,0.5590739339840991,0.5116650214113339,0.5763777640996521,0.3718148120902456,0.4400854592187203,0.4630881915144913,0.5466944233728018,0.5426448302145436,0.5535406700684554,0.5120344361514468
DASH,0.6598332113354841,0.6990498659664348,0.7284335312925286,0.6012656092158161,0.6322670981428381,0.5139247486013925,0.5361224260462992,0.6533378639395425,0.5769273239475223,1.0,0.5387074453637752,0.6399549319760336,0.5871291600182856,0.6985310130674072,0.5678413544550762,0.5958778679933279,0.5658738237001193,0.5313756901650983,0.5829142568259758,0.5780721507895322,0.6603588448057325,0.6117381328831837,0.6963456878161636,0.5672339004210033,0.6023002669155184,0.5798355273442571,0.5628541699035031,0.561197581277437,0.6312436951237443,0.6616313918899858,0.7491666446677253,0.6456672818800155
DCR,0.5648927710039051,0.559009000456309,0.5389294922193146,0.43514389915120216,0.468870387416753,0.37625534735688526,0.4467130859726921,0.5472954251130012,0.4525763301568474,0.5387074453637752,1.0,0.5259029692594415,0.474296653043918,0.5348300832133457,0.5237649654283885,0.46026202406148714,0.48760951293345256,0.4742732640907612,0.46553461591842216,0.4735097262928967,0.5248813276954377,0.6191283367627876,0.5413375543028649,0.4601870251196411,0.49523144077786074,0.5009793391503328,0.4947413551813368,0.43326346579549496,0.5133574299559754,0.49628369603713784,0.49504275322619434,0.4837294652373737
DGB,0.6401695312980873,0.6588012243401609,0.6153572703928092,0.5096793544286173,0.5634982354171467,0.5154508305987335,0.5113341112855994,0.6533902076742861,0.5625038920339862,0.6399549319760336,0.5259029692594415,1.0,0.5667646979972586,0.6221564225827585,0.5909099224375385,0.5749801314144158,0.5539406686242861,0.5434235706128248,0.5637394763205458,0.5417153856461397,0.6278954069900348,0.5663042324883014,0.6318924451561778,0.5610796191726992,0.5958264338365384,0.5664545104815404,0.5748059648392598,0.5308140846182187,0.6268374427444239,0.6011044280793645,0.6042914398514896,0.5916114070375759
DOGE,0.6440949319801534,0.6325895789406393,0.6174143339687784,0.49981701865181205,0.5909517428785146,0.4439182442450957,0.47566654477077236,0.5746269571998457,0.4775076396111657,0.5871291600182856,0.474296653043918,0.5667646979972586,1.0,0.6257970662826943,0.48795151172162277,0.5418593809524139,0.5378737636188842,0.44624814295705745,0.5079364271311129,0.5343885021387471,0.5786730894832918,0.5309759165025074,0.6160128215754999,0.4841746321121503,0.532934756572139,0.5397451125257885,0.5214204807277545,0.4660804732125949,0.5468818813731672,0.5921228554567907,0.5368093431393202,0.5081972578767378
ETC,0.6684862632161425,0.7525313450031197,0.709416313793237,0.5636943982514917,0.6438966126092094,0.5143627005057019,0.5388736609516777,0.6184996416875037,0.5507530282563405,0.6985310130674072,0.5348300832133457,0.6221564225827585,0.6257970662826943,1.0,0.5769800768975194,0.6159461697921349,0.6403571352742802,0.5437823262072198,0.5797186747317481,0.5681799427798303,0.6522905715856019,0.5876828720631058,0.70604183916345,0.5406521623801858,0.5890088722239017,0.5794690156528528,0.5539876935979731,0.532721865604389,0.6221640327803307,0.6511411421990427,0.640294585590916,0.5943970187109243
