TIMESTAMP,GM28802_OPEN_PRICE_USD,GM28802_HIGH_PRICE_USD,GM28802_LOW_PRICE_USD,GM28802_CLOSE_PRICE_USD,GM28802_VOLUME_USD,GM28802_DIVIDENDS_USD,GM28802_STOCK_SPLITS_USD
2023-12-22 00:00:00+00:00,,,,0.0,486770,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,509073,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,1078587,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,1493992,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,437891,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,267181,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,368704,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,409486,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,127091,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,109737,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,162844,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,106659,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,321799,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,154197,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,180486,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,71872,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,54235,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,69202,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,67854,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,143837,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,101774,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,81216,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,81836,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,51881,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,67440,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,47716,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,97595,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,77807,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,63513,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,25592,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,65301,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,56764,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,43029,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,41940,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,13038,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,78016,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,58472,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,44606,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,54276,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,31537,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,36620,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,20191,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,25729,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,22142,0.0,0.0
