TIMESTAMP,XMR_OPEN_PRICE_USD,XMR_HIGH_PRICE_USD,XMR_LOW_PRICE_USD,XMR_CLOSE_PRICE_USD,XMR_FIRST_TRADE_PRICE_USD,XMR_HIGH_TRADE_PRICE_USD,XMR_LOW_TRADE_PRICE_USD,XMR_LAST_TRADE_PRICE_USD,XMR_TOTAL_TRADE_COUNT,XMR_TOTAL_TRADES_BUY,XMR_TOTAL_TRADES_SELL,XMR_VOLUME_USD,XMR_QUOTE_VOLUME,XMR_VOLUME_BUY,XMR_QUOTE_VOLUME_BUY,XMR_VOLUME_SELL,XMR_QUOTE_VOLUME_SELL,XMR_MARKET_CAP_USD_PER_BIC,XMR_VOLUME_USD_PER_CMC,XMR_MARKET_CAP_USD_PER_CMC
2017-06-01,40.27,44.22,40.12,42.12,,,,,,,,,,,,,,642889472.0,12849800.0,636286276.859
2017-06-02,42.12,43.11,41.22,42.59,,,,,,,,,,,,,,641391348.0,9539580.0,640908997.99
2017-06-03,42.59,43.26,41.0,41.0,,,,,,,,,,,,,,636481047.0,9819610.0,617326626.305
2017-06-04,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,620224190.0,9805040.0,625242550.749
2017-06-05,42.37,48.06,42.33,47.99,,,,,,,,,,,,,,663600466.0,16780900.0,703701494.937
2017-06-06,47.99,55.65,45.45,55.6,,,,,,,,,,,,,,742136548.0,34918400.0,810500977.803
2017-06-07,55.6,63.2,51.27,52.0,,,,,,,,,,,,,,815860584.0,50623800.0,766535450.406
2017-06-08,52.0,56.2,49.55,56.2,,,,,,,,,,,,,,798181931.0,14708500.0,820203859.982
2017-06-09,56.2,57.17,54.8,55.37,,,,,,,,,,,,,,815709792.0,11941600.0,812202156.52
2017-06-10,55.37,56.4,50.9,51.03,,,,,,,,,,,,,,794941314.0,14465400.0,763701773.17
2017-06-11,51.03,58.3,50.9,58.3,,,,,,,,,,,,,,797035396.0,15485200.0,857729184.593
