TIMESTAMP,NYC_OPEN_PRICE_USD,NYC_HIGH_PRICE_USD,NYC_LOW_PRICE_USD,NYC_CLOSE_PRICE_USD,NYC_VOLUME_USD,NYC_DIVIDENDS_USD,NYC_STOCK_SPLITS_USD
2017-11-09 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,9.000000318337698e-06,1.2000000424450263e-05,14407,0.0,0.0
2017-11-10 00:00:00+00:00,1.2000000424450263e-05,4.400000034365803e-05,1.2000000424450263e-05,4.199999966658652e-05,6918,0.0,0.0
2017-11-11 00:00:00+00:00,4.199999966658652e-05,5.2999999752501026e-05,1.2000000424450263e-05,1.4999999621068127e-05,4507,0.0,0.0
2017-11-12 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,9.999999747378752e-06,9.999999747378752e-06,6266,0.0,0.0
2017-11-13 00:00:00+00:00,9.999999747378752e-06,2.300000051036477e-05,9.999999747378752e-06,2.300000051036477e-05,3564,0.0,0.0
2017-11-14 00:00:00+00:00,2.300000051036477e-05,2.9000000722589903e-05,1.8999999156221747e-05,1.8999999156221747e-05,2383,0.0,0.0
2017-11-15 00:00:00+00:00,1.9999999494757503e-05,3.9999998989515007e-05,1.9999999494757503e-05,3.600000127335079e-05,3740,0.0,0.0
2017-11-16 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,2.499999936844688e-05,2.700000004551839e-05,3554,0.0,0.0
2017-11-17 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,1.2000000424450263e-05,1.2000000424450263e-05,5111,0.0,0.0
2017-11-18 00:00:00+00:00,1.2000000424450263e-05,3.7000001611886546e-05,1.1000000085914508e-05,3.7000001611886546e-05,3162,0.0,0.0
2017-11-19 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,1.4999999621068127e-05,1.4999999621068127e-05,3577,0.0,0.0
2017-11-20 00:00:00+00:00,1.4999999621068127e-05,4.8000001697801054e-05,1.2999999853491317e-05,4.600000102072954e-05,3808,0.0,0.0
2017-11-21 00:00:00+00:00,4.70000013592653e-05,5.199999941396527e-05,4.400000034365803e-05,4.8999998398358e-05,3414,0.0,0.0
2017-11-22 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,2.9999999242136255e-05,2.9999999242136255e-05,6831,0.0,0.0
2017-11-23 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,1.9999999494757503e-05,2.499999936844688e-05,2772,0.0,0.0
2017-11-24 00:00:00+00:00,2.499999936844688e-05,3.7000001611886546e-05,2.300000051036477e-05,2.300000051036477e-05,1999,0.0,0.0
2017-11-25 00:00:00+00:00,2.300000051036477e-05,2.8000000384054147e-05,1.4999999621068127e-05,2.5999999706982635e-05,1422,0.0,0.0
2017-11-26 00:00:00+00:00,2.5999999706982635e-05,4.5000000682193786e-05,1.4000000192027073e-05,1.4999999621068127e-05,4254,0.0,0.0
2017-11-27 00:00:00+00:00,1.4999999621068127e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.8999999156221747e-05,2874,0.0,0.0
2017-11-28 00:00:00+00:00,1.8999999156221747e-05,2.5999999706982635e-05,9.000000318337698e-06,1.700000029813964e-05,6561,0.0,0.0
2017-11-29 00:00:00+00:00,1.700000029813964e-05,2.300000051036477e-05,1.1000000085914508e-05,2.300000051036477e-05,2491,0.0,0.0
2017-11-30 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,1.2999999853491317e-05,1.700000029813964e-05,5472,0.0,0.0
2017-12-01 00:00:00+00:00,1.700000029813964e-05,2.2000000171829015e-05,9.999999747378752e-06,1.2000000424450263e-05,8833,0.0,0.0
2017-12-02 00:00:00+00:00,1.2000000424450263e-05,3.7000001611886546e-05,9.000000318337698e-06,3.5000000934815034e-05,2613,0.0,0.0
2017-12-03 00:00:00+00:00,3.5000000934815034e-05,5.0999999075429514e-05,2.700000004551839e-05,4.5000000682193786e-05,3205,0.0,0.0
2017-12-04 00:00:00+00:00,4.5000000682193786e-05,5.6000000768108293e-05,2.5999999706982635e-05,2.9999999242136255e-05,4288,0.0,0.0
2017-12-05 00:00:00+00:00,2.9999999242136255e-05,4.70000013592653e-05,2.5999999706982635e-05,4.600000102072954e-05,2791,0.0,0.0
2017-12-06 00:00:00+00:00,4.600000102072954e-05,7.200000254670158e-05,4.400000034365803e-05,7.200000254670158e-05,6218,0.0,0.0
2017-12-07 00:00:00+00:00,6.500000017695129e-05,7.200000254670158e-05,5.900000178371556e-05,7.200000254670158e-05,13663,0.0,0.0
2017-12-08 00:00:00+00:00,5.900000178371556e-05,9.600000339560211e-05,5.2999999752501026e-05,8.900000102585182e-05,27162,0.0,0.0
2017-12-09 00:00:00+00:00,8.900000102585182e-05,9.200000204145908e-05,3.199999991920777e-05,3.199999991920777e-05,23025,0.0,0.0
2017-12-10 00:00:00+00:00,3.199999991920777e-05,4.199999966658652e-05,2.499999936844688e-05,4.099999932805076e-05,4805,0.0,0.0
2017-12-11 00:00:00+00:00,3.9999998989515007e-05,9.300000237999484e-05,3.899999865097925e-05,8.600000001024455e-05,7456,0.0,0.0
2017-12-12 00:00:00+00:00,8.600000001024455e-05,8.600000001024455e-05,4.3000000005122274e-05,4.3000000005122274e-05,16750,0.0,0.0
2017-12-13 00:00:00+00:00,4.3000000005122274e-05,4.8999998398358e-05,2.9999999242136255e-05,3.199999991920777e-05,16186,0.0,0.0
2017-12-14 00:00:00+00:00,3.099999958067201e-05,7.500000356230885e-05,2.9999999242136255e-05,7.200000254670158e-05,9630,0.0,0.0
2017-12-15 00:00:00+00:00,7.300000288523734e-05,9.600000339560211e-05,6.399999983841553e-05,7.300000288523734e-05,32033,0.0,0.0
2017-12-16 00:00:00+00:00,7.300000288523734e-05,9.000000136438757e-05,6.0999998822808266e-05,8.600000001024455e-05,36761,0.0,0.0
2017-12-17 00:00:00+00:00,8.600000001024455e-05,8.600000001024455e-05,5.2999999752501026e-05,5.400000009103678e-05,23699,0.0,0.0
2017-12-18 00:00:00+00:00,5.500000042957254e-05,6.0999998822808266e-05,4.3000000005122274e-05,4.8000001697801054e-05,33210,0.0,0.0
2017-12-19 00:00:00+00:00,4.8000001697801054e-05,5.400000009103678e-05,3.5000000934815034e-05,5.2999999752501026e-05,12163,0.0,0.0
2017-12-20 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,2.9999999242136255e-05,3.7999998312443495e-05,17489,0.0,0.0
2017-12-21 00:00:00+00:00,3.7999998312443495e-05,4.3000000005122274e-05,3.099999958067201e-05,3.899999865097925e-05,18576,0.0,0.0
2017-12-22 00:00:00+00:00,3.899999865097925e-05,7.300000288523734e-05,2.499999936844688e-05,6.70000008540228e-05,15067,0.0,0.0
2017-12-23 00:00:00+00:00,6.800000119255856e-05,7.899999764049426e-05,6.0999998822808266e-05,6.0999998822808266e-05,23922,0.0,0.0
2017-12-24 00:00:00+00:00,6.0999998822808266e-05,0.00013899999612476677,4.099999932805076e-05,0.00013899999612476677,6671,0.0,0.0
2017-12-25 00:00:00+00:00,0.00014099999680183828,0.0001449999981559813,0.00013299999409355223,0.00013899999612476677,21373,0.0,0.0
2017-12-26 00:00:00+00:00,0.00013899999612476677,0.0001610000035725534,0.00013899999612476677,0.00015799999528098851,71389,0.0,0.0
2017-12-27 00:00:00+00:00,0.00015799999528098851,0.00016599999798927456,0.00014699999883305281,0.00015500000154133886,25776,0.0,0.0
2017-12-28 00:00:00+00:00,0.00015500000154133886,0.000155999994603917,0.00013600000238511711,0.0001429999974789098,36227,0.0,0.0
