TIMESTAMP,CTT9503_OPEN_PRICE_USD,CTT9503_HIGH_PRICE_USD,CTT9503_LOW_PRICE_USD,CTT9503_CLOSE_PRICE_USD,CTT9503_VOLUME_USD,CTT9503_DIVIDENDS_USD,CTT9503_STOCK_SPLITS_USD
2021-05-26 00:00:00+00:00,43.009456634521484,53.21541213989258,41.712032318115234,46.67824172973633,7362310,0.0,0.0
2021-05-27 00:00:00+00:00,46.6321907043457,46.721927642822266,36.15960693359375,38.74184799194336,2103086,0.0,0.0
2021-05-28 00:00:00+00:00,38.81580352783203,39.109622955322266,27.832094192504883,30.51064682006836,1162503,0.0,0.0
2021-05-29 00:00:00+00:00,30.514427185058594,37.1689567565918,29.750972747802734,32.1581916809082,763145,0.0,0.0
2021-05-30 00:00:00+00:00,32.18244171142578,35.03492736816406,29.982023239135742,33.812095642089844,408214,0.0,0.0
2021-05-31 00:00:00+00:00,33.82102584838867,34.39512634277344,29.311447143554688,34.209922790527344,332650,0.0,0.0
2021-06-01 00:00:00+00:00,34.22101593017578,35.10597229003906,29.411325454711914,30.523157119750977,298910,0.0,0.0
2021-06-02 00:00:00+00:00,30.55774688720703,36.625667572021484,27.976198196411133,35.23098373413086,372445,0.0,0.0
2021-06-03 00:00:00+00:00,35.22490310668945,38.641422271728516,34.79269790649414,38.631324768066406,285025,0.0,0.0
2021-06-04 00:00:00+00:00,38.63924026489258,38.76737594604492,31.54922866821289,35.09836196899414,151454,0.0,0.0
2021-06-05 00:00:00+00:00,35.16719436645508,37.721168518066406,29.627132415771484,30.52191734313965,183959,0.0,0.0
2021-06-06 00:00:00+00:00,30.495346069335938,32.14162063598633,30.05832290649414,30.6048583984375,154330,0.0,0.0
2021-06-07 00:00:00+00:00,30.610370635986328,38.845436096191406,30.5751895904541,32.641090393066406,191701,0.0,0.0
2021-06-08 00:00:00+00:00,32.611663818359375,51.55689239501953,32.005653381347656,45.21112060546875,536151,0.0,0.0
2021-06-09 00:00:00+00:00,45.229915618896484,65.88517761230469,41.36305236816406,58.88249588012695,1215341,0.0,0.0
2021-06-10 00:00:00+00:00,58.87129592895508,61.485565185546875,40.200138092041016,41.782752990722656,2330758,0.0,0.0
2021-06-11 00:00:00+00:00,41.781227111816406,46.463539123535156,41.02482223510742,41.98953628540039,1398220,0.0,0.0
2021-06-12 00:00:00+00:00,41.9894905090332,44.954139709472656,41.0190315246582,43.01011276245117,1008839,0.0,0.0
