TIMESTAMP,MOCHI28478_OPEN_PRICE_USD,MOCHI28478_HIGH_PRICE_USD,MOCHI28478_LOW_PRICE_USD,MOCHI28478_CLOSE_PRICE_USD,MOCHI28478_VOLUME_USD,MOCHI28478_DIVIDENDS_USD,MOCHI28478_STOCK_SPLITS_USD
2023-12-05 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,53,0.0,0.0
2023-12-06 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,34,0.0,0.0
2023-12-07 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,182902,0.0,0.0
2023-12-08 00:00:00+00:00,3.000000106112566e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,395781,0.0,0.0
2023-12-09 00:00:00+00:00,3.999999989900971e-06,7.999999979801942e-06,3.999999989900971e-06,7.000000096013537e-06,486623,0.0,0.0
2023-12-10 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,563351,0.0,0.0
2023-12-11 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,257771,0.0,0.0
2023-12-12 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,4.999999873689376e-06,6.000000212225132e-06,183654,0.0,0.0
2023-12-13 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,3.999999989900971e-06,7.000000096013537e-06,213947,0.0,0.0
2023-12-14 00:00:00+00:00,7.000000096013537e-06,1.2999999853491317e-05,7.000000096013537e-06,1.1000000085914508e-05,941400,0.0,0.0
2023-12-15 00:00:00+00:00,1.1000000085914508e-05,2.300000051036477e-05,9.999999747378752e-06,1.8000000636675395e-05,2096626,0.0,0.0
2023-12-16 00:00:00+00:00,1.8000000636675395e-05,2.099999983329326e-05,1.2999999853491317e-05,1.700000029813964e-05,1239218,0.0,0.0
2023-12-17 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.700000029813964e-05,448501,0.0,0.0
2023-12-18 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2999999853491317e-05,604423,0.0,0.0
2023-12-19 00:00:00+00:00,1.2999999853491317e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.4000000192027073e-05,500690,0.0,0.0
2023-12-20 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05,235635,0.0,0.0
2023-12-21 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,305832,0.0,0.0
2023-12-22 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05,270109,0.0,0.0
2023-12-23 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.2999999853491317e-05,338537,0.0,0.0
2023-12-24 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,158215,0.0,0.0
2023-12-25 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,163202,0.0,0.0
2023-12-26 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,9.999999747378752e-06,1.2000000424450263e-05,355202,0.0,0.0
2023-12-27 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.000000318337698e-06,1.1000000085914508e-05,191770,0.0,0.0
2023-12-28 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,131313,0.0,0.0
2023-12-29 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,73148,0.0,0.0
2023-12-30 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,145997,0.0,0.0
2023-12-31 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,141152,0.0,0.0
2024-01-01 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.2000000424450263e-05,127230,0.0,0.0
2024-01-02 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,130631,0.0,0.0
2024-01-03 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,7.999999979801942e-06,9.000000318337698e-06,227760,0.0,0.0
