TIMESTAMP,SC_OPEN_PRICE_USDT,SC_HIGH_PRICE_USDT,SC_LOW_PRICE_USDT,SC_CLOSE_PRICE_USDT,SC_FIRST_TRADE_PRICE_USDT,SC_HIGH_TRADE_PRICE_USDT,SC_LOW_TRADE_PRICE_USDT,SC_LAST_TRADE_PRICE_USDT,SC_TOTAL_TRADE_COUNT,SC_TOTAL_TRADES_BUY,SC_TOTAL_TRADES_SELL,SC_VOLUME_USDT,SC_QUOTE_VOLUME,SC_VOLUME_BUY,SC_QUOTE_VOLUME_BUY,SC_VOLUME_SELL,SC_QUOTE_VOLUME_SELL
2020-07-06,0.002977,0.00325,0.002873,0.003006,0.002977,0.00325,0.002873,0.003006,1416,562,854,67746851,200993.965115,26389461,78537.882978,41357390,122456.082137
2020-07-07,0.003006,0.003267,0.00294,0.003083,0.002999,0.003267,0.00294,0.003083,1577,885,692,62345639,191922.060449,32977287,101706.272741,29368352,90215.787708
2020-07-08,0.003083,0.00419,0.00304,0.003925,0.00309,0.00419,0.00304,0.003925,15673,7369,8304,637228419,2327203.882702,253002441,924839.635609,384225978,1402364.247093
2020-07-09,0.003925,0.004,0.003336,0.003567,0.00393,0.004,0.003336,0.003567,8983,4078,4905,378145962,1383873.743867,151485303,553217.838415,226660659,830655.905452
2020-07-10,0.003567,0.003567,0.00319,0.003381,0.003561,0.003561,0.00319,0.003381,5101,2420,2681,198208720,665738.412163,77669231,260886.708427,120539489,404851.703736
2020-07-11,0.003381,0.00385,0.003311,0.003523,0.003399,0.00385,0.003311,0.003523,4387,2209,2178,125219188,445007.576453,58303057,207714.599023,66916131,237292.97743
2020-07-12,0.003523,0.003595,0.00325,0.003481,0.003514,0.003595,0.00325,0.003481,2664,1255,1409,99774260,345808.195327,44885226,155518.034597,54889034,190290.16073
2020-07-13,0.003481,0.003532,0.003333,0.003348,0.003481,0.003532,0.003333,0.003348,3635,1726,1909,112486413,382929.777821,49993842,170012.03354,62492571,212917.744281
2020-07-14,0.003348,0.003487,0.003253,0.003329,0.003342,0.003487,0.003253,0.003329,2559,1227,1332,72144595,239910.055611,26573869,88545.115121,45570726,151364.94049
2020-07-15,0.003329,0.003545,0.003329,0.003475,0.003329,0.003545,0.003329,0.003475,3256,1664,1592,105798453,364544.528616,54327885,187640.235696,51470568,176904.29292
2020-07-16,0.003475,0.003715,0.00319,0.003338,0.003481,0.003715,0.00319,0.003338,4514,2436,2078,145930631,493270.058284,74853273,254327.479811,71077358,238942.578473
2020-07-17,0.003338,0.003389,0.003267,0.003304,0.003337,0.003389,0.003267,0.003304,1638,771,867,51934250,172237.387991,23136027,76846.779131,28798223,95390.60886
2020-07-18,0.003304,0.003537,0.003269,0.003457,0.003304,0.003537,0.003269,0.003457,3123,1525,1598,102849076,354887.498989,42109701,145317.387886,60739375,209570.111103
2020-07-19,0.003457,0.003529,0.003349,0.003405,0.003462,0.003529,0.003349,0.003405,2135,1016,1119,65374912,224879.753876,32002667,110574.484456,33372245,114305.26942
2020-07-20,0.003405,0.00344,0.003321,0.003356,0.003407,0.00344,0.003321,0.003356,2086,806,1280,76165900,257850.137744,25854394,87556.651754,50311506,170293.48599
2020-07-21,0.003356,0.003404,0.003269,0.003288,0.003356,0.003404,0.003269,0.003288,2391,1212,1179,78037787,259128.297789,37394843,124400.382688,40642944,134727.915101
