TIMESTAMP,RATO_OPEN_PRICE_USD,RATO_HIGH_PRICE_USD,RATO_LOW_PRICE_USD,RATO_CLOSE_PRICE_USD,RATO_VOLUME_USD,RATO_DIVIDENDS_USD,RATO_STOCK_SPLITS_USD
2025-05-12 00:00:00+00:00,,,,0.0,497521,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,489189,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,395886,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,375476,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,429378,0.0,0.0
2025-05-17 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,546978,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,421426,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,487989,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,249464,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,64824,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,62524,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,26482,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,11482,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,14032,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,11688,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,16756,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,3037,0.0,0.0
2025-06-01 00:00:00+00:00,7.370476140522442e-08,7.370476140522442e-08,7.231914622707336e-08,7.23639175248536e-08,444,0.0,0.0
