TIMESTAMP,CAW_OPEN_PRICE_USD,CAW_HIGH_PRICE_USD,CAW_LOW_PRICE_USD,CAW_CLOSE_PRICE_USD,CAW_VOLUME_USD,CAW_DIVIDENDS_USD,CAW_STOCK_SPLITS_USD
2022-04-19 00:00:00+00:00,,,,0.0,102004669,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,35908598,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,55980052,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,26687859,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,12613164,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,18841772,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,16805227,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,14406002,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,19115457,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,25972145,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,14269506,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,10566918,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,11816838,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,8997490,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,8041562,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,9983443,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,9662529,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,7273030,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,4363749,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,5333970,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,7576038,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,9669448,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,12218890,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,4377676,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,5961795,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,2785022,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,3311053,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,1693971,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,9627870,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,8392566,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,5166322,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,5463161,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,4376366,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,3812242,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,4008969,0.0,0.0
2022-05-24 00:00:00+00:00,,,,0.0,4835544,0.0,0.0
2022-05-25 00:00:00+00:00,,,,0.0,3126932,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,4395005,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,3888324,0.0,0.0
2022-05-28 00:00:00+00:00,,,,0.0,3491805,0.0,0.0
2022-05-29 00:00:00+00:00,,,,0.0,4263097,0.0,0.0
2022-05-30 00:00:00+00:00,,,,0.0,8701754,0.0,0.0
2022-05-31 00:00:00+00:00,,,,0.0,9133326,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,9741359,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,9082108,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,21770902,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,35439832,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,18788778,0.0,0.0
2022-06-06 00:00:00+00:00,,,,0.0,15062771,0.0,0.0
2022-06-07 00:00:00+00:00,,,,0.0,18509818,0.0,0.0
2022-06-08 00:00:00+00:00,,,,0.0,10090529,0.0,0.0
2022-06-09 00:00:00+00:00,,,,0.0,6202498,0.0,0.0
2022-06-10 00:00:00+00:00,,,,0.0,7566735,0.0,0.0
2022-06-11 00:00:00+00:00,,,,0.0,10887133,0.0,0.0
2022-06-12 00:00:00+00:00,,,,0.0,8157390,0.0,0.0
2022-06-13 00:00:00+00:00,,,,0.0,10243125,0.0,0.0
2022-06-14 00:00:00+00:00,,,,0.0,11490065,0.0,0.0
2022-06-15 00:00:00+00:00,,,,0.0,12199936,0.0,0.0
2022-06-16 00:00:00+00:00,,,,0.0,5317291,0.0,0.0
2022-06-17 00:00:00+00:00,,,,0.0,4077056,0.0,0.0
2022-06-18 00:00:00+00:00,,,,0.0,5077085,0.0,0.0
2022-06-19 00:00:00+00:00,,,,0.0,5665817,0.0,0.0
