TIMESTAMP,PEGA32491_OPEN_PRICE_USD,PEGA32491_HIGH_PRICE_USD,PEGA32491_LOW_PRICE_USD,PEGA32491_CLOSE_PRICE_USD,PEGA32491_VOLUME_USD,PEGA32491_DIVIDENDS_USD,PEGA32491_STOCK_SPLITS_USD
2024-07-31 00:00:00+00:00,,,,0.0,132652,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,23532,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,2487,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,793,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,25782,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,19351,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,9844,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,8192,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,15330,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,108709,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,122806,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,21967,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,11004,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,3338,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,5175,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,1703,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,1677,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,1276,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,2653,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,3172,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,1280,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,950,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,359,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,2496,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,1053,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,1842,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,1476,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,330,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,212,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,516,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,734,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,265,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,27,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,87,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,137,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,248,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,211,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,172,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,124,0.0,0.0
2024-09-10 00:00:00+00:00,,,,0.0,2913,0.0,0.0
2024-09-11 00:00:00+00:00,,,,0.0,268,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,382,0.0,0.0
2024-09-13 00:00:00+00:00,,,,0.0,119,0.0,0.0
2024-09-14 00:00:00+00:00,,,,0.0,208,0.0,0.0
2024-09-15 00:00:00+00:00,,,,0.0,74,0.0,0.0
2024-09-16 00:00:00+00:00,,,,0.0,12,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,927,0.0,0.0
2024-09-19 00:00:00+00:00,,,,0.0,114,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,67,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,49,0.0,0.0
