TIMESTAMP,GINNAN33091_OPEN_PRICE_USD,GINNAN33091_HIGH_PRICE_USD,GINNAN33091_LOW_PRICE_USD,GINNAN33091_CLOSE_PRICE_USD,GINNAN33091_VOLUME_USD,GINNAN33091_DIVIDENDS_USD,GINNAN33091_STOCK_SPLITS_USD
2024-09-20 00:00:00+00:00,1.5999999959603883e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.700000029813964e-05,706120,0.0,0.0
2024-09-21 00:00:00+00:00,1.700000029813964e-05,5.700000110664405e-05,1.4000000192027073e-05,3.899999865097925e-05,2014868,0.0,0.0
2024-09-22 00:00:00+00:00,3.899999865097925e-05,4.600000102072954e-05,2.4000000848900527e-05,2.5999999706982635e-05,703078,0.0,0.0
2024-09-23 00:00:00+00:00,2.5999999706982635e-05,3.7999998312443495e-05,2.300000051036477e-05,2.4000000848900527e-05,684576,0.0,0.0
2024-09-24 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.099999983329326e-05,2.700000004551839e-05,372437,0.0,0.0
2024-09-25 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,1.700000029813964e-05,1.8999999156221747e-05,322568,0.0,0.0
2024-09-26 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.5999999959603883e-05,182944,0.0,0.0
2024-09-27 00:00:00+00:00,1.5999999959603883e-05,1.9999999494757503e-05,1.1000000085914508e-05,1.2000000424450263e-05,270963,0.0,0.0
2024-09-28 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,99613,0.0,0.0
2024-09-29 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,81869,0.0,0.0
2024-09-30 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.2000000424450263e-05,1.4999999621068127e-05,126330,0.0,0.0
2024-10-01 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,9.999999747378752e-06,1.1000000085914508e-05,118658,0.0,0.0
2024-10-02 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,44087,0.0,0.0
2024-10-03 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,45105,0.0,0.0
2024-10-04 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,72806,0.0,0.0
2024-10-05 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,53271,0.0,0.0
2024-10-06 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,80083,0.0,0.0
2024-10-07 00:00:00+00:00,9.000000318337698e-06,1.4999999621068127e-05,9.000000318337698e-06,1.2999999853491317e-05,200390,0.0,0.0
2024-10-08 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,9.000000318337698e-06,9.999999747378752e-06,99307,0.0,0.0
2024-10-09 00:00:00+00:00,9.999999747378752e-06,1.4999999621068127e-05,9.000000318337698e-06,1.1000000085914508e-05,140851,0.0,0.0
2024-10-10 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,9.000000318337698e-06,9.000000318337698e-06,77290,0.0,0.0
2024-10-11 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,61657,0.0,0.0
2024-10-12 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.999999979801942e-06,9.999999747378752e-06,111742,0.0,0.0
2024-10-13 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,79415,0.0,0.0
2024-10-14 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,9.999999747378752e-06,51102,0.0,0.0
2024-10-15 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,36668,0.0,0.0
2024-10-16 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,80797,0.0,0.0
2024-10-17 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,43209,0.0,0.0
2024-10-18 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,42498,0.0,0.0
2024-10-19 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.999999979801942e-06,63034,0.0,0.0
2024-10-20 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,29765,0.0,0.0
2024-10-21 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,49296,0.0,0.0
2024-10-22 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,24953,0.0,0.0
2024-10-23 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,44335,0.0,0.0
2024-10-24 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,28214,0.0,0.0
2024-10-25 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,8616,0.0,0.0
2024-10-26 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,11949,0.0,0.0
2024-10-27 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,12098,0.0,0.0
2024-10-28 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,12113,0.0,0.0
2024-10-29 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,113725,0.0,0.0
2024-10-30 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,62780,0.0,0.0
