TIMESTAMP,BENTO_OPEN_PRICE_USD,BENTO_HIGH_PRICE_USD,BENTO_LOW_PRICE_USD,BENTO_CLOSE_PRICE_USD,BENTO_VOLUME_USD,BENTO_DIVIDENDS_USD,BENTO_STOCK_SPLITS_USD
2024-04-24 00:00:00+00:00,,,,0.0,794504,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,705971,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,679598,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,333721,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,254498,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,166837,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,332898,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,191920,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,194722,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,134748,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,119724,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,101706,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,59822,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,64258,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,68659,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,96457,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,85303,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,31296,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,46453,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,48953,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,50755,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,110666,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,33389,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,64516,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,42410,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,30440,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,32414,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,341236,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,305091,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,127287,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,76557,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,150045,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,94401,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,64452,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,31548,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,29157,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,31114,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,57864,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,38592,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,31865,0.0,0.0
2024-06-03 00:00:00+00:00,,,,0.0,26294,0.0,0.0
2024-06-04 00:00:00+00:00,,,,0.0,52954,0.0,0.0
2024-06-05 00:00:00+00:00,,,,0.0,58740,0.0,0.0
2024-06-06 00:00:00+00:00,,,,0.0,29308,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,29656,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,17809,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,28171,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,34904,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,36251,0.0,0.0
2024-06-12 00:00:00+00:00,,,,0.0,13296,0.0,0.0
2024-06-13 00:00:00+00:00,,,,0.0,10594,0.0,0.0
2024-06-14 00:00:00+00:00,,,,0.0,17281,0.0,0.0
2024-06-15 00:00:00+00:00,,,,0.0,12719,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,11586,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,9843,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,10667,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,8738,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,7511,0.0,0.0
2024-06-21 00:00:00+00:00,,,,0.0,5580,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,8062,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,16976,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,17242,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,8843,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,12510,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,7847,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,9203,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,9757,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,3488,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,4852,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,3222,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,4023,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,5945,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,4273,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,6100,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,3455,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,1630,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,4383,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,3263,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,4198,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,1362,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,1601,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,5306,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,12932,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,2784,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,1838,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,1781,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,2548,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,5359,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,2739,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,2414,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,1262,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,1134,0.0,0.0
