TIMESTAMP,CROAK_OPEN_PRICE_USD,CROAK_HIGH_PRICE_USD,CROAK_LOW_PRICE_USD,CROAK_CLOSE_PRICE_USD,CROAK_VOLUME_USD,CROAK_DIVIDENDS_USD,CROAK_STOCK_SPLITS_USD
2024-05-09 00:00:00+00:00,4.8000001697801054e-05,5.0999999075429514e-05,3.5000000934815034e-05,3.7999998312443495e-05,193262,0.0,0.0
2024-05-10 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,2.5999999706982635e-05,3.7999998312443495e-05,210642,0.0,0.0
2024-05-11 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.600000127335079e-05,86791,0.0,0.0
2024-05-12 00:00:00+00:00,3.5000000934815034e-05,4.400000034365803e-05,3.5000000934815034e-05,4.3000000005122274e-05,79467,0.0,0.0
2024-05-13 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,3.199999991920777e-05,3.199999991920777e-05,143408,0.0,0.0
2024-05-14 00:00:00+00:00,3.199999991920777e-05,3.600000127335079e-05,2.499999936844688e-05,2.499999936844688e-05,106150,0.0,0.0
2024-05-15 00:00:00+00:00,2.499999936844688e-05,3.9999998989515007e-05,2.2000000171829015e-05,3.099999958067201e-05,271038,0.0,0.0
2024-05-16 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.2000000171829015e-05,2.4000000848900527e-05,161116,0.0,0.0
2024-05-17 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,6.000000212225132e-06,1.9999999494757503e-05,255511,0.0,0.0
2024-05-18 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.8000000636675395e-05,1.8000000636675395e-05,29710,0.0,0.0
2024-05-19 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,6.000000212225132e-06,9.999999747378752e-06,294704,0.0,0.0
2024-05-20 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,9.999999747378752e-06,1.5999999959603883e-05,120603,0.0,0.0
2024-05-21 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,9.999999747378752e-06,1.2999999853491317e-05,106101,0.0,0.0
2024-05-22 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4000000192027073e-05,75614,0.0,0.0
2024-05-23 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,16560,0.0,0.0
2024-05-24 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,7.999999979801942e-06,9.999999747378752e-06,70468,0.0,0.0
2024-05-25 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.000000318337698e-06,9.999999747378752e-06,99653,0.0,0.0
2024-05-26 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,10372,0.0,0.0
2024-05-27 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,2343,0.0,0.0
2024-05-28 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,13669,0.0,0.0
2024-05-29 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,14234,0.0,0.0
2024-05-30 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,25121,0.0,0.0
2024-05-31 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,13437,0.0,0.0
2024-06-01 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,7787,0.0,0.0
2024-06-02 00:00:00+00:00,7.000000096013537e-06,1.1000000085914508e-05,7.000000096013537e-06,9.999999747378752e-06,31303,0.0,0.0
2024-06-03 00:00:00+00:00,1.1000000085914508e-05,1.8000000636675395e-05,9.999999747378752e-06,1.2000000424450263e-05,202379,0.0,0.0
2024-06-04 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,64606,0.0,0.0
2024-06-05 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,39467,0.0,0.0
2024-06-06 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,35931,0.0,0.0
2024-06-07 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,20765,0.0,0.0
2024-06-08 00:00:00+00:00,9.000000318337698e-06,1.2999999853491317e-05,7.999999979801942e-06,9.999999747378752e-06,85700,0.0,0.0
2024-06-09 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,16855,0.0,0.0
2024-06-10 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,24090,0.0,0.0
2024-06-11 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06,70408,0.0,0.0
2024-06-12 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,45667,0.0,0.0
2024-06-13 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,4.999999873689376e-06,7.000000096013537e-06,65593,0.0,0.0
2024-06-14 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,9564,0.0,0.0
2024-06-15 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6072,0.0,0.0
