TIMESTAMP,XAIGAME_OPEN_PRICE_USD,XAIGAME_HIGH_PRICE_USD,XAIGAME_LOW_PRICE_USD,XAIGAME_CLOSE_PRICE_USD,XAIGAME_VOLUME_USD,XAIGAME_DIVIDENDS_USD,XAIGAME_STOCK_SPLITS_USD
2025-04-01 00:00:00+00:00,,,,0.0,108,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,341,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,705,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,23,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-06-01 00:00:00+00:00,1.2568899642861203e-13,1.2939531445019942e-13,1.2568899642861203e-13,1.2939531445019942e-13,55,0.0,0.0
