TIMESTAMP,BLUB_OPEN_PRICE_USD,BLUB_HIGH_PRICE_USD,BLUB_LOW_PRICE_USD,BLUB_CLOSE_PRICE_USD,BLUB_VOLUME_USD,BLUB_DIVIDENDS_USD,BLUB_STOCK_SPLITS_USD
2024-10-03 00:00:00+00:00,,,,0.0,2999683,0.0,0.0
2024-10-04 00:00:00+00:00,,,,0.0,2051156,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,1860479,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,2131476,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,2882110,0.0,0.0
2024-10-08 00:00:00+00:00,,,,0.0,2395206,0.0,0.0
2024-10-09 00:00:00+00:00,,,,0.0,2124210,0.0,0.0
2024-10-10 00:00:00+00:00,,,,0.0,2420839,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,1409868,0.0,0.0
2024-10-12 00:00:00+00:00,,,,0.0,1682503,0.0,0.0
2024-10-13 00:00:00+00:00,,,,0.0,2053706,0.0,0.0
2024-10-14 00:00:00+00:00,,,,0.0,2040512,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,3016072,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,2934532,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,4540476,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,2703673,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,3251003,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,3081095,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,3720859,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,2230776,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,1717559,0.0,0.0
2024-10-24 00:00:00+00:00,,,,0.0,2019917,0.0,0.0
2024-10-25 00:00:00+00:00,,,,0.0,1471544,0.0,0.0
2024-10-26 00:00:00+00:00,,,,0.0,1685534,0.0,0.0
2024-10-27 00:00:00+00:00,,,,0.0,1861745,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,1499398,0.0,0.0
