,MSE,RMSE,MAE,MAPE,R2
0,0.0008594979087566612,0.02931719476274395,0.022885078403898574,0.041987382513246824,0.404811234074941
1,0.0003092436992251975,0.017585326247334665,0.014151396367120324,0.02663155085196518,0.8770919477729776
2,0.0005575017638469909,0.023611475257742598,0.019615926624765197,0.027814155366325456,0.7939646294996374
3,0.0008717917676988908,0.02952612009219787,0.021945490210526324,0.031200700628162884,0.6523715920709929
4,0.0010690906970512934,0.03269695241228597,0.025849787426125752,0.02863221247266918,0.8355592986520447
5,0.0010137938356242695,0.03184012932800791,0.02467095862722781,0.026292617624088396,0.7013284149143315
6,0.000701265494770235,0.026481417914647906,0.018965557418400145,0.024928240281728457,0.6247748267920399
7,0.0003393720002991608,0.018422052011086085,0.012766625464058736,0.02046132275579113,0.8893546967059255
8,0.0007915344223985555,0.028134221553093582,0.01954790179650793,0.031052621209668535,0.5179599370099923
9,0.00046967155673461057,0.021671907085778368,0.016557790314687616,0.025747412813282078,0.7866506598067443
10,0.00030810921218901304,0.017553039970016962,0.014048959336627975,0.022258206514878105,0.8126566245502056
11,0.0005265109891725553,0.02294582727147913,0.017670509042764102,0.036408723578595675,0.8414771141597914
Mean,0.0006514486123139527,0.024982138658867916,0.019056331752725874,0.028617928884200162,0.728166748000802
