TIMESTAMP,DEDE30888_OPEN_PRICE_USD,DEDE30888_HIGH_PRICE_USD,DEDE30888_LOW_PRICE_USD,DEDE30888_CLOSE_PRICE_USD,DEDE30888_VOLUME_USD,DEDE30888_DIVIDENDS_USD,DEDE30888_STOCK_SPLITS_USD
2024-04-24 00:00:00+00:00,,,,0.0,480452,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,172710,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,475596,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,881903,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,1404962,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,636024,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,137154,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,120419,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,103059,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,313206,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,328633,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,75328,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,90663,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,30749,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,17734,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,17920,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,12340,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,4746,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,5809,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,26296,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,10507,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,27188,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,12772,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,9390,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,112599,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,100398,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,18199,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,17828,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,9572,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,9862,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,2566,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,2743,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,6854,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,6234,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,5043,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,2456,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,4622,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,1370,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,3722,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,3396,0.0,0.0
2024-06-03 00:00:00+00:00,,,,0.0,3774,0.0,0.0
2024-06-04 00:00:00+00:00,,,,0.0,7902,0.0,0.0
2024-06-05 00:00:00+00:00,,,,0.0,35269,0.0,0.0
2024-06-06 00:00:00+00:00,,,,0.0,7371,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,1742,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,3607,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,650,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,2357,0.0,0.0
