TIMESTAMP,MAGANOMICS_OPEN_PRICE_USD,MAGANOMICS_HIGH_PRICE_USD,MAGANOMICS_LOW_PRICE_USD,MAGANOMICS_CLOSE_PRICE_USD,MAGANOMICS_VOLUME_USD,MAGANOMICS_DIVIDENDS_USD,MAGANOMICS_STOCK_SPLITS_USD
2024-06-22 00:00:00+00:00,1.2000000424450263e-05,3.899999865097925e-05,1.1000000085914508e-05,3.899999865097925e-05,6871937,0.0,0.0
2024-06-23 00:00:00+00:00,3.9999998989515007e-05,4.8000001697801054e-05,2.499999936844688e-05,4.199999966658652e-05,6333515,0.0,0.0
2024-06-24 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,2.5999999706982635e-05,3.5000000934815034e-05,4235868,0.0,0.0
2024-06-25 00:00:00+00:00,3.300000025774352e-05,5.8000001445179805e-05,2.499999936844688e-05,4.8999998398358e-05,6633089,0.0,0.0
2024-06-26 00:00:00+00:00,4.8999998398358e-05,6.70000008540228e-05,4.3000000005122274e-05,4.70000013592653e-05,5183479,0.0,0.0
2024-06-27 00:00:00+00:00,4.70000013592653e-05,5.8000001445179805e-05,3.899999865097925e-05,5.199999941396527e-05,3711317,0.0,0.0
2024-06-28 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,1.4000000192027073e-05,1.8000000636675395e-05,8274379,0.0,0.0
2024-06-29 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.2000000424450263e-05,1.4000000192027073e-05,2428587,0.0,0.0
2024-06-30 00:00:00+00:00,1.4000000192027073e-05,2.2000000171829015e-05,1.2999999853491317e-05,1.5999999959603883e-05,1799169,0.0,0.0
2024-07-01 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,9.999999747378752e-06,1.2000000424450263e-05,1499246,0.0,0.0
2024-07-02 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.1000000085914508e-05,1.1000000085914508e-05,1046513,0.0,0.0
2024-07-03 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,7.000000096013537e-06,9.000000318337698e-06,1166273,0.0,0.0
2024-07-04 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,1052681,0.0,0.0
2024-07-05 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,6.000000212225132e-06,9.000000318337698e-06,716337,0.0,0.0
2024-07-06 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,560297,0.0,0.0
2024-07-07 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,6.000000212225132e-06,616405,0.0,0.0
2024-07-08 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06,612290,0.0,0.0
2024-07-09 00:00:00+00:00,7.999999979801942e-06,1.2000000424450263e-05,7.000000096013537e-06,9.000000318337698e-06,878311,0.0,0.0
2024-07-10 00:00:00+00:00,9.000000318337698e-06,1.4000000192027073e-05,7.000000096013537e-06,9.999999747378752e-06,2115172,0.0,0.0
2024-07-11 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,1197896,0.0,0.0
2024-07-12 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,878053,0.0,0.0
2024-07-13 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,1338929,0.0,0.0
2024-07-14 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,3.999999989900971e-06,4.999999873689376e-06,2007107,0.0,0.0
2024-07-15 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,1228261,0.0,0.0
2024-07-16 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,1466550,0.0,0.0
2024-07-17 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1207394,0.0,0.0
2024-07-18 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,1107236,0.0,0.0
2024-07-19 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,1234158,0.0,0.0
2024-07-20 00:00:00+00:00,1.9999999949504854e-06,6.000000212225132e-06,1.9999999949504854e-06,4.999999873689376e-06,1844039,0.0,0.0
2024-07-21 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,3.000000106112566e-06,6.000000212225132e-06,1712890,0.0,0.0
2024-07-22 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,838920,0.0,0.0
2024-07-23 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,1080493,0.0,0.0
2024-07-24 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1093823,0.0,0.0
2024-07-25 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,1061396,0.0,0.0
2024-07-26 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,1087790,0.0,0.0
2024-07-27 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,1.9999999949504854e-06,1261049,0.0,0.0
2024-07-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1230696,0.0,0.0
2024-07-29 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1816753,0.0,0.0
2024-07-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1572281,0.0,0.0
2024-07-31 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1641487,0.0,0.0
2024-08-01 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1726028,0.0,0.0
2024-08-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1328929,0.0,0.0
2024-08-03 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1857840,0.0,0.0
2024-08-04 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1593517,0.0,0.0
2024-08-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1425540,0.0,0.0
2024-08-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1443954,0.0,0.0
2024-08-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1588883,0.0,0.0
2024-08-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1514492,0.0,0.0
2024-08-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1561363,0.0,0.0
2024-08-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1241406,0.0,0.0
2024-08-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1448584,0.0,0.0
2024-08-12 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1794277,0.0,0.0
2024-08-13 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1728695,0.0,0.0
2024-08-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1562129,0.0,0.0
2024-08-15 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,1243479,0.0,0.0
2024-08-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1320617,0.0,0.0
2024-08-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1505410,0.0,0.0
2024-08-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1599720,0.0,0.0
2024-08-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1541813,0.0,0.0
2024-08-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1282352,0.0,0.0
2024-08-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1232389,0.0,0.0
2024-08-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1469114,0.0,0.0
2024-08-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1473901,0.0,0.0
2024-08-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1126134,0.0,0.0
2024-08-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1495754,0.0,0.0
2024-08-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1379817,0.0,0.0
2024-08-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1196553,0.0,0.0
2024-08-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,501539,0.0,0.0
2024-08-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,755694,0.0,0.0
2024-08-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,1096752,0.0,0.0
2024-08-31 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,1323796,0.0,0.0
2024-09-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1122363,0.0,0.0
2024-09-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1365988,0.0,0.0
2024-09-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1352911,0.0,0.0
2024-09-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,16233,0.0,0.0
2024-09-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,16974,0.0,0.0
2024-09-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17853,0.0,0.0
