TIMESTAMP,GORK36407_OPEN_PRICE_USD,GORK36407_HIGH_PRICE_USD,GORK36407_LOW_PRICE_USD,GORK36407_CLOSE_PRICE_USD,GORK36407_VOLUME_USD,GORK36407_DIVIDENDS_USD,GORK36407_STOCK_SPLITS_USD
2025-05-02 00:00:00+00:00,,,,0.0,732700,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,787260,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,869983,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,1493697,0.0,0.0
2025-05-06 00:00:00+00:00,,,,0.0,2196,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,893590,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,41738,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,10890,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,5926,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,7080,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,9537,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,4007,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,3871,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,3569,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,1455,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,74,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,290,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,1176,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,189,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,5262,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,546,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,3043,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,321,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,1556,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,382,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,2314,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,122,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,2293,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,565,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,2137,0.0,0.0
2025-06-01 00:00:00+00:00,1.570970052178558e-13,1.6079299621375026e-13,1.3296499589299932e-13,1.5274015234024996e-13,1820,0.0,0.0
