,Time,BTC_Market_Cap_USD,ETH_Market_Cap_USD,XRP_Market_Cap_USD,DOGE_Market_Cap_USD,ADA_Market_Cap_USD,LTC_Market_Cap_USD,BCH_Market_Cap_USD,XMR_Market_Cap_USD,DASH_Market_Cap_USD,ZEC_Market_Cap_USD
0,2010-07-17,169839.0,,,,,,,,,
1,2010-07-18,249761.0,,,,,,,,,
2,2010-07-19,295981.0,,,,,,,,,
3,2010-07-20,270546.0,,,,,,,,,
4,2010-07-21,265900.0,,,,,,,,,
5,2010-07-22,225420.0,,,,,,,,,
6,2010-07-23,197086.0,,,,,,,,,
7,2010-07-24,202929.0,,,,,,,,,
8,2010-07-25,185609.0,,,,,,,,,
9,2010-07-26,186308.0,,,,,,,,,
10,2010-07-27,204589.0,,,,,,,,,
11,2010-07-28,210197.0,,,,,,,,,
12,2010-07-29,229629.0,,,,,,,,,
13,2010-07-30,235363.0,,,,,,,,,
14,2010-07-31,236589.0,,,,,,,,,
15,2010-08-01,218064.0,,,,,,,,,
16,2010-08-02,219511.0,,,,,,,,,
17,2010-08-03,215757.0,,,,,,,,,
18,2010-08-04,215175.0,,,,,,,,,
19,2010-08-05,215538.0,,,,,,,,,
20,2010-08-06,225626.0,,,,,,,,,
21,2010-08-07,217898.0,,,,,,,,,
22,2010-08-08,218545.0,,,,,,,,,
23,2010-08-09,241092.0,,,,,,,,,
24,2010-08-10,252878.0,,,,,,,,,
25,2010-08-11,233328.0,,,,,,,,,
26,2010-08-12,254341.0,,,,,,,,,
27,2010-08-13,242150.0,,,,,,,,,
28,2010-08-14,245635.0,,,,,,,,,
29,2010-08-15,246175.0,,,,,,,,,
30,2010-08-16,240142.0,,,,,,,,,
31,2010-08-17,253348.0,,,,,,,,,
32,2010-08-18,258448.0,,,,,,,,,
33,2010-08-19,252547.0,,,,,,,,,
34,2010-08-20,248490.0,,,,,,,,,
35,2010-08-21,248562.0,,,,,,,,,
36,2010-08-22,247433.0,,,,,,,,,
