,Time,ZEC_Average_Price_USD_3,NEM_Average_Price_USD_3,LUNA_Average_Price_USD_3,MATIC_Average_Price_USD_3
0,2015-03-31,,0.000597,,
1,2015-04-01,,0.000306,,
2,2015-04-02,,0.000286,,
3,2015-04-03,,0.000317,,
4,2015-04-04,,0.000285,,
5,2015-04-05,,0.000255,,
6,2015-04-06,,0.00028,,
7,2015-04-07,,0.000261,,
8,2015-04-08,,0.000237,,
9,2015-04-09,,0.000226,,
10,2015-04-10,,0.000211,,
11,2015-04-11,,0.000174,,
12,2015-04-12,,0.000161,,
13,2015-04-13,,0.000141,,
14,2015-04-14,,0.000157,,
15,2015-04-15,,0.000157,,
16,2015-04-16,,0.000161,,
17,2015-04-17,,0.000164,,
18,2015-04-18,,0.000161,,
19,2015-04-19,,0.000147,,
20,2015-04-20,,0.000139,,
21,2015-04-21,,0.000135,,
22,2015-04-22,,0.000138,,
23,2015-04-23,,0.00014,,
24,2015-04-24,,0.000139,,
25,2015-04-25,,0.000141,,
26,2015-04-26,,0.000133,,
27,2015-04-27,,0.000147,,
28,2015-04-28,,0.000151,,
29,2015-04-29,,0.000148,,
30,2015-04-30,,0.000154,,
31,2015-05-01,,0.000156,,
32,2015-05-02,,0.000155,,
33,2015-05-03,,0.000152,,
34,2015-05-04,,0.000151,,
35,2015-05-05,,0.000143,,
36,2015-05-06,,0.000142,,
37,2015-05-07,,0.000149,,
38,2015-05-08,,0.000155,,
39,2015-05-09,,0.000152,,
40,2015-05-10,,0.000152,,
41,2015-05-11,,0.000149,,
42,2015-05-12,,0.000156,,
43,2015-05-13,,0.000167,,
44,2015-05-14,,0.000161,,
45,2015-05-15,,0.000159,,
46,2015-05-16,,0.000166,,
47,2015-05-17,,0.000158,,
48,2015-05-18,,0.000169,,
49,2015-05-19,,0.00017,,
50,2015-05-20,,0.000171,,
51,2015-05-21,,0.000174,,
52,2015-05-22,,0.000174,,
53,2015-05-23,,0.000175,,
54,2015-05-24,,0.000176,,
55,2015-05-25,,0.000181,,
56,2015-05-26,,0.000184,,
57,2015-05-27,,0.000194,,
58,2015-05-28,,0.000193,,
59,2015-05-29,,0.00019,,
60,2015-05-30,,0.000186,,
61,2015-05-31,,0.000177,,
62,2015-06-01,,0.000172,,
63,2015-06-02,,0.000174,,
64,2015-06-03,,0.000176,,
65,2015-06-04,,0.000174,,
66,2015-06-05,,0.000172,,
67,2015-06-06,,0.000169,,
68,2015-06-07,,0.000167,,
69,2015-06-08,,0.000167,,
70,2015-06-09,,0.000165,,
71,2015-06-10,,0.000149,,
72,2015-06-11,,0.00015,,
73,2015-06-12,,0.000147,,
74,2015-06-13,,0.000148,,
75,2015-06-14,,0.000152,,
76,2015-06-15,,0.000154,,
77,2015-06-16,,0.000152,,
78,2015-06-17,,0.000162,,
79,2015-06-18,,0.000163,,
80,2015-06-19,,0.000163,,
81,2015-06-20,,0.000154,,
82,2015-06-21,,0.000156,,
83,2015-06-22,,,,
84,2015-06-23,,0.000155,,
85,2015-06-24,,0.000153,,
86,2015-06-25,,0.000153,,
87,2015-06-26,,0.000153,,
88,2015-06-27,,0.000151,,
89,2015-06-28,,0.000153,,
90,2015-06-29,,0.00015,,
91,2015-06-30,,0.000158,,
92,2015-07-01,,0.000151,,
93,2015-07-02,,0.000146,,
94,2015-07-03,,0.000146,,
95,2015-07-04,,0.000139,,
96,2015-07-05,,0.000133,,
97,2015-07-06,,0.000127,,
98,2015-07-07,,0.000133,,
99,2015-07-08,,0.000153,,
100,2015-07-09,,0.00015,,
101,2015-07-10,,0.000146,,
102,2015-07-11,,0.000151,,
103,2015-07-12,,0.000162,,
104,2015-07-13,,0.000157,,
105,2015-07-14,,0.000161,,
106,2015-07-15,,0.000158,,
107,2015-07-16,,0.000152,,
108,2015-07-17,,0.000148,,
109,2015-07-18,,0.000146,,
110,2015-07-19,,0.000148,,
111,2015-07-20,,0.000149,,
112,2015-07-21,,0.000146,,
113,2015-07-22,,0.000145,,
114,2015-07-23,,0.00015,,
115,2015-07-24,,0.000171,,
116,2015-07-25,,0.00018,,
117,2015-07-26,,0.000176,,
118,2015-07-27,,0.000175,,
119,2015-07-28,,0.000168,,
120,2015-07-29,,0.000164,,
121,2015-07-30,,0.00016,,
122,2015-07-31,,0.000167,,
123,2015-08-01,,0.000156,,
124,2015-08-02,,0.000157,,
125,2015-08-03,,0.000153,,
126,2015-08-04,,0.000153,,
127,2015-08-05,,0.000148,,
128,2015-08-06,,0.000146,,
129,2015-08-07,,0.00014,,
130,2015-08-08,,0.000137,,
131,2015-08-09,,0.000132,,
132,2015-08-10,,0.000134,,
133,2015-08-11,,0.000133,,
134,2015-08-12,,0.000133,,
135,2015-08-13,,0.000129,,
136,2015-08-14,,0.000124,,
137,2015-08-15,,0.000121,,
138,2015-08-16,,0.00012,,
139,2015-08-17,,0.000122,,
140,2015-08-18,,0.000114,,
141,2015-08-19,,0.000105,,
142,2015-08-20,,0.000108,,
143,2015-08-21,,9.94e-05,,
144,2015-08-22,,9.82e-05,,
145,2015-08-23,,0.000102,,
146,2015-08-24,,9.54e-05,,
147,2015-08-25,,9.16e-05,,
148,2015-08-26,,9.12e-05,,
149,2015-08-27,,9.29e-05,,
150,2015-08-28,,9.29e-05,,
151,2015-08-29,,9.36e-05,,
152,2015-08-30,,9.57e-05,,
153,2015-08-31,,9.76e-05,,
154,2015-09-01,,9.6e-05,,
155,2015-09-02,,9.56e-05,,
156,2015-09-03,,9.48e-05,,
157,2015-09-04,,9.3e-05,,
158,2015-09-05,,9.75e-05,,
159,2015-09-06,,9.35e-05,,
160,2015-09-07,,9.63e-05,,
161,2015-09-08,,,,
162,2015-09-09,,9.67e-05,,
163,2015-09-10,,9.33e-05,,
164,2015-09-11,,9.45e-05,,
165,2015-09-12,,9.47e-05,,
166,2015-09-13,,8.72e-05,,
167,2015-09-14,,8.94e-05,,
168,2015-09-15,,8.71e-05,,
169,2015-09-16,,0.000103,,
170,2015-09-17,,0.000112,,
171,2015-09-18,,0.000106,,
172,2015-09-19,,0.000101,,
173,2015-09-20,,9.94e-05,,
174,2015-09-21,,0.000103,,
175,2015-09-22,,0.000114,,
176,2015-09-23,,0.000124,,
177,2015-09-24,,0.000119,,
178,2015-09-25,,0.000125,,
179,2015-09-26,,0.000131,,
180,2015-09-27,,0.000132,,
181,2015-09-28,,0.000135,,
182,2015-09-29,,0.000149,,
183,2015-09-30,,0.000153,,
184,2015-10-01,,0.000173,,
185,2015-10-02,,0.000153,,
186,2015-10-03,,0.000139,,
187,2015-10-04,,0.000126,,
188,2015-10-05,,0.000119,,
189,2015-10-06,,0.000119,,
190,2015-10-07,,0.000129,,
191,2015-10-08,,0.000122,,
192,2015-10-09,,0.000116,,
193,2015-10-10,,0.000116,,
194,2015-10-11,,0.000116,,
195,2015-10-12,,0.000117,,
196,2015-10-13,,0.000116,,
197,2015-10-14,,0.000119,,
198,2015-10-15,,0.000116,,
199,2015-10-16,,0.000115,,
200,2015-10-17,,0.000118,,
201,2015-10-18,,0.000125,,
202,2015-10-19,,0.000124,,
203,2015-10-20,,0.00012,,
204,2015-10-21,,0.000117,,
205,2015-10-22,,,,
206,2015-10-23,,0.000122,,
207,2015-10-24,,0.000122,,
208,2015-10-25,,0.000123,,
209,2015-10-26,,0.000115,,
210,2015-10-27,,0.000116,,
211,2015-10-28,,0.000117,,
212,2015-10-29,,0.000132,,
213,2015-10-30,,0.000145,,
214,2015-10-31,,0.000151,,
215,2015-11-01,,0.000146,,
216,2015-11-02,,0.000148,,
217,2015-11-03,,0.000158,,
218,2015-11-04,,0.00017,,
219,2015-11-05,,0.000146,,
220,2015-11-06,,0.000145,,
221,2015-11-07,,,,
222,2015-11-08,,0.000148,,
223,2015-11-09,,0.000148,,
224,2015-11-10,,0.000149,,
225,2015-11-11,,0.000129,,
226,2015-11-12,,0.000126,,
227,2015-11-13,,0.00013,,
228,2015-11-14,,,,
229,2015-11-15,,0.000123,,
230,2015-11-16,,0.000121,,
231,2015-11-17,,0.000127,,
232,2015-11-18,,0.000111,,
233,2015-11-19,,0.000112,,
234,2015-11-20,,0.000108,,
