,Time,TRX_Average_Price_USD_2,BNB_Average_Price_USD_2,LINK_Average_Price_USD_2,DOT_Average_Price_USD_2,AVAX_Average_Price_USD_2,EOS_Average_Price_USD_2,ATOM_Average_Price_USD_2,XLM_Average_Price_USD_2,DASH_Average_Price_USD_2,AMP_Average_Price_USD_2
0,2014-02-20,,,,,,,,,1.38,
1,2014-02-21,,,,,,,,,1.139,
2,2014-02-22,,,,,,,,,1.105,
3,2014-02-23,,,,,,,,,1.144,
4,2014-02-24,,,,,,,,,1.01,
5,2014-02-25,,,,,,,,,0.712,
6,2014-02-26,,,,,,,,,0.645,
7,2014-02-27,,,,,,,,,0.628,
8,2014-02-28,,,,,,,,,0.568,
9,2014-03-01,,,,,,,,,0.83,
10,2014-03-02,,,,,,,,,0.931,
11,2014-03-03,,,,,,,,,1.03,
12,2014-03-04,,,,,,,,,1.046,
13,2014-03-05,,,,,,,,,1.02,
14,2014-03-06,,,,,,,,,1.008,
15,2014-03-07,,,,,,,,,0.973,
16,2014-03-08,,,,,,,,,0.913,
17,2014-03-09,,,,,,,,,0.897,
18,2014-03-10,,,,,,,,,0.834,
19,2014-03-11,,,,,,,,,0.822,
20,2014-03-12,,,,,,,,,0.893,
21,2014-03-13,,,,,,,,,0.844,
22,2014-03-14,,,,,,,,,0.821,
23,2014-03-15,,,,,,,,,0.787,
24,2014-03-16,,,,,,,,,0.771,
25,2014-03-17,,,,,,,,,0.787,
26,2014-03-18,,,,,,,,,0.754,
27,2014-03-19,,,,,,,,,0.75,
28,2014-03-20,,,,,,,,,0.728,
29,2014-03-21,,,,,,,,,0.711,
30,2014-03-22,,,,,,,,,0.697,
31,2014-03-23,,,,,,,,,0.711,
32,2014-03-24,,,,,,,,,0.791,
33,2014-03-25,,,,,,,,,0.854,
34,2014-03-26,,,,,,,,,0.826,
35,2014-03-27,,,,,,,,,0.793,
36,2014-03-28,,,,,,,,,0.718,
37,2014-03-29,,,,,,,,,0.711,
38,2014-03-30,,,,,,,,,0.668,
39,2014-03-31,,,,,,,,,0.639,
40,2014-04-01,,,,,,,,,0.672,
41,2014-04-02,,,,,,,,,0.658,
42,2014-04-03,,,,,,,,,0.601,
43,2014-04-04,,,,,,,,,0.622,
44,2014-04-05,,,,,,,,,0.64,
45,2014-04-06,,,,,,,,,0.642,
46,2014-04-07,,,,,,,,,0.61,
47,2014-04-08,,,,,,,,,0.602,
48,2014-04-09,,,,,,,,,0.59,
49,2014-04-10,,,,,,,,,0.532,
50,2014-04-11,,,,,,,,,0.516,
51,2014-04-12,,,,,,,,,0.56,
52,2014-04-13,,,,,,,,,0.549,
53,2014-04-14,,,,,,,,,0.573,
54,2014-04-15,,,,,,,,,1.585,
55,2014-04-16,,,,,,,,,5.571,
56,2014-04-17,,,,,,,,,0.635,
57,2014-04-18,,,,,,,,,0.789,
58,2014-04-19,,,,,,,,,0.738,
59,2014-04-20,,,,,,,,,0.719,
60,2014-04-21,,,,,,,,,0.697,
61,2014-04-22,,,,,,,,,0.685,
62,2014-04-23,,,,,,,,,0.793,
63,2014-04-24,,,,,,,,,0.935,
64,2014-04-25,,,,,,,,,1.381,
65,2014-04-26,,,,,,,,,1.915,
66,2014-04-27,,,,,,,,,1.746,
67,2014-04-28,,,,,,,,,1.686,
68,2014-04-29,,,,,,,,,1.543,
69,2014-04-30,,,,,,,,,1.553,
70,2014-05-01,,,,,,,,,1.525,
71,2014-05-02,,,,,,,,,1.385,
72,2014-05-03,,,,,,,,,1.25,
73,2014-05-04,,,,,,,,,1.375,
74,2014-05-05,,,,,,,,,1.673,
75,2014-05-06,,,,,,,,,1.627,
76,2014-05-07,,,,,,,,,1.63,
77,2014-05-08,,,,,,,,,1.565,
78,2014-05-09,,,,,,,,,1.695,
79,2014-05-10,,,,,,,,,2.195,
80,2014-05-11,,,,,,,,,2.23,
81,2014-05-12,,,,,,,,,2.089,
82,2014-05-13,,,,,,,,,2.362,
83,2014-05-14,,,,,,,,,3.064,
84,2014-05-15,,,,,,,,,5.125,
85,2014-05-16,,,,,,,,,5.976,
86,2014-05-17,,,,,,,,,5.224,
87,2014-05-18,,,,,,,,,5.098,
88,2014-05-19,,,,,,,,,6.765,
89,2014-05-20,,,,,,,,,6.705,
90,2014-05-21,,,,,,,,,7.417,
91,2014-05-22,,,,,,,,,9.529,
92,2014-05-23,,,,,,,,,12.813,
93,2014-05-24,,,,,,,,,10.533,
94,2014-05-25,,,,,,,,,13.949,
95,2014-05-26,,,,,,,,,12.866,
96,2014-05-27,,,,,,,,,10.463,
97,2014-05-28,,,,,,,,,9.239,
98,2014-05-29,,,,,,,,,7.713,
99,2014-05-30,,,,,,,,,10.62,
100,2014-05-31,,,,,,,,,11.708,
101,2014-06-01,,,,,,,,,12.111,
102,2014-06-02,,,,,,,,,13.892,
103,2014-06-03,,,,,,,,,14.071,
104,2014-06-04,,,,,,,,,12.73,
105,2014-06-05,,,,,,,,,11.83,
106,2014-06-06,,,,,,,,,11.309,
107,2014-06-07,,,,,,,,,11.089,
108,2014-06-08,,,,,,,,,10.298,
109,2014-06-09,,,,,,,,,9.247,
110,2014-06-10,,,,,,,,,10.482,
111,2014-06-11,,,,,,,,,10.889,
112,2014-06-12,,,,,,,,,10.51,
113,2014-06-13,,,,,,,,,10.497,
114,2014-06-14,,,,,,,,,10.235,
115,2014-06-15,,,,,,,,,9.888,
116,2014-06-16,,,,,,,,,10.221,
117,2014-06-17,,,,,,,,,10.177,
118,2014-06-18,,,,,,,,,10.136,
119,2014-06-19,,,,,,,,,10.496,
120,2014-06-20,,,,,,,,,10.997,
121,2014-06-21,,,,,,,,,9.263,
122,2014-06-22,,,,,,,,,9.552,
123,2014-06-23,,,,,,,,,9.71,
124,2014-06-24,,,,,,,,,9.617,
125,2014-06-25,,,,,,,,,9.114,
126,2014-06-26,,,,,,,,,9.926,
127,2014-06-27,,,,,,,,,10.022,
128,2014-06-28,,,,,,,,,9.667,
129,2014-06-29,,,,,,,,,9.259,
130,2014-06-30,,,,,,,,,8.878,
131,2014-07-01,,,,,,,,,8.761,
132,2014-07-02,,,,,,,,,7.795,
133,2014-07-03,,,,,,,,,7.412,
134,2014-07-04,,,,,,,,,7.828,
135,2014-07-05,,,,,,,,,7.143,
136,2014-07-06,,,,,,,,,6.75,
137,2014-07-07,,,,,,,,,6.491,
138,2014-07-08,,,,,,,,,7.147,
139,2014-07-09,,,,,,,,,7.214,
140,2014-07-10,,,,,,,,,6.737,
141,2014-07-11,,,,,,,,,6.695,
142,2014-07-12,,,,,,,,,6.502,
143,2014-07-13,,,,,,,,,6.458,
144,2014-07-14,,,,,,,,,6.21,
145,2014-07-15,,,,,,,,,5.952,
146,2014-07-16,,,,,,,,,6.014,
147,2014-07-17,,,,,,,,,7.066,
148,2014-07-18,,,,,,,,,7.431,
149,2014-07-19,,,,,,,,,7.119,
150,2014-07-20,,,,,,,,,7.102,
151,2014-07-21,,,,,,,,,6.957,
152,2014-07-22,,,,,,,,,6.445,
153,2014-07-23,,,,,,,,,6.445,
154,2014-07-24,,,,,,,,,6.284,
155,2014-07-25,,,,,,,,,6.114,
156,2014-07-26,,,,,,,,,5.931,
157,2014-07-27,,,,,,,,,5.854,
158,2014-07-28,,,,,,,,,5.45,
159,2014-07-29,,,,,,,,,4.938,
160,2014-07-30,,,,,,,,,4.577,
161,2014-07-31,,,,,,,,,4.808,
162,2014-08-01,,,,,,,,,5.464,
163,2014-08-02,,,,,,,,,5.75,
164,2014-08-03,,,,,,,,,5.664,
165,2014-08-04,,,,,,,,,5.553,
166,2014-08-05,,,,,,,,,5.246,
167,2014-08-06,,,,,,,,,5.547,
168,2014-08-07,,,,,,,,,5.622,
169,2014-08-08,,,,,,,,,5.824,
170,2014-08-09,,,,,,,,,5.719,
171,2014-08-10,,,,,,,,,5.597,
172,2014-08-11,,,,,,,,,5.471,
173,2014-08-12,,,,,,,,,4.994,
174,2014-08-13,,,,,,,,,4.776,
175,2014-08-14,,,,,,,,,4.45,
176,2014-08-15,,,,,,,,,3.785,
177,2014-08-16,,,,,,,,,3.326,
178,2014-08-17,,,,,,,,,2.732,
179,2014-08-18,,,,,,,,,1.912,
180,2014-08-19,,,,,,,,,2.116,
181,2014-08-20,,,,,,,,,3.57,
182,2014-08-21,,,,,,,,,3.668,
183,2014-08-22,,,,,,,,,3.178,
184,2014-08-23,,,,,,,,,3.127,
185,2014-08-24,,,,,,,,,3.064,
186,2014-08-25,,,,,,,,,2.963,
187,2014-08-26,,,,,,,,,2.713,
188,2014-08-27,,,,,,,,,2.435,
189,2014-08-28,,,,,,,,,2.365,
190,2014-08-29,,,,,,,,,2.492,
191,2014-08-30,,,,,,,,,2.442,
192,2014-08-31,,,,,,,,,2.35,
193,2014-09-01,,,,,,,,,2.329,
194,2014-09-02,,,,,,,,,2.3,
195,2014-09-03,,,,,,,,,2.457,
196,2014-09-04,,,,,,,,,2.885,
197,2014-09-05,,,,,,,,,2.869,
198,2014-09-06,,,,,,,,,2.895,
199,2014-09-07,,,,,,,,,2.944,
200,2014-09-08,,,,,,,,,2.788,
201,2014-09-09,,,,,,,,,2.77,
202,2014-09-10,,,,,,,,,2.888,
203,2014-09-11,,,,,,,,,2.802,
204,2014-09-12,,,,,,,,,2.74,
205,2014-09-13,,,,,,,,,2.824,
206,2014-09-14,,,,,,,,,2.816,
207,2014-09-15,,,,,,,,,2.975,
208,2014-09-16,,,,,,,,,3.15,
209,2014-09-17,,,,,,,,,3.555,
210,2014-09-18,,,,,,,,,3.696,
211,2014-09-19,,,,,,,,,3.636,
212,2014-09-20,,,,,,,,,3.329,
213,2014-09-21,,,,,,,,,3.103,
214,2014-09-22,,,,,,,,,3.111,
215,2014-09-23,,,,,,,,,3.29,
216,2014-09-24,,,,,,,,,3.407,
217,2014-09-25,,,,,,,,,3.133,
218,2014-09-26,,,,,,,,,2.906,
219,2014-09-27,,,,,,,,,2.868,
220,2014-09-28,,,,,,,,,2.87,
221,2014-09-29,,,,,,,,,2.913,
222,2014-09-30,,,,,,,,,2.832,
223,2014-10-01,,,,,,,,,2.615,
224,2014-10-02,,,,,,,,,2.436,
225,2014-10-03,,,,,,,,,2.397,
226,2014-10-04,,,,,,,,,2.327,
227,2014-10-05,,,,,,,,,2.198,
228,2014-10-06,,,,,,,,,2.24,
229,2014-10-07,,,,,,,,,2.199,
230,2014-10-08,,,,,,,,,2.213,
231,2014-10-09,,,,,,,,,2.354,
232,2014-10-10,,,,,,,,,2.339,
233,2014-10-11,,,,,,,,,2.175,
234,2014-10-12,,,,,,,,,2.135,
235,2014-10-13,,,,,,,,,2.253,
236,2014-10-14,,,,,,,,,2.31,
237,2014-10-15,,,,,,,,,2.095,
238,2014-10-16,,,,,,,,,2.197,
239,2014-10-17,,,,,,,,,2.204,
240,2014-10-18,,,,,,,,,2.237,
241,2014-10-19,,,,,,,,,2.266,
242,2014-10-20,,,,,,,,,2.19,
243,2014-10-21,,,,,,,,,2.102,
244,2014-10-22,,,,,,,,,2.08,
245,2014-10-23,,,,,,,,,2.05,
246,2014-10-24,,,,,,,,,2.045,
247,2014-10-25,,,,,,,,,1.962,
248,2014-10-26,,,,,,,,,1.943,
249,2014-10-27,,,,,,,,,1.921,
250,2014-10-28,,,,,,,,,1.893,
251,2014-10-29,,,,,,,,,1.787,
252,2014-10-30,,,,,,,,,1.694,
253,2014-10-31,,,,,,,,,1.775,
254,2014-11-01,,,,,,,,,1.694,
255,2014-11-02,,,,,,,,,1.676,
256,2014-11-03,,,,,,,,,1.665,
257,2014-11-04,,,,,,,,,1.619,
258,2014-11-05,,,,,,,,,1.719,
259,2014-11-06,,,,,,,,,1.801,
260,2014-11-07,,,,,,,,,2.255,
261,2014-11-08,,,,,,,,,2.388,
262,2014-11-09,,,,,,,,,2.837,
263,2014-11-10,,,,,,,,,2.795,
264,2014-11-11,,,,,,,,,2.501,
265,2014-11-12,,,,,,,,,2.61,
266,2014-11-13,,,,,,,,,2.605,
267,2014-11-14,,,,,,,,,2.413,
268,2014-11-15,,,,,,,,,2.381,
269,2014-11-16,,,,,,,,,2.617,
270,2014-11-17,,,,,,,,,2.621,
271,2014-11-18,,,,,,,,,2.374,
272,2014-11-19,,,,,,,,,2.373,
273,2014-11-20,,,,,,,,,2.305,
274,2014-11-21,,,,,,,,,2.225,
275,2014-11-22,,,,,,,,,2.248,
276,2014-11-23,,,,,,,,,2.261,
277,2014-11-24,,,,,,,,,2.319,
278,2014-11-25,,,,,,,,,2.362,
279,2014-11-26,,,,,,,,,2.386,
280,2014-11-27,,,,,,,,,2.342,
281,2014-11-28,,,,,,,,,2.33,
282,2014-11-29,,,,,,,,,2.4,
283,2014-11-30,,,,,,,,,2.386,
284,2014-12-01,,,,,,,,,2.373,
285,2014-12-02,,,,,,,,,2.398,
286,2014-12-03,,,,,,,,,2.42,
287,2014-12-04,,,,,,,,,2.387,
288,2014-12-05,,,,,,,,,2.344,
289,2014-12-06,,,,,,,,,2.352,
290,2014-12-07,,,,,,,,,2.342,
291,2014-12-08,,,,,,,,,2.291,
292,2014-12-09,,,,,,,,,2.237,
293,2014-12-10,,,,,,,,,2.236,
294,2014-12-11,,,,,,,,,2.267,
295,2014-12-12,,,,,,,,,2.26,
296,2014-12-13,,,,,,,,,2.218,
297,2014-12-14,,,,,,,,,2.218,
298,2014-12-15,,,,,,,,,2.175,
299,2014-12-16,,,,,,,,,2.042,
