,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
ETH Opening Price ($),1826.0,1020.8252081051478,362.66499999999996,1220.3821229783011,83.75,105.735,129.0625,145.75,206.4725,362.66499999999996,1727.06,3131.04,3738.2,4442.6325,4807.98
ETH High Price ($),1826.0,1057.6681982475354,376.15,1259.4465184493451,85.0,108.58749999999999,134.695,149.985,214.0475,376.15,1808.6125,3232.935,3851.8175,4550.75,4868.0
ETH Low Price ($),1826.0,977.5829901423878,347.28499999999997,1173.9091401078504,81.79,101.2025,124.125,141.925,197.7475,347.28499999999997,1659.9675000000002,3007.5150000000003,3585.7799999999997,4263.4575,4713.89
ETH Close Price ($),1826.0,1021.7691785323111,363.68,1220.4468788326537,83.76,105.735,129.0625,145.69,206.48,363.68,1737.4025,3131.035,3738.1975,4442.625,4807.98
