TIMESTAMP,KOBO_CLOSE_PRICE_USD,KOBO_OPEN_PRICE_USD,KOBO_HIGH_PRICE_USD,KOBO_LOW_PRICE_USD
2018-03-02,0.06641,0.056163,0.067334,0.053974
2018-03-03,0.059977,0.066365,0.069237,0.05679
2018-03-04,0.06044,0.059977,0.06048,0.054921
2018-03-05,0.059678,0.060357,0.061652,0.059581
2018-03-06,0.051898,0.059678,0.059678,0.051207
2018-03-07,0.047727,0.051898,0.053053,0.042032
2018-03-08,0.045518,0.047727,0.048838,0.044229
2018-03-09,0.04504,0.045518,0.04611,0.040793
2018-03-10,0.040496,0.04504,0.047249,0.040291
2018-03-11,0.045364,0.040496,0.046315,0.038462
2018-03-12,0.043046,0.045364,0.047186,0.041945
2018-03-13,0.042158,0.043046,0.044718,0.041271
2018-03-14,0.038427,0.042158,0.043886,0.0372
2018-03-15,0.039043,0.038427,0.039289,0.036057
2018-03-16,0.038474,0.039043,0.040017,0.036911
2018-03-17,0.036125,0.038474,0.038782,0.034982
2018-03-18,0.037016,0.036125,0.037276,0.033028
2018-03-19,0.037797,0.037016,0.038318,0.03614
2018-03-20,0.038253,0.037797,0.038805,0.036293
2018-03-21,0.038492,0.038253,0.039643,0.037885
2018-03-22,0.0377,0.038492,0.039297,0.036671
2018-03-23,0.038236,0.0377,0.038239,0.035534
2018-03-24,0.036535,0.038236,0.038697,0.036494
2018-03-25,0.036357,0.036535,0.037269,0.036007
2018-03-26,0.034896,0.036357,0.036561,0.03371
2018-03-27,0.036078,0.034896,0.038018,0.034896
2018-03-28,0.035933,0.036078,0.037523,0.035426
2018-03-29,0.032092,0.035933,0.036027,0.031194
2018-03-30,0.030953,0.032092,0.032842,0.029768
2018-03-31,0.033864,0.030953,0.034393,0.030738
2018-04-01,0.030305,0.033864,0.034328,0.027348
2018-04-02,0.029974,0.030305,0.03145,0.028704
2018-04-03,0.034839,0.029974,0.035325,0.029974
2018-04-04,0.031931,0.034839,0.034896,0.031505
2018-04-05,0.028738,0.031931,0.032498,0.022441
2018-04-06,0.02821,0.028738,0.029376,0.026681
2018-04-07,0.030822,0.02821,0.030856,0.026537
2018-04-08,0.029216,0.030822,0.031357,0.028273
2018-04-09,0.02903,0.029216,0.030027,0.027576
2018-04-10,0.030438,0.02904,0.03066,0.028829
2018-04-11,0.030892,0.030438,0.031028,0.030239
2018-04-12,0.039995,0.030892,0.052619,0.02975
2018-04-13,0.042271,0.039995,0.048274,0.039255
2018-04-14,0.040426,0.042271,0.048232,0.037292
2018-04-15,0.058165,0.040426,0.087414,0.040416
2018-04-16,0.054902,0.058165,0.062602,0.053619
2018-04-17,0.048446,0.054902,0.056025,0.043021
2018-04-18,0.045733,0.048446,0.048614,0.040545
2018-04-19,0.058089,0.045733,0.082465,0.042436
2018-04-20,0.064712,0.058089,0.06667,0.056636
2018-04-21,0.119941,0.064712,0.139311,0.0639
2018-04-22,0.090725,0.119941,0.120016,0.082045
2018-04-23,0.088459,0.090725,0.093859,0.088151
2018-04-24,0.078025,0.088459,0.091236,0.073824
2018-04-25,0.069096,0.078025,0.07887,0.067908
2018-04-26,0.07362,0.069096,0.073716,0.065468
2018-04-27,0.070765,0.07362,0.09587,0.070525
2018-04-28,0.084804,0.070765,0.159757,0.06892
2018-04-29,0.085244,0.084804,0.086759,0.081328
