TIMESTAMP,MOONSTAR_OPEN_PRICE_USD,MOONSTAR_HIGH_PRICE_USD,MOONSTAR_LOW_PRICE_USD,MOONSTAR_CLOSE_PRICE_USD,MOONSTAR_VOLUME_USD,MOONSTAR_DIVIDENDS_USD,MOONSTAR_STOCK_SPLITS_USD
2021-04-14 00:00:00+00:00,,,,0.0,28014,0.0,0.0
2021-04-15 00:00:00+00:00,,,,0.0,21436,0.0,0.0
2021-04-16 00:00:00+00:00,,,,0.0,40261,0.0,0.0
2021-04-17 00:00:00+00:00,,,,0.0,82578,0.0,0.0
2021-04-18 00:00:00+00:00,,,,0.0,66205,0.0,0.0
2021-04-19 00:00:00+00:00,,,,0.0,86518,0.0,0.0
2021-04-20 00:00:00+00:00,,,,0.0,399466,0.0,0.0
2021-04-21 00:00:00+00:00,,,,0.0,1054949,0.0,0.0
2021-04-22 00:00:00+00:00,,,,0.0,7412974,0.0,0.0
2021-04-23 00:00:00+00:00,,,,0.0,1932792,0.0,0.0
2021-04-24 00:00:00+00:00,,,,0.0,1638084,0.0,0.0
2021-04-25 00:00:00+00:00,,,,0.0,861930,0.0,0.0
2021-04-26 00:00:00+00:00,,,,0.0,1020051,0.0,0.0
2021-04-27 00:00:00+00:00,,,,0.0,395900,0.0,0.0
2021-04-28 00:00:00+00:00,,,,0.0,599299,0.0,0.0
2021-04-29 00:00:00+00:00,,,,0.0,380474,0.0,0.0
2021-04-30 00:00:00+00:00,,,,0.0,1315501,0.0,0.0
2021-05-01 00:00:00+00:00,,,,0.0,306270,0.0,0.0
2021-05-02 00:00:00+00:00,,,,0.0,232244,0.0,0.0
2021-05-03 00:00:00+00:00,,,,0.0,170618,0.0,0.0
2021-05-04 00:00:00+00:00,,,,0.0,188074,0.0,0.0
2021-05-05 00:00:00+00:00,,,,0.0,204259,0.0,0.0
2021-05-06 00:00:00+00:00,,,,0.0,640044,0.0,0.0
2021-05-07 00:00:00+00:00,,,,0.0,473278,0.0,0.0
2021-05-08 00:00:00+00:00,,,,0.0,380654,0.0,0.0
2021-05-09 00:00:00+00:00,,,,0.0,1177979,0.0,0.0
2021-05-10 00:00:00+00:00,,,,0.0,970820,0.0,0.0
2021-05-11 00:00:00+00:00,,,,0.0,1277811,0.0,0.0
2021-05-12 00:00:00+00:00,,,,0.0,734335,0.0,0.0
2021-05-13 00:00:00+00:00,,,,0.0,739284,0.0,0.0
2021-05-14 00:00:00+00:00,,,,0.0,793593,0.0,0.0
2021-05-15 00:00:00+00:00,,,,0.0,369267,0.0,0.0
2021-05-16 00:00:00+00:00,,,,0.0,308761,0.0,0.0
2021-05-17 00:00:00+00:00,,,,0.0,165670,0.0,0.0
2021-05-18 00:00:00+00:00,,,,0.0,159702,0.0,0.0
2021-05-19 00:00:00+00:00,,,,0.0,173993,0.0,0.0
2021-05-20 00:00:00+00:00,,,,0.0,95808,0.0,0.0
2021-05-21 00:00:00+00:00,,,,0.0,98261,0.0,0.0
2021-05-22 00:00:00+00:00,,,,0.0,33929,0.0,0.0
2021-05-23 00:00:00+00:00,,,,0.0,115196,0.0,0.0
2021-05-24 00:00:00+00:00,,,,0.0,34726,0.0,0.0
