,BTC,Lag
DOGE,9.356083518199044e-07,26
SC,0.0016674920163307,28
ETH,0.0018379725811373,29
ZEN,0.0019340738752172,30
ETC,0.004151792361023,7
XRP,0.0151884970542187,12
RLC,0.0239080444901387,17
QTUM,0.0272700365801901,18
MIOTA,0.0420859064867253,17
BAT,0.0436571364466381,30
GNO,0.0655219271193249,6
DGB,0.0676184697724439,28
XEM,0.0678260996087515,25
BTS,0.0712505954170071,5
KMD,0.0780266063571755,1
XMR,0.0900727438162953,9
GAS,0.1132530402121143,30
LSK,0.1159882604746495,25
DASH,0.1170093189800518,21
LUNC,0.1243964826138606,3
PIVX,0.1343213538054165,3
XLM,0.1488445858317933,23
WAVES,0.1499066005914418,1
LTC,0.1623297144142883,22
ANT,0.1830231735487076,23
ZEC,0.189449281512755,17
ARK,0.2031843972487472,10
STEEM,0.2424910830876084,29
FIRO,0.3619016103925945,1
SYS,0.3634461715594707,29
DCR,0.449805712897846,3
