,XRP,Lag
DOGE,1.4661665773088476e-28,6
BTS,1.1770133626899731e-19,10
XLM,2.0970607078966192e-08,27
STEEM,1.927518329175839e-07,2
ETH,4.360639563779949e-06,27
BTC,5.107224072253214e-05,3
SC,0.0001272727546727,13
PIVX,0.0001308631846719,7
WAVES,0.0003283472731877,19
XEM,0.0004023936002976,1
DGB,0.001511741102681,1
QTUM,0.002138097309073,15
DASH,0.0033947072772792,11
ZEN,0.0035962665760516,20
BAT,0.0069770658408545,6
ARK,0.0123579777320594,30
MIOTA,0.019982976940718,1
ZEC,0.0214032328837126,1
GAS,0.0219846090971191,2
DCR,0.0231582817707472,1
RLC,0.0300021667357507,1
ETC,0.0360567490053377,5
ANT,0.0664185580762089,1
LTC,0.0762482393642974,6
XMR,0.0808672402129873,3
FIRO,0.1892686457799279,1
KMD,0.3104008067838443,4
SYS,0.3215335802039789,2
LSK,0.3423333400601183,9
GNO,0.5151923733578243,1
LUNC,0.6191665865298149,10
