TIMESTAMP,FEARNOT_OPEN_PRICE_USD,FEARNOT_HIGH_PRICE_USD,FEARNOT_LOW_PRICE_USD,FEARNOT_CLOSE_PRICE_USD,FEARNOT_VOLUME_USD,FEARNOT_DIVIDENDS_USD,FEARNOT_STOCK_SPLITS_USD
2024-07-17 00:00:00+00:00,4.8000001697801054e-05,5.2999999752501026e-05,2.9000000722589903e-05,2.9999999242136255e-05,13360953,0.0,0.0
2024-07-18 00:00:00+00:00,2.9999999242136255e-05,4.199999966658652e-05,9.999999747378752e-06,9.999999747378752e-06,6666421,0.0,0.0
2024-07-19 00:00:00+00:00,9.999999747378752e-06,2.700000004551839e-05,9.000000318337698e-06,1.4999999621068127e-05,16405837,0.0,0.0
2024-07-20 00:00:00+00:00,1.4999999621068127e-05,0.00011100000119768083,1.4000000192027073e-05,8.600000001024455e-05,32693592,0.0,0.0
2024-07-21 00:00:00+00:00,8.600000001024455e-05,0.00010900000052060932,3.600000127335079e-05,3.899999865097925e-05,35621318,0.0,0.0
2024-07-22 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,1.4000000192027073e-05,1.8000000636675395e-05,21430598,0.0,0.0
2024-07-23 00:00:00+00:00,1.8000000636675395e-05,2.300000051036477e-05,1.4999999621068127e-05,1.8999999156221747e-05,16895660,0.0,0.0
2024-07-24 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.2999999853491317e-05,10042811,0.0,0.0
2024-07-25 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.1000000085914508e-05,13018782,0.0,0.0
2024-07-26 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,10195220,0.0,0.0
2024-07-27 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2000000424450263e-05,9071623,0.0,0.0
